Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-2.3,19.1,0.4,0.798,0.703,0.892,0.776,0.609,0.798,0.738,0.625,0.789,0.596,0.41,0.707,0.769,0.75,0.778,0.667,0.501,0.764
linear,5,-3.1,51.2,0.0,0.777,0.755,0.798,0.772,0.563,0.777,0.646,0.7,0.622,0.551,0.3,0.661,0.577,0.625,0.556,0.476,0.167,0.59
linear,10,-2.7,62.1,-0.3,0.771,0.81,0.731,0.781,0.561,0.771,0.6,0.725,0.544,0.529,0.25,0.635,0.615,0.75,0.556,0.545,0.283,0.653
linear,15,-2.9,68.9,-0.4,0.784,0.837,0.731,0.797,0.586,0.784,0.6,0.75,0.533,0.536,0.264,0.642,0.615,0.75,0.556,0.545,0.283,0.653
