Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.3,-0.4,-0.5,0.727,0.908,0.68,0.579,0.481,0.794,0.574,1.0,0.462,0.493,0.389,0.731,0.566,1.0,0.452,0.489,0.383,0.726
RBF,1,0.01,-2.0,1.2,-0.5,0.699,0.836,0.662,0.54,0.416,0.749,0.596,0.982,0.495,0.503,0.398,0.739,0.585,1.0,0.476,0.5,0.398,0.738
RBF,1,0.001,-1.2,0.9,-0.4,0.742,0.692,0.753,0.524,0.385,0.722,0.713,0.964,0.648,0.583,0.497,0.806,0.698,1.0,0.619,0.579,0.502,0.81
RBF,1,0.0001,-1.0,0.0,-0.8,0.706,0.403,0.788,0.371,0.322,0.595,0.721,0.691,0.729,0.564,0.429,0.71,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,1.0,-1.0,0.21,1.0,0.006,0.342,0.016,0.503,0.215,1.0,0.01,0.346,0.028,0.505,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-1.3,-0.4,-0.5,0.727,0.908,0.68,0.579,0.481,0.794,0.574,1.0,0.462,0.493,0.389,0.731,0.566,1.0,0.452,0.489,0.383,0.726
RBF,5,0.01,-2.4,1.4,-0.3,0.771,0.617,0.807,0.515,0.385,0.712,0.747,0.891,0.71,0.593,0.495,0.8,0.755,0.909,0.714,0.606,0.513,0.812
RBF,5,0.001,-2.0,2.6,-0.3,0.728,0.678,0.74,0.505,0.358,0.709,0.687,0.927,0.624,0.552,0.449,0.776,0.698,0.909,0.643,0.556,0.448,0.776
RBF,5,0.0001,-1.1,0.4,-0.3,0.804,0.511,0.879,0.516,0.406,0.695,0.774,0.855,0.752,0.615,0.515,0.803,0.774,0.818,0.762,0.6,0.491,0.79
RBF,5,1e-05,-1.0,0.9,0.9,0.804,0.044,1.0,0.08,0.12,0.522,0.819,0.127,1.0,0.209,0.251,0.564,0.83,0.273,0.976,0.4,0.382,0.624
RBF,10,0.1,-1.3,-0.4,-0.5,0.727,0.908,0.68,0.579,0.481,0.794,0.574,1.0,0.462,0.493,0.389,0.731,0.566,1.0,0.452,0.489,0.383,0.726
RBF,10,0.01,-2.6,1.5,-0.3,0.775,0.617,0.813,0.52,0.394,0.715,0.774,0.891,0.743,0.62,0.528,0.817,0.755,0.909,0.714,0.606,0.513,0.812
RBF,10,0.001,-2.5,2.9,-0.2,0.77,0.625,0.807,0.523,0.39,0.716,0.706,0.873,0.662,0.552,0.438,0.767,0.698,0.818,0.667,0.529,0.397,0.742
RBF,10,0.0001,-1.3,1.0,-0.3,0.785,0.622,0.825,0.541,0.419,0.723,0.751,0.909,0.71,0.603,0.51,0.809,0.717,0.909,0.667,0.571,0.469,0.788
RBF,10,1e-05,-1.0,0.8,0.7,0.804,0.267,0.939,0.291,0.222,0.603,0.819,0.509,0.9,0.437,0.404,0.705,0.774,0.818,0.762,0.6,0.491,0.79
