Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.1,0,-3.3,3.9,0.1,0.95,0.983,0.917,0.952,0.902,0.95,0.676,0.221,0.82,0.246,0.044,0.521,0.671,0.211,0.817,0.235,0.03,0.514
poly,5,2,0.1,1,-3.3,3.9,0.4,0.96,0.967,0.954,0.961,0.921,0.96,0.699,0.137,0.877,0.18,0.019,0.507,0.722,0.158,0.9,0.214,0.078,0.529
poly,5,2,0.1,2,-3.4,4.4,0.3,0.952,0.971,0.933,0.953,0.905,0.952,0.694,0.168,0.86,0.209,0.035,0.514,0.709,0.158,0.883,0.207,0.053,0.521
poly,5,2,0.1,3,-3.8,4.6,0.2,0.95,0.979,0.921,0.951,0.902,0.95,0.689,0.2,0.843,0.236,0.049,0.522,0.696,0.211,0.85,0.25,0.07,0.53
poly,5,2,0.1,4,-4.2,4.8,0.3,0.948,0.971,0.925,0.949,0.897,0.948,0.701,0.221,0.853,0.26,0.083,0.537,0.709,0.263,0.85,0.303,0.127,0.557
poly,5,2,0.01,0,-2.8,4.7,-0.1,0.938,0.967,0.908,0.939,0.877,0.938,0.684,0.316,0.8,0.324,0.118,0.558,0.671,0.263,0.8,0.278,0.066,0.532
poly,5,2,0.01,1,-5.5,5.2,0.5,0.938,0.95,0.925,0.938,0.876,0.938,0.714,0.242,0.863,0.288,0.122,0.553,0.734,0.263,0.883,0.323,0.174,0.573
poly,5,2,0.01,2,-6.8,5.9,0.4,0.933,0.962,0.904,0.935,0.868,0.933,0.709,0.368,0.817,0.38,0.192,0.593,0.734,0.368,0.85,0.4,0.232,0.609
poly,5,2,0.01,3,-7.3,6.6,0.3,0.925,0.967,0.883,0.928,0.853,0.925,0.684,0.4,0.773,0.379,0.17,0.587,0.722,0.421,0.817,0.421,0.238,0.619
poly,5,2,0.01,4,-7.5,7.0,0.3,0.919,0.962,0.875,0.922,0.841,0.919,0.686,0.432,0.767,0.4,0.192,0.599,0.709,0.421,0.8,0.41,0.217,0.611
poly,5,2,0.001,0,-1.0,1.4,-0.4,0.76,0.604,0.917,0.715,0.551,0.76,0.676,0.358,0.777,0.346,0.132,0.567,0.684,0.316,0.8,0.324,0.118,0.558
poly,5,2,0.001,1,-3.5,2.9,0.2,0.869,0.842,0.896,0.865,0.74,0.869,0.734,0.453,0.823,0.451,0.277,0.638,0.684,0.421,0.767,0.39,0.179,0.594
poly,5,2,0.001,2,-4.9,4.3,0.3,0.879,0.875,0.883,0.879,0.76,0.879,0.744,0.516,0.817,0.492,0.324,0.666,0.747,0.526,0.817,0.5,0.332,0.671
poly,5,2,0.001,3,-5.4,5.4,0.4,0.892,0.888,0.896,0.891,0.785,0.892,0.757,0.526,0.83,0.51,0.355,0.678,0.759,0.474,0.85,0.486,0.33,0.662
poly,5,2,0.001,4,-6.4,5.9,0.5,0.885,0.875,0.896,0.884,0.772,0.885,0.752,0.474,0.84,0.479,0.321,0.657,0.785,0.474,0.883,0.514,0.38,0.679
poly,5,3,0.1,0,-3.8,9.0,0.0,0.956,0.967,0.946,0.957,0.913,0.956,0.729,0.421,0.827,0.427,0.25,0.624,0.747,0.421,0.85,0.444,0.282,0.636
poly,5,3,0.1,1,-3.8,5.0,0.1,0.965,0.975,0.954,0.965,0.93,0.965,0.719,0.263,0.863,0.309,0.144,0.563,0.709,0.211,0.867,0.258,0.092,0.539
poly,5,3,0.1,2,-3.7,4.1,0.2,0.958,0.971,0.946,0.959,0.917,0.958,0.711,0.2,0.873,0.247,0.088,0.537,0.722,0.158,0.9,0.214,0.078,0.529
poly,5,3,0.1,3,-3.7,3.9,0.3,0.956,0.962,0.95,0.957,0.913,0.956,0.714,0.168,0.887,0.219,0.071,0.528,0.709,0.105,0.9,0.148,0.007,0.503
poly,5,3,0.1,4,-3.6,4.1,0.3,0.956,0.971,0.942,0.957,0.913,0.956,0.714,0.179,0.883,0.231,0.08,0.531,0.696,0.105,0.883,0.143,-0.015,0.494
poly,5,3,0.01,0,-2.4,7.9,-0.4,0.94,0.975,0.904,0.942,0.882,0.94,0.689,0.495,0.75,0.434,0.228,0.622,0.696,0.474,0.767,0.429,0.226,0.62
poly,5,3,0.01,1,-4.2,4.9,0.3,0.948,0.971,0.925,0.949,0.897,0.948,0.701,0.221,0.853,0.261,0.085,0.537,0.696,0.211,0.85,0.25,0.07,0.53
poly,5,3,0.01,2,-5.6,5.3,0.3,0.938,0.967,0.908,0.939,0.877,0.938,0.694,0.305,0.817,0.324,0.128,0.561,0.722,0.316,0.85,0.353,0.181,0.583
poly,5,3,0.01,3,-6.3,5.6,0.2,0.931,0.971,0.892,0.934,0.866,0.931,0.671,0.368,0.767,0.351,0.134,0.568,0.684,0.368,0.783,0.359,0.149,0.576
poly,5,3,0.01,4,-6.7,6.0,0.4,0.931,0.958,0.904,0.933,0.864,0.931,0.699,0.358,0.807,0.364,0.168,0.582,0.734,0.368,0.85,0.4,0.232,0.609
poly,5,3,0.001,0,-0.4,1.1,-0.0,0.619,0.25,0.988,0.38,0.35,0.619,0.737,0.105,0.937,0.142,0.055,0.521,0.734,0.053,0.95,0.087,0.005,0.501
poly,5,3,0.001,1,-4.0,3.6,0.0,0.877,0.912,0.842,0.882,0.758,0.877,0.684,0.495,0.743,0.429,0.22,0.619,0.709,0.526,0.767,0.465,0.272,0.646
poly,5,3,0.001,2,-6.4,6.0,-0.0,0.877,0.933,0.821,0.884,0.761,0.877,0.673,0.505,0.727,0.429,0.214,0.616,0.696,0.526,0.75,0.455,0.254,0.638
poly,5,3,0.001,3,-9.2,6.9,0.2,0.894,0.95,0.838,0.9,0.793,0.894,0.673,0.463,0.74,0.407,0.192,0.602,0.722,0.474,0.8,0.45,0.265,0.637
poly,5,3,0.001,4,-12.3,9.3,0.7,0.894,0.883,0.904,0.893,0.788,0.894,0.694,0.389,0.79,0.379,0.179,0.59,0.747,0.474,0.833,0.474,0.307,0.654
poly,10,2,0.1,0,-3.3,3.9,0.1,0.95,0.983,0.917,0.952,0.902,0.95,0.676,0.221,0.82,0.246,0.044,0.521,0.671,0.211,0.817,0.235,0.03,0.514
poly,10,2,0.1,1,-3.3,3.9,0.4,0.96,0.967,0.954,0.961,0.921,0.96,0.699,0.137,0.877,0.18,0.019,0.507,0.722,0.158,0.9,0.214,0.078,0.529
poly,10,2,0.1,2,-3.4,4.4,0.3,0.952,0.971,0.933,0.953,0.905,0.952,0.694,0.168,0.86,0.209,0.035,0.514,0.709,0.158,0.883,0.207,0.053,0.521
poly,10,2,0.1,3,-3.8,4.6,0.2,0.95,0.979,0.921,0.951,0.902,0.95,0.689,0.2,0.843,0.236,0.049,0.522,0.696,0.211,0.85,0.25,0.07,0.53
poly,10,2,0.1,4,-4.2,4.8,0.3,0.948,0.971,0.925,0.949,0.897,0.948,0.701,0.221,0.853,0.26,0.083,0.537,0.709,0.263,0.85,0.303,0.127,0.557
poly,10,2,0.01,0,-3.1,4.0,0.1,0.946,0.975,0.917,0.947,0.893,0.946,0.689,0.242,0.83,0.271,0.078,0.536,0.684,0.211,0.833,0.242,0.049,0.522
poly,10,2,0.01,1,-5.8,5.3,0.3,0.935,0.971,0.9,0.938,0.873,0.935,0.714,0.368,0.823,0.383,0.199,0.596,0.709,0.316,0.833,0.343,0.159,0.575
poly,10,2,0.01,2,-6.8,6.1,0.4,0.931,0.958,0.904,0.933,0.864,0.931,0.704,0.358,0.813,0.368,0.177,0.586,0.734,0.368,0.85,0.4,0.232,0.609
poly,10,2,0.01,3,-7.2,6.6,0.2,0.921,0.967,0.875,0.924,0.846,0.921,0.676,0.432,0.753,0.391,0.176,0.592,0.709,0.421,0.8,0.41,0.217,0.611
poly,10,2,0.01,4,-7.5,7.0,0.3,0.919,0.962,0.875,0.922,0.841,0.919,0.686,0.432,0.767,0.4,0.192,0.599,0.709,0.421,0.8,0.41,0.217,0.611
poly,10,2,0.001,0,-1.3,1.9,-0.4,0.773,0.608,0.938,0.727,0.58,0.773,0.724,0.347,0.843,0.376,0.203,0.595,0.722,0.316,0.85,0.353,0.181,0.583
poly,10,2,0.001,1,-4.8,4.2,0.3,0.881,0.879,0.883,0.881,0.763,0.881,0.737,0.484,0.817,0.469,0.296,0.65,0.734,0.526,0.8,0.488,0.311,0.663
poly,10,2,0.001,2,-6.2,5.7,0.4,0.888,0.883,0.892,0.887,0.777,0.888,0.744,0.505,0.82,0.487,0.322,0.663,0.772,0.474,0.867,0.5,0.354,0.67
poly,10,2,0.001,3,-7.2,6.0,0.5,0.883,0.875,0.892,0.882,0.767,0.883,0.739,0.474,0.823,0.466,0.297,0.649,0.747,0.474,0.833,0.474,0.307,0.654
poly,10,2,0.001,4,-7.9,6.6,-0.1,0.875,0.958,0.792,0.886,0.763,0.875,0.668,0.589,0.693,0.462,0.251,0.641,0.658,0.526,0.7,0.426,0.202,0.613
poly,10,3,0.1,0,-3.8,9.0,0.0,0.956,0.967,0.946,0.957,0.913,0.956,0.729,0.421,0.827,0.427,0.25,0.624,0.747,0.421,0.85,0.444,0.282,0.636
poly,10,3,0.1,1,-3.8,5.0,0.1,0.965,0.975,0.954,0.965,0.93,0.965,0.719,0.263,0.863,0.309,0.144,0.563,0.709,0.211,0.867,0.258,0.092,0.539
poly,10,3,0.1,2,-3.7,4.1,0.2,0.958,0.971,0.946,0.959,0.917,0.958,0.711,0.2,0.873,0.247,0.088,0.537,0.722,0.158,0.9,0.214,0.078,0.529
poly,10,3,0.1,3,-3.7,3.9,0.3,0.956,0.962,0.95,0.957,0.913,0.956,0.714,0.168,0.887,0.219,0.071,0.528,0.709,0.105,0.9,0.148,0.007,0.503
poly,10,3,0.1,4,-3.6,4.1,0.3,0.956,0.971,0.942,0.957,0.913,0.956,0.714,0.179,0.883,0.231,0.08,0.531,0.696,0.105,0.883,0.143,-0.015,0.494
poly,10,3,0.01,0,-2.7,8.6,-0.3,0.95,0.975,0.925,0.951,0.902,0.95,0.709,0.463,0.787,0.434,0.242,0.625,0.722,0.421,0.817,0.421,0.238,0.619
poly,10,3,0.01,1,-4.2,4.9,0.3,0.948,0.971,0.925,0.949,0.897,0.948,0.701,0.221,0.853,0.261,0.085,0.537,0.696,0.211,0.85,0.25,0.07,0.53
poly,10,3,0.01,2,-5.6,5.3,0.3,0.938,0.967,0.908,0.939,0.877,0.938,0.694,0.305,0.817,0.324,0.128,0.561,0.722,0.316,0.85,0.353,0.181,0.583
poly,10,3,0.01,3,-6.3,5.6,0.2,0.931,0.971,0.892,0.934,0.866,0.931,0.671,0.368,0.767,0.351,0.134,0.568,0.684,0.368,0.783,0.359,0.149,0.576
poly,10,3,0.01,4,-6.7,6.0,0.4,0.931,0.958,0.904,0.933,0.864,0.931,0.699,0.358,0.807,0.364,0.168,0.582,0.734,0.368,0.85,0.4,0.232,0.609
poly,10,3,0.001,0,-0.5,1.2,-0.1,0.66,0.333,0.987,0.491,0.424,0.66,0.716,0.063,0.923,0.096,-0.02,0.493,0.722,0.053,0.933,0.083,-0.025,0.493
poly,10,3,0.001,1,-4.7,5.0,0.2,0.892,0.904,0.879,0.893,0.784,0.892,0.727,0.484,0.803,0.458,0.279,0.644,0.747,0.474,0.833,0.474,0.307,0.654
poly,10,3,0.001,2,-8.3,6.2,0.2,0.896,0.946,0.846,0.901,0.797,0.896,0.681,0.442,0.757,0.4,0.191,0.599,0.722,0.474,0.8,0.45,0.265,0.637
poly,10,3,0.001,3,-12.5,10.0,0.4,0.9,0.933,0.867,0.903,0.802,0.9,0.676,0.442,0.75,0.398,0.183,0.596,0.734,0.474,0.817,0.462,0.285,0.645
poly,10,3,0.001,4,-12.7,10.0,0.1,0.885,0.958,0.812,0.893,0.78,0.885,0.643,0.474,0.697,0.391,0.155,0.585,0.658,0.421,0.733,0.372,0.143,0.577
