Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.3,1.2,-0.2,0.901,0.801,1.0,0.889,0.818,0.901,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-1.4,1.3,0.3,0.94,0.886,0.994,0.936,0.886,0.94,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,1,0.001,-1.6,1.5,0.3,0.828,0.717,0.94,0.807,0.674,0.828,0.872,0.6,0.943,0.66,0.586,0.771,0.887,0.636,0.952,0.7,0.636,0.794
RBF,1,0.0001,-0.9,1.0,0.1,0.633,0.521,0.739,0.528,0.282,0.63,0.721,0.582,0.757,0.468,0.352,0.669,0.811,0.727,0.833,0.615,0.505,0.78
RBF,1,1e-05,-1.0,1.0,-0.0,0.63,0.642,0.612,0.566,0.255,0.627,0.649,0.673,0.643,0.408,0.266,0.658,0.679,0.818,0.643,0.514,0.376,0.731
RBF,5,0.1,-0.2,1.2,-0.1,0.862,0.723,1.0,0.836,0.753,0.861,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-1.5,1.2,0.4,0.949,0.898,1.0,0.945,0.904,0.949,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,5,0.001,-2.3,2.2,0.2,0.901,0.88,0.922,0.899,0.803,0.901,0.785,0.527,0.852,0.507,0.372,0.69,0.774,0.455,0.857,0.455,0.312,0.656
RBF,5,0.0001,-1.5,1.3,0.3,0.777,0.644,0.909,0.739,0.576,0.777,0.883,0.691,0.933,0.707,0.637,0.812,0.887,0.727,0.929,0.727,0.656,0.828
RBF,5,1e-05,-1.0,1.0,0.1,0.606,0.424,0.782,0.454,0.257,0.603,0.717,0.455,0.786,0.404,0.315,0.62,0.868,0.455,0.976,0.588,0.551,0.715
RBF,10,0.1,-0.2,1.2,-0.1,0.862,0.723,1.0,0.836,0.753,0.861,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-1.5,1.2,0.4,0.949,0.898,1.0,0.945,0.904,0.949,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,10,0.001,-2.7,2.1,0.0,0.91,0.94,0.88,0.913,0.822,0.91,0.77,0.618,0.81,0.527,0.387,0.714,0.717,0.455,0.786,0.4,0.221,0.62
RBF,10,0.0001,-1.9,2.0,0.2,0.837,0.819,0.855,0.834,0.676,0.837,0.815,0.745,0.833,0.628,0.522,0.789,0.83,0.727,0.857,0.64,0.538,0.792
RBF,10,1e-05,-0.9,1.0,0.1,0.624,0.521,0.721,0.52,0.258,0.621,0.717,0.582,0.752,0.461,0.342,0.667,0.811,0.727,0.833,0.615,0.505,0.78
