Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-14.0,17.5,-0.1,0.916,0.97,0.861,0.92,0.837,0.916,0.736,0.564,0.781,0.469,0.308,0.672,0.755,0.545,0.81,0.48,0.327,0.677
linear,5,-14.1,17.5,-0.1,0.913,0.97,0.855,0.917,0.831,0.913,0.732,0.545,0.781,0.456,0.293,0.663,0.755,0.545,0.81,0.48,0.327,0.677
linear,10,-14.1,17.5,-0.1,0.913,0.97,0.855,0.917,0.831,0.913,0.732,0.545,0.781,0.456,0.293,0.663,0.755,0.545,0.81,0.48,0.327,0.677
linear,15,-14.1,17.5,-0.1,0.913,0.97,0.855,0.917,0.831,0.913,0.732,0.545,0.781,0.456,0.293,0.663,0.755,0.545,0.81,0.48,0.327,0.677
