Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.7,1.0,-0.0,0.83,0.659,1.0,0.783,0.705,0.83,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-1.7,1.2,0.1,0.912,0.946,0.88,0.916,0.834,0.913,0.908,0.8,0.956,0.842,0.78,0.878,0.885,0.75,0.944,0.8,0.723,0.847
RBF,1,0.001,-1.7,2.1,-0.2,0.905,0.865,0.946,0.897,0.82,0.905,0.923,0.875,0.944,0.875,0.819,0.91,0.923,0.875,0.944,0.875,0.819,0.91
RBF,1,0.0001,-1.0,1.1,-0.2,0.746,0.733,0.773,0.68,0.513,0.753,0.738,0.675,0.767,0.619,0.505,0.721,0.846,0.5,1.0,0.667,0.64,0.75
RBF,1,1e-05,-1.0,1.0,-0.0,0.566,0.347,0.8,0.358,0.22,0.573,0.654,0.325,0.8,0.299,0.233,0.562,0.769,0.25,1.0,0.4,0.433,0.625
RBF,5,0.1,-0.7,1.0,-0.0,0.83,0.672,0.987,0.786,0.7,0.83,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-1.9,1.4,0.3,0.953,0.959,0.947,0.953,0.908,0.953,0.823,0.475,0.978,0.617,0.573,0.726,0.808,0.375,1.0,0.545,0.542,0.688
RBF,5,0.001,-2.0,2.8,-0.3,0.926,0.959,0.893,0.929,0.859,0.926,0.846,0.825,0.856,0.768,0.663,0.84,0.846,0.875,0.833,0.778,0.672,0.854
RBF,5,0.0001,-1.4,1.8,-0.3,0.898,0.878,0.919,0.893,0.807,0.899,0.885,0.825,0.911,0.816,0.734,0.868,0.885,0.875,0.889,0.824,0.741,0.882
RBF,5,1e-05,-1.0,1.0,-0.1,0.74,0.72,0.773,0.673,0.499,0.747,0.723,0.625,0.767,0.557,0.427,0.696,0.846,0.5,1.0,0.667,0.64,0.75
RBF,10,0.1,-0.7,1.0,-0.0,0.83,0.672,0.987,0.786,0.7,0.83,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-1.9,1.4,0.3,0.953,0.959,0.947,0.953,0.908,0.953,0.831,0.475,0.989,0.628,0.595,0.732,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.001,-2.0,3.3,0.0,0.946,0.946,0.947,0.946,0.896,0.946,0.823,0.625,0.911,0.68,0.574,0.768,0.808,0.625,0.889,0.667,0.535,0.757
RBF,10,0.0001,-1.8,2.5,-0.2,0.912,0.878,0.947,0.906,0.835,0.912,0.885,0.775,0.933,0.805,0.725,0.854,0.923,0.875,0.944,0.875,0.819,0.91
RBF,10,1e-05,-1.0,1.1,-0.2,0.74,0.72,0.773,0.673,0.499,0.747,0.731,0.65,0.767,0.602,0.487,0.708,0.846,0.5,1.0,0.667,0.64,0.75
