Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-2.0,1.0,0.4,0.899,0.865,0.933,0.896,0.804,0.899,0.885,0.725,0.956,0.794,0.724,0.84,0.885,0.75,0.944,0.8,0.723,0.847
RBF,1,0.01,-1.7,1.7,-0.1,0.859,0.825,0.892,0.854,0.722,0.859,0.869,0.825,0.889,0.795,0.702,0.857,0.885,0.875,0.889,0.824,0.741,0.882
RBF,1,0.001,-1.2,1.7,-0.4,0.865,0.879,0.853,0.868,0.736,0.866,0.815,0.875,0.789,0.757,0.638,0.832,0.923,0.875,0.944,0.875,0.819,0.91
RBF,1,0.0001,-1.0,1.0,-0.1,0.68,0.587,0.787,0.593,0.396,0.687,0.738,0.6,0.8,0.573,0.457,0.7,0.846,0.5,1.0,0.667,0.64,0.75
RBF,1,1e-05,-1.0,1.0,-0.0,0.54,0.293,0.8,0.28,0.164,0.547,0.638,0.275,0.8,0.227,0.18,0.538,0.731,0.125,1.0,0.222,0.3,0.562
RBF,5,0.1,-1.9,1.1,0.3,0.919,0.931,0.907,0.921,0.844,0.919,0.892,0.775,0.944,0.815,0.742,0.86,0.885,0.75,0.944,0.8,0.723,0.847
RBF,5,0.01,-2.2,2.4,-0.2,0.872,0.891,0.852,0.874,0.749,0.872,0.785,0.8,0.778,0.698,0.549,0.789,0.731,0.75,0.722,0.632,0.441,0.736
RBF,5,0.001,-1.8,3.4,-0.4,0.859,0.879,0.839,0.861,0.722,0.859,0.746,0.875,0.689,0.681,0.522,0.782,0.731,0.875,0.667,0.667,0.5,0.771
RBF,5,0.0001,-1.0,1.1,-0.5,0.879,0.825,0.933,0.872,0.764,0.879,0.877,0.8,0.911,0.801,0.725,0.856,0.731,0.875,0.667,0.667,0.5,0.771
RBF,5,1e-05,-1.0,1.0,-0.1,0.553,0.8,0.32,0.56,0.167,0.56,0.431,0.775,0.278,0.388,0.085,0.526,0.538,0.875,0.389,0.538,0.264,0.632
RBF,10,0.1,-1.9,1.1,0.3,0.919,0.931,0.907,0.921,0.844,0.919,0.9,0.775,0.956,0.826,0.762,0.865,0.885,0.75,0.944,0.8,0.723,0.847
RBF,10,0.01,-2.2,2.6,0.3,0.872,0.825,0.92,0.867,0.75,0.872,0.8,0.55,0.911,0.627,0.507,0.731,0.731,0.25,0.944,0.364,0.281,0.597
RBF,10,0.001,-2.1,3.9,0.0,0.852,0.77,0.933,0.837,0.716,0.852,0.862,0.8,0.889,0.782,0.686,0.844,0.885,0.75,0.944,0.8,0.723,0.847
RBF,10,0.0001,-1.2,1.9,-0.3,0.866,0.811,0.92,0.858,0.736,0.866,0.923,0.85,0.956,0.871,0.82,0.903,0.885,0.75,0.944,0.8,0.723,0.847
RBF,10,1e-05,-1.0,1.0,-0.1,0.673,0.573,0.787,0.584,0.385,0.68,0.723,0.55,0.8,0.535,0.421,0.675,0.846,0.5,1.0,0.667,0.64,0.75
