Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-29.7,22.6,-0.1,0.85,0.904,0.796,0.858,0.705,0.85,0.658,0.547,0.693,0.433,0.215,0.62,0.734,0.632,0.767,0.533,0.362,0.699
linear,5,-62.3,56.1,-0.3,0.86,0.942,0.779,0.871,0.731,0.86,0.595,0.421,0.65,0.334,0.065,0.536,0.646,0.474,0.7,0.391,0.157,0.587
linear,10,-90.6,76.7,-0.8,0.86,0.95,0.771,0.872,0.733,0.86,0.57,0.484,0.597,0.352,0.071,0.54,0.57,0.474,0.6,0.346,0.064,0.537
linear,15,-104.9,93.6,-0.6,0.854,0.938,0.771,0.865,0.719,0.854,0.582,0.495,0.61,0.363,0.092,0.552,0.57,0.474,0.6,0.346,0.064,0.537
