Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.1,0,-34.4,22.2,13.0,0.776,0.041,1.0,0.077,0.138,0.52,0.777,0.074,1.0,0.134,0.212,0.537,0.772,0.053,1.0,0.1,0.201,0.526
poly,5,2,0.1,1,-17.4,16.7,2.2,0.773,0.082,0.983,0.138,0.147,0.533,0.785,0.168,0.98,0.268,0.278,0.574,0.772,0.158,0.967,0.25,0.219,0.562
poly,5,2,0.1,2,-13.1,16.1,2.5,0.776,0.095,0.983,0.161,0.174,0.539,0.78,0.147,0.98,0.234,0.243,0.564,0.772,0.158,0.967,0.25,0.219,0.562
poly,5,2,0.1,3,-12.0,14.3,2.5,0.776,0.11,0.979,0.185,0.202,0.544,0.787,0.158,0.987,0.255,0.285,0.572,0.759,0.105,0.967,0.174,0.14,0.536
poly,5,2,0.1,4,-13.2,15.9,2.7,0.776,0.123,0.975,0.201,0.207,0.549,0.787,0.158,0.987,0.255,0.285,0.572,0.759,0.105,0.967,0.174,0.14,0.536
poly,5,2,0.01,0,-9.3,2.4,-0.0,0.773,0.108,0.975,0.172,0.156,0.541,0.808,0.232,0.99,0.36,0.382,0.611,0.81,0.263,0.983,0.4,0.398,0.623
poly,5,2,0.01,1,-7.6,4.7,1.7,0.783,0.081,0.996,0.144,0.199,0.538,0.775,0.074,0.997,0.122,0.152,0.535,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,2,0.01,2,-8.5,9.2,2.0,0.783,0.094,0.992,0.16,0.205,0.543,0.775,0.095,0.99,0.161,0.201,0.542,0.797,0.158,1.0,0.273,0.353,0.579
poly,5,2,0.01,3,-9.4,12.8,2.3,0.783,0.121,0.983,0.194,0.215,0.552,0.78,0.116,0.99,0.195,0.238,0.553,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,2,0.01,4,-9.6,15.2,2.7,0.789,0.121,0.992,0.202,0.239,0.556,0.782,0.116,0.993,0.197,0.249,0.555,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,2,0.001,0,-1.0,1.6,-0.7,0.796,0.248,0.962,0.361,0.32,0.605,0.797,0.316,0.95,0.428,0.358,0.633,0.797,0.316,0.95,0.429,0.358,0.633
poly,5,2,0.001,1,-2.0,3.9,-0.1,0.783,0.27,0.938,0.35,0.286,0.604,0.744,0.347,0.87,0.39,0.24,0.609,0.759,0.368,0.883,0.424,0.282,0.626
poly,5,2,0.001,2,-3.1,5.3,1.3,0.792,0.109,1.0,0.192,0.285,0.554,0.77,0.084,0.987,0.14,0.143,0.535,0.734,0.0,0.967,0.0,-0.091,0.483
poly,5,2,0.001,3,-3.9,6.1,0.6,0.792,0.203,0.971,0.303,0.296,0.587,0.754,0.2,0.93,0.275,0.175,0.565,0.759,0.158,0.95,0.24,0.174,0.554
poly,5,2,0.001,4,-5.3,6.6,0.8,0.792,0.203,0.971,0.303,0.296,0.587,0.759,0.189,0.94,0.27,0.187,0.565,0.747,0.105,0.95,0.167,0.097,0.528
poly,5,3,0.1,0,-54.2,186.0,10.1,0.799,0.15,0.996,0.248,0.318,0.573,0.803,0.221,0.987,0.347,0.363,0.604,0.785,0.158,0.983,0.261,0.275,0.571
poly,5,3,0.1,1,-78.4,28.0,2.5,0.783,0.069,1.0,0.125,0.205,0.534,0.77,0.095,0.983,0.163,0.173,0.539,0.759,0.053,0.983,0.095,0.098,0.518
poly,5,3,0.1,2,-69.1,10.5,1.6,0.773,0.041,0.996,0.074,0.098,0.518,0.765,0.042,0.993,0.076,0.107,0.518,0.747,0.0,0.983,0.0,-0.064,0.492
poly,5,3,0.1,3,-59.0,2.3,1.6,0.767,0.028,0.992,0.052,0.065,0.51,0.787,0.116,1.0,0.202,0.29,0.558,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,3,0.1,4,-54.1,2.6,0.9,0.738,0.07,0.942,0.111,0.049,0.506,0.805,0.284,0.97,0.407,0.372,0.627,0.81,0.368,0.95,0.483,0.409,0.659
poly,5,3,0.01,0,-1.4,12.8,0.1,0.808,0.19,0.996,0.304,0.365,0.593,0.77,0.116,0.977,0.184,0.172,0.546,0.772,0.158,0.967,0.25,0.219,0.562
poly,5,3,0.01,1,-10.9,3.4,0.7,0.751,0.122,0.942,0.174,0.105,0.532,0.767,0.232,0.937,0.311,0.243,0.584,0.772,0.158,0.967,0.25,0.219,0.562
poly,5,3,0.01,2,-17.2,8.3,1.1,0.744,0.163,0.921,0.22,0.111,0.542,0.757,0.2,0.933,0.272,0.189,0.567,0.797,0.263,0.967,0.385,0.346,0.615
poly,5,3,0.01,3,-21.8,13.4,5.3,0.773,0.041,0.996,0.075,0.115,0.518,0.77,0.042,1.0,0.075,0.111,0.521,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.01,4,-21.5,17.1,6.4,0.776,0.041,1.0,0.077,0.138,0.52,0.767,0.032,1.0,0.058,0.098,0.516,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.001,0,-1.0,1.2,-0.8,0.789,0.138,0.988,0.234,0.271,0.563,0.797,0.158,1.0,0.271,0.351,0.579,0.797,0.158,1.0,0.273,0.353,0.579
poly,5,3,0.001,1,-2.6,4.5,0.3,0.795,0.19,0.979,0.287,0.299,0.584,0.767,0.211,0.943,0.292,0.213,0.577,0.785,0.316,0.933,0.414,0.32,0.625
poly,5,3,0.001,2,-4.5,7.8,1.7,0.792,0.135,0.992,0.229,0.287,0.563,0.765,0.074,0.983,0.127,0.152,0.529,0.734,0.0,0.967,0.0,-0.091,0.483
poly,5,3,0.001,3,-5.4,11.7,2.4,0.792,0.135,0.992,0.223,0.283,0.563,0.772,0.074,0.993,0.128,0.181,0.534,0.734,0.0,0.967,0.0,-0.091,0.483
poly,5,3,0.001,4,-8.1,15.7,2.2,0.786,0.162,0.975,0.253,0.249,0.568,0.775,0.126,0.98,0.204,0.194,0.553,0.747,0.053,0.967,0.091,0.043,0.51
poly,10,2,0.1,0,-29.7,22.2,13.0,0.776,0.041,1.0,0.077,0.138,0.52,0.777,0.074,1.0,0.134,0.212,0.537,0.772,0.053,1.0,0.1,0.201,0.526
poly,10,2,0.1,1,-17.0,16.7,2.2,0.773,0.082,0.983,0.138,0.147,0.533,0.787,0.179,0.98,0.284,0.292,0.579,0.772,0.158,0.967,0.25,0.219,0.562
poly,10,2,0.1,2,-13.1,16.1,2.5,0.776,0.095,0.983,0.161,0.174,0.539,0.78,0.147,0.98,0.234,0.243,0.564,0.772,0.158,0.967,0.25,0.219,0.562
