Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-6.4,18.5,2.2,0.789,0.4,0.946,0.51,0.444,0.673,0.731,0.225,0.956,0.306,0.238,0.59,0.731,0.125,1.0,0.222,0.3,0.562
linear,5,-7.5,29.0,1.6,0.76,0.433,0.891,0.504,0.382,0.662,0.708,0.275,0.9,0.355,0.211,0.588,0.577,0.0,0.833,0.0,-0.241,0.417
linear,10,-11.6,44.5,-0.0,0.721,0.567,0.784,0.533,0.35,0.675,0.669,0.375,0.8,0.402,0.19,0.587,0.538,0.0,0.778,0.0,-0.284,0.389
linear,15,-15.1,46.7,12.5,0.77,0.2,1.0,0.314,0.346,0.6,0.708,0.075,0.989,0.129,0.144,0.532,0.692,0.0,1.0,0.0,0.0,0.5
