Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-18.1,29.6,4.5,0.783,0.134,0.979,0.21,0.206,0.557,0.772,0.095,0.987,0.166,0.196,0.541,0.747,0.0,0.983,0.0,-0.064,0.492
linear,5,-40.0,39.9,5.6,0.764,0.148,0.95,0.206,0.136,0.549,0.765,0.147,0.96,0.226,0.194,0.554,0.772,0.053,1.0,0.1,0.201,0.526
linear,10,-52.9,47.0,3.9,0.748,0.216,0.908,0.269,0.157,0.562,0.754,0.232,0.92,0.308,0.21,0.576,0.785,0.158,0.983,0.261,0.275,0.571
linear,15,-58.2,52.8,5.0,0.757,0.189,0.929,0.25,0.155,0.559,0.765,0.221,0.937,0.306,0.226,0.579,0.785,0.105,1.0,0.19,0.286,0.553
