Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-24.4,25.0,3.5,0.78,0.149,0.971,0.231,0.208,0.56,0.744,0.105,0.947,0.166,0.096,0.526,0.696,0.053,0.9,0.077,-0.071,0.476
linear,5,-50.2,57.7,11.3,0.776,0.055,0.996,0.102,0.163,0.526,0.759,0.021,0.993,0.038,0.032,0.507,0.772,0.053,1.0,0.1,0.201,0.526
linear,10,-59.0,74.0,11.0,0.776,0.096,0.983,0.164,0.174,0.54,0.759,0.053,0.983,0.088,0.065,0.518,0.747,0.053,0.967,0.091,0.043,0.51
linear,15,-62.3,83.0,3.8,0.741,0.248,0.892,0.305,0.173,0.57,0.704,0.168,0.873,0.214,0.052,0.521,0.696,0.158,0.867,0.2,0.03,0.512
