Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-15.0,8.5,3.4,0.776,0.108,0.979,0.158,0.148,0.543,0.765,0.105,0.973,0.17,0.146,0.539,0.785,0.158,0.983,0.261,0.275,0.571
linear,5,-19.2,9.6,0.3,0.69,0.381,0.783,0.362,0.159,0.582,0.608,0.263,0.717,0.24,-0.021,0.49,0.671,0.368,0.767,0.35,0.131,0.568
linear,10,-19.7,9.8,3.9,0.78,0.121,0.979,0.182,0.184,0.55,0.767,0.105,0.977,0.169,0.151,0.541,0.759,0.053,0.983,0.095,0.098,0.518
linear,15,-19.7,9.7,3.8,0.783,0.134,0.979,0.2,0.202,0.557,0.762,0.105,0.97,0.165,0.134,0.538,0.759,0.053,0.983,0.095,0.098,0.518
