Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-2.0,2.0,0.5,0.75,0.562,0.938,0.691,0.542,0.75,0.742,0.126,0.937,0.186,0.095,0.531,0.734,0.105,0.933,0.16,0.062,0.519
RBF,1,0.01,-1.9,2.4,-0.3,0.738,0.792,0.683,0.75,0.483,0.738,0.691,0.621,0.713,0.493,0.298,0.667,0.646,0.632,0.65,0.462,0.244,0.641
RBF,1,0.001,-1.5,1.6,-0.7,0.658,0.917,0.4,0.729,0.373,0.658,0.473,0.747,0.387,0.406,0.12,0.567,0.481,0.737,0.4,0.406,0.121,0.568
RBF,1,0.0001,-0.3,0.3,-0.1,0.625,0.362,0.888,0.485,0.3,0.625,0.805,0.442,0.92,0.527,0.445,0.681,0.823,0.316,0.983,0.462,0.45,0.65
RBF,1,1e-05,-0.0,0.0,-0.0,0.583,0.179,0.988,0.297,0.284,0.583,0.775,0.063,1.0,0.118,0.218,0.532,0.772,0.053,1.0,0.1,0.201,0.526
RBF,5,0.1,-3.0,2.6,0.1,0.833,0.838,0.829,0.832,0.671,0.833,0.716,0.526,0.777,0.472,0.284,0.651,0.722,0.526,0.783,0.476,0.291,0.655
RBF,5,0.01,-2.4,2.8,-0.4,0.748,0.838,0.658,0.768,0.508,0.748,0.646,0.621,0.653,0.457,0.238,0.637,0.671,0.632,0.683,0.48,0.276,0.657
RBF,5,0.001,-2.0,3.2,-0.3,0.727,0.762,0.692,0.736,0.457,0.727,0.686,0.6,0.713,0.479,0.28,0.657,0.696,0.632,0.717,0.5,0.309,0.674
RBF,5,0.0001,-1.1,1.2,-0.0,0.612,0.25,0.975,0.39,0.328,0.612,0.792,0.137,1.0,0.238,0.325,0.568,0.785,0.105,1.0,0.19,0.286,0.553
RBF,5,1e-05,-0.2,0.1,0.0,0.583,0.179,0.988,0.297,0.284,0.583,0.775,0.063,1.0,0.118,0.218,0.532,0.772,0.053,1.0,0.1,0.201,0.526
RBF,10,0.1,-3.5,2.9,0.1,0.858,0.871,0.846,0.859,0.719,0.858,0.676,0.495,0.733,0.423,0.208,0.614,0.684,0.421,0.767,0.39,0.179,0.594
RBF,10,0.01,-2.9,3.5,-0.3,0.752,0.783,0.721,0.757,0.509,0.752,0.678,0.6,0.703,0.473,0.269,0.652,0.722,0.632,0.75,0.522,0.344,0.691
RBF,10,0.001,-2.1,3.8,-0.2,0.731,0.746,0.717,0.734,0.467,0.731,0.714,0.589,0.753,0.498,0.314,0.671,0.747,0.632,0.783,0.545,0.381,0.707
RBF,10,0.0001,-1.5,1.8,-0.7,0.66,0.921,0.4,0.731,0.378,0.66,0.456,0.747,0.363,0.398,0.1,0.555,0.468,0.737,0.383,0.4,0.107,0.56
RBF,10,1e-05,-0.3,0.3,-0.1,0.621,0.354,0.888,0.477,0.292,0.621,0.805,0.442,0.92,0.527,0.445,0.681,0.823,0.316,0.983,0.462,0.45,0.65
