Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.6,1.1,-0.2,0.906,0.921,0.892,0.914,0.831,0.906,0.673,0.2,0.823,0.123,-0.007,0.512,0.747,0.0,0.983,0.0,-0.064,0.492
RBF,1,0.01,-2.1,1.4,0.1,0.938,0.9,0.975,0.935,0.878,0.938,0.719,0.084,0.92,0.123,0.005,0.502,0.747,0.053,0.967,0.091,0.043,0.51
RBF,1,0.001,-1.7,1.4,0.0,0.829,0.763,0.896,0.816,0.666,0.829,0.694,0.347,0.803,0.352,0.152,0.575,0.709,0.368,0.817,0.378,0.189,0.593
RBF,1,0.0001,-0.9,0.9,-0.6,0.706,0.875,0.538,0.748,0.441,0.706,0.542,0.716,0.487,0.43,0.175,0.601,0.595,0.684,0.567,0.448,0.214,0.625
RBF,1,1e-05,-0.1,0.1,0.0,0.621,0.25,0.992,0.396,0.36,0.621,0.765,0.126,0.967,0.204,0.172,0.546,0.759,0.105,0.967,0.174,0.14,0.536
RBF,5,0.1,-0.6,1.1,-0.1,0.896,0.792,1.0,0.881,0.811,0.896,0.757,0.0,0.997,0.0,-0.013,0.498,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-2.4,1.5,0.3,0.973,0.954,0.992,0.972,0.947,0.973,0.732,0.053,0.947,0.086,0.002,0.5,0.747,0.053,0.967,0.091,0.043,0.51
RBF,5,0.001,-3.0,2.3,0.0,0.888,0.896,0.879,0.888,0.778,0.888,0.658,0.358,0.753,0.337,0.108,0.556,0.671,0.368,0.767,0.35,0.131,0.568
RBF,5,0.0001,-1.6,1.9,-0.3,0.802,0.85,0.754,0.811,0.608,0.802,0.651,0.474,0.707,0.395,0.164,0.59,0.633,0.421,0.7,0.356,0.11,0.561
RBF,5,1e-05,-0.5,0.5,-0.3,0.708,0.804,0.612,0.732,0.429,0.708,0.603,0.663,0.583,0.446,0.211,0.623,0.696,0.579,0.733,0.478,0.281,0.656
RBF,10,0.1,-0.6,1.1,-0.1,0.896,0.792,1.0,0.881,0.811,0.896,0.757,0.0,0.997,0.0,-0.013,0.498,0.759,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-2.4,1.5,0.1,0.973,0.967,0.979,0.973,0.946,0.973,0.686,0.074,0.88,0.1,-0.062,0.477,0.709,0.053,0.917,0.08,-0.05,0.485
RBF,10,0.001,-3.8,2.8,0.3,0.902,0.879,0.925,0.9,0.806,0.902,0.737,0.263,0.887,0.324,0.18,0.575,0.722,0.263,0.867,0.312,0.15,0.565
RBF,10,0.0001,-2.0,2.2,-0.2,0.823,0.838,0.808,0.825,0.648,0.823,0.696,0.495,0.76,0.438,0.237,0.627,0.684,0.474,0.75,0.419,0.208,0.612
RBF,10,1e-05,-0.9,0.9,-0.6,0.715,0.825,0.604,0.743,0.442,0.715,0.592,0.663,0.57,0.439,0.199,0.617,0.608,0.684,0.583,0.456,0.229,0.634
