Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.5,-0.4,-0.5,0.308,1.0,0.027,0.455,0.057,0.513,0.338,1.0,0.044,0.482,0.107,0.522,0.346,1.0,0.056,0.485,0.133,0.528
RBF,1,0.01,-1.6,0.9,-0.2,0.943,0.867,0.973,0.887,0.853,0.92,0.915,0.875,0.933,0.866,0.806,0.904,0.923,0.875,0.944,0.875,0.819,0.91
RBF,1,0.001,-1.5,2.0,-0.3,0.894,0.733,0.96,0.796,0.746,0.847,0.885,0.875,0.889,0.824,0.741,0.882,0.885,0.875,0.889,0.824,0.741,0.882
RBF,1,0.0001,-0.6,1.0,0.1,0.713,0.667,0.733,0.566,0.467,0.7,0.692,0.8,0.644,0.641,0.442,0.722,0.808,0.375,1.0,0.545,0.542,0.688
RBF,1,1e-05,0.8,1.0,0.9,0.646,0.8,0.585,0.603,0.431,0.692,0.646,0.9,0.533,0.638,0.421,0.717,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-0.5,-0.4,-0.5,0.308,1.0,0.027,0.455,0.057,0.513,0.338,1.0,0.044,0.482,0.107,0.522,0.346,1.0,0.056,0.485,0.133,0.528
RBF,5,0.01,-1.4,0.9,0.0,0.943,0.833,0.987,0.867,0.856,0.91,0.962,0.875,1.0,0.933,0.91,0.938,0.962,0.875,1.0,0.933,0.91,0.938
RBF,5,0.001,-1.5,2.9,-0.4,0.875,0.767,0.92,0.765,0.706,0.843,0.915,0.85,0.944,0.861,0.803,0.897,0.923,0.875,0.944,0.875,0.819,0.91
RBF,5,0.0001,-1.7,1.7,-0.2,0.875,0.633,0.973,0.739,0.691,0.803,0.846,0.7,0.911,0.729,0.638,0.806,0.846,0.75,0.889,0.75,0.639,0.819
RBF,5,1e-05,-0.2,1.0,0.6,0.73,0.5,0.827,0.416,0.342,0.663,0.723,0.55,0.8,0.501,0.419,0.675,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.1,-0.5,-0.4,-0.5,0.308,1.0,0.027,0.455,0.057,0.513,0.338,1.0,0.044,0.482,0.107,0.522,0.346,1.0,0.056,0.485,0.133,0.528
RBF,10,0.01,-1.4,0.9,0.0,0.943,0.833,0.987,0.867,0.856,0.91,0.962,0.875,1.0,0.933,0.91,0.938,0.962,0.875,1.0,0.933,0.91,0.938
RBF,10,0.001,-1.6,3.1,-0.5,0.885,0.833,0.907,0.796,0.739,0.87,0.9,0.85,0.922,0.842,0.773,0.886,0.923,0.875,0.944,0.875,0.819,0.91
RBF,10,0.0001,-2.0,2.5,-0.1,0.875,0.633,0.973,0.739,0.691,0.803,0.862,0.7,0.933,0.755,0.671,0.817,0.846,0.625,0.944,0.714,0.624,0.785
RBF,10,1e-05,-0.6,1.1,-0.0,0.626,0.667,0.613,0.506,0.369,0.64,0.638,0.825,0.556,0.606,0.39,0.69,0.846,0.625,0.944,0.714,0.624,0.785
