CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
CTNND1,100,CDHR2,67,0.163
MTHFD1L,80,CLIC2,31,0.343
MYO10,138,CABP2,44,0.156
MYO10,138,GUCA1C,32,0.156
GNAI1,13,ARL11,48,0.167
GNAI1,13,DRD5,59,0.15
GNAI1,13,TAAR1,14,0.15
GNAI1,13,PSKH2,109,0.152
GNAI1,13,OR5K4,87,0.15
STRN,50,NXNL1,105,0.246
STRN,50,TXNDC11,90,0.25
PKP4,54,CDHR2,67,0.163
PABPC1,66,DHX15,79,0.564
PABPC1,66,NAA38,39,0.171
MFNG,51,UNCX,69,0.159
CHD7,4,UBTFL1,114,0.163
PLEC,75,CABP2,44,0.309
PLEC,75,GUCA1C,32,0.244
PLEC,75,MICAL3,68,0.212
