CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
PKP4,54,CDHR2,67,0.163
STRN,50,GNAI1,13,0.213
STRN,50,NXNL1,105,0.246
STRN,50,TXNDC11,90,0.25
CHD7,4,UBTFL1,114,0.163
PLEC,75,CABP2,44,0.309
PLEC,75,GUCA1C,32,0.244
PLEC,75,MICAL3,68,0.212
