Index,position,attribute,projections,classifiers,nodes,RI
8504,1,METTL7A,96,0.7729167,0.79791665,0.028322019
4638,2,EXOC5,89,0.5887641,0.6022472,0.019474685
15487,3,TRIM13,100,0.72,0.752,0.017083898
2660,4,CHD7,80,0.6825,0.695,0.015551847
2548,5,CENPK,98,0.5632653,0.59591836,0.015523391
13944,6,SPACA7,104,0.72884613,0.775,0.014116201
5277,7,FRMD4B,97,0.59381443,0.65360826,0.01374959
9269,8,NDUFC2_KCTD14,110,0.5872727,0.66727275,0.013248264
35,9,ABCA7,102,0.6,0.72156864,0.013225867
13947,10,SPAG11B,96,0.6479167,0.65625,0.012673734
8678,11,MOCS1,94,0.45106384,0.47659576,0.011947947
8294,12,MAPKAPK5,100,0.44,0.47,0.011899393
5719,13,GNAI1,100,0.444,0.464,0.01184673
14486,14,TAAR1,124,0.56935483,0.65806454,0.011593077
14608,15,TBC1D22B,106,0.42075473,0.4301887,0.011251724
9795,16,OCEL1,101,0.47326732,0.5524753,0.011094998
8091,17,LY6G6E,99,0.4969697,0.6545454,0.01007119
10252,18,OSBPL1A,103,0.42524272,0.4563107,0.009983435
16725,19,ZNF133,84,0.43333334,0.45238096,0.009951194
8165,20,MAGEA2B,107,0.62056077,0.682243,0.0098543465
16507,21,YY2,103,0.44271845,0.46601942,0.009664995
6985,22,ITGA8,89,0.38202247,0.4022472,0.00955288
1665,23,C1QC,118,0.33898306,0.3457627,0.009128723
10173,24,OR6C68,89,0.44269663,0.4494382,0.009096933
9999,25,OR2T3,81,0.5308642,0.5901235,0.009025365
16287,26,WDR1,110,0.4690909,0.48909092,0.008935733
12040,27,RASA1,125,0.3712,0.3952,0.008882684
4141,28,DUSP1,85,0.36,0.38352942,0.008839882
1499,29,BSDC1,80,0.5075,0.5325,0.008665753
9580,30,NPS,85,0.4752941,0.47764707,0.008538307
2865,31,CLIC2,95,0.30526316,0.31789473,0.008469848
6082,32,GUCA1C,117,0.5521368,0.5692308,0.008459797
14192,33,SSX2B,85,0.43058825,0.43058825,0.008380898
603,34,ANKLE2,85,0.3435294,0.35058823,0.008302156
10021,35,OR4C12,95,0.44842106,0.47368422,0.008197228
2968,36,CNPY1,93,0.44301075,0.51182795,0.008129157
13156,37,SFXN5,86,0.33255813,0.34186047,0.007973437
11415,38,PRAMEF20,95,0.51578945,0.5368421,0.007960883
9104,39,NAA38,109,0.4256881,0.43486238,0.007849097
2630,40,CGB8,77,0.47532466,0.5194805,0.0076909554
7098,41,KBTBD12,104,0.38846153,0.4173077,0.007686883
13141,42,SFSWAP,93,0.3483871,0.36344087,0.0076430296
11,43,AADACL3,105,0.47619048,0.51428574,0.0072790273
1873,44,CABP2,83,0.46024096,0.47469878,0.0072035226
5783,45,GOLGA8G,111,0.5117117,0.56396395,0.007161486
6499,46,HSFX1,103,0.41941747,0.46019417,0.0071256272
9332,47,NEUROD6,99,0.38181818,0.46464646,0.007103864
908,48,ARL11,109,0.47155964,0.50642204,0.0070996517
9872,49,OR10AG1,105,0.40571427,0.41714287,0.0070482506
14316,50,STRN,100,0.282,0.294,0.0070420285
8523,51,MFNG,109,0.27706423,0.29174313,0.0069834157
16321,52,WDR6,86,0.4511628,0.4744186,0.0069742086
5081,53,FGF5,94,0.42340425,0.44680852,0.00696023
10959,54,PKP4,91,0.27032968,0.2857143,0.006921864
12450,55,RNF168,98,0.4244898,0.5122449,0.006911079
3213,56,CRHBP,94,0.41276595,0.42978725,0.0068033487
2898,57,CLRN2,100,0.336,0.412,0.006735575
6646,58,IFNA7,101,0.44356436,0.45742574,0.0067280824
4096,59,DRD5,89,0.41123596,0.42022473,0.0067209345
4680,60,F5,88,0.40681818,0.4227273,0.006594155
12718,61,RTL1,101,0.44752476,0.46138614,0.006560195
1900,62,CACNG3,100,0.426,0.474,0.0065047946
13376,63,SLC17A6,104,0.3596154,0.41538462,0.0064469576
10179,64,OR6K2,105,0.32190475,0.32761905,0.0063517154
14500,65,TACC3,95,0.34105262,0.36,0.006320331
10340,66,PABPC1,106,0.28490567,0.31509435,0.006318813
2431,67,CDHR2,101,0.3069307,0.31683168,0.0063172593
8563,68,MICAL3,98,0.33061224,0.39387757,0.0061546024
16010,69,UNCX,107,0.34018692,0.34205607,0.0061428715
7950,70,LRP5L,99,0.27070707,0.2888889,0.0061144275
13196,71,SH3BP2,109,0.34862384,0.36697248,0.0061067836
13393,72,SLC20A1,99,0.37777779,0.47474748,0.0060991165
14329,73,STX18,99,0.26868686,0.28484848,0.006076774
7543,74,KRTAP16_1,100,0.412,0.462,0.0060628415
11020,75,PLEC,92,0.37173912,0.38043478,0.00606133
10372,76,PAGE3,109,0.38348624,0.3853211,0.0060465313
13289,77,SIRPD,99,0.41414142,0.43030304,0.0060344785
3762,78,DEFB132,106,0.3773585,0.38490567,0.0060333028
3840,79,DHX15,96,0.3875,0.42708334,0.0060095354
8908,80,MTHFD1L,86,0.2860465,0.30232558,0.0059992285
5618,81,GJA10,119,0.34957984,0.43529412,0.005978844
10234,82,ORAI2,101,0.27128714,0.27326733,0.0059758737
8650,83,MMP26,114,0.37894738,0.40350878,0.005938661
4610,84,ETV3L,111,0.3783784,0.4108108,0.0058682547
9135,85,NANOS2,104,0.44615385,0.45576924,0.0058258595
9905,86,OR11L1,102,0.41568628,0.42745098,0.0058205174
10146,87,OR5K4,104,0.40384614,0.425,0.0058123963
15524,88,TRIM48,99,0.4121212,0.43838385,0.0058020717
10077,89,OR51G2,93,0.35268816,0.37634408,0.0058007967
15800,90,TXNDC11,101,0.32475248,0.34257427,0.0057995543
11121,91,PNLIPRP3,95,0.32842106,0.3768421,0.0057070833
14356,92,SUFU,92,0.3173913,0.3347826,0.0056906287
3283,93,CSH2,84,0.34285715,0.4047619,0.0056760567
10437,94,PARP3,93,0.28387097,0.29462364,0.005669087
8121,95,LYSMD2,111,0.33513513,0.34414414,0.005653119
675,96,ANO9,123,0.37398374,0.4276423,0.0056517245
13463,97,SLC25A43,96,0.35625,0.44791666,0.0056261495
15247,98,TMSB15B,96,0.34375,0.35416666,0.0056167687
2012,99,CASP14,104,0.33846155,0.36153847,0.0055982037
3377,100,CTNND1,108,0.25925925,0.2777778,0.0055838046
12793,101,SAA2_SAA4,107,0.33831775,0.34392524,0.005531187
7049,102,JARID2,77,0.3922078,0.43116882,0.0054752463
14183,103,SST,77,0.35584417,0.37922078,0.00547114
5220,104,FOXD4L6,114,0.3263158,0.37719297,0.005448519
9768,105,NXNL1,91,0.36043957,0.3846154,0.005428662
14556,106,TARM1,91,0.34505495,0.37362638,0.00540769
6641,107,IFNA2,98,0.3632653,0.3857143,0.005398933
3732,108,DEFA5,90,0.38444445,0.39333335,0.005391407
11654,109,PSKH2,103,0.3553398,0.3961165,0.0053739995
5951,110,GRAPL,90,0.30444443,0.37555555,0.0053589433
9901,111,OR11H12,94,0.3425532,0.3787234,0.0053261463
8096,112,LY75_CD302,106,0.28490567,0.30377358,0.005312479
137,113,ACIN1,108,0.29814816,0.32222223,0.005308
15920,114,UBTFL1,113,0.33451328,0.3876106,0.0052901944
5052,115,FEZF2,108,0.3314815,0.36481482,0.0051469435
8173,116,MAGEB10,91,0.34505495,0.36483517,0.005139492
7694,117,LCE3C,91,0.25054947,0.25054947,0.005137635
14742,118,TECRL,102,0.37254903,0.38235295,0.0051209037
13398,119,SLC22A12,87,0.31494254,0.34252873,0.0051144655
11577,120,PRR23B,87,0.33333334,0.36091954,0.0050936393
4603,121,ETNK1,103,0.2660194,0.2699029,0.005076365
13926,122,SP100,87,0.27586207,0.291954,0.0050690444
13194,123,SH3BGRL3,126,0.31269842,0.32222223,0.0050511165
6134,124,HAS2,95,0.37894738,0.42105263,0.0050189486
2119,125,CCDC166,110,0.3909091,0.44545454,0.0050189304
11616,126,PRSS50,101,0.2970297,0.3029703,0.005005613
7581,127,KRTAP4_7,128,0.3015625,0.3078125,0.0049825013
1605,128,C14orf39,105,0.2704762,0.2742857,0.0049767885
3836,129,DHRS7C,82,0.33658537,0.34146342,0.004938945
6639,130,IFNA16,108,0.28703704,0.2888889,0.0049301274
10074,131,OR51F1,83,0.32048193,0.33734939,0.0049285945
10066,132,OR51A7,91,0.34285715,0.34945056,0.0049032737
1761,133,C3AR1,101,0.23564357,0.23564357,0.004899657
10053,134,OR4M1,93,0.28817204,0.28817204,0.004870723
6282,135,HIP1R,107,0.26728973,0.27663553,0.0048645874
2306,136,CD2AP,87,0.25287357,0.28045976,0.004850709
8354,137,MBOAT2,114,0.23157895,0.23508772,0.0048460118
9041,138,MYO10,121,0.25785124,0.2694215,0.004840269
1719,139,C20orf141,97,0.30103093,0.3216495,0.00483715
5774,140,GOLGA6L1,104,0.3480769,0.3673077,0.0048322184
10057,141,OR4N5,100,0.39,0.394,0.004831947
10669,142,PDX1,96,0.31666666,0.34791666,0.004824197
2604,143,CETN1,105,0.28761905,0.2895238,0.0048234337
779,144,APOL3,93,0.24301076,0.26451612,0.0047850795
9006,145,MYF5,105,0.29904762,0.30476192,0.0047839363
2759,146,CIDEB,89,0.22022472,0.23595506,0.0047782706
4829,147,FAM25G,95,0.32210526,0.33894736,0.004757013
7882,148,LMTK2,99,0.24040404,0.25858587,0.0047350377
1904,149,CACNG7,96,0.30208334,0.32916668,0.004728741
3983,150,DNAJC25,102,0.22941177,0.24509804,0.00470698
15179,151,TMEM52,86,0.3232558,0.35813954,0.004706975
5603,152,GIMAP7,103,0.2368932,0.24271844,0.0046866513
2939,153,CNGA2,92,0.32826087,0.33913043,0.004686399
5880,154,GPR180,97,0.23298968,0.24742268,0.0046692514
10055,155,OR4N2,102,0.327451,0.3392157,0.0046631102
10182,156,OR6M1,107,0.2897196,0.3682243,0.004657155
13886,157,SOHLH1,103,0.33786407,0.4,0.004651282
5417,158,GAGE12J,103,0.3339806,0.3514563,0.0046368833
16586,159,ZCCHC13,121,0.32396695,0.338843,0.004624828
11100,160,PMEPA1,83,0.3927711,0.40963855,0.004622708
1319,161,BCL10,85,0.27294117,0.28470588,0.004618129
516,162,ALOX15,82,0.32439023,0.35853657,0.0046076253
3926,163,DMRTB1,114,0.3140351,0.33333334,0.004602547
4255,164,EDNRB,107,0.2224299,0.22803739,0.0045844535
9894,165,OR10V1,96,0.2875,0.31041667,0.004579684
8944,166,MTRNR2L7,93,0.30967742,0.3268817,0.0045745997
11019,167,PLD6,105,0.2952381,0.30476192,0.004571874
11119,168,PNLIP,96,0.28958333,0.31875,0.0045601376
14424,169,SYCP1,101,0.3029703,0.32277226,0.0045353305
16286,170,WDPCP,106,0.21320754,0.21509434,0.004534816
9331,171,NEUROD4,102,0.30980393,0.32156864,0.0045276526
2406,172,CDCP2,95,0.31789473,0.36421052,0.0045106304
10050,173,OR4K2,102,0.30784315,0.33137256,0.0045077843
12339,174,RHOXF2B,105,0.2895238,0.35619047,0.0044988818
1288,175,BAZ2B,104,0.24807692,0.28076923,0.004497974
13939,176,SPACA1,100,0.266,0.288,0.0044966266
7131,177,KCNF1,105,0.26666668,0.2838095,0.0044886116
4170,178,DYDC1,103,0.32038835,0.3883495,0.004466402
16008,179,UNC93A,86,0.26744187,0.2883721,0.004449271
16630,180,ZFAND3,86,0.22093023,0.2255814,0.0044459715
14194,181,SSX3,94,0.33617023,0.34042552,0.004444095
2275,182,CD14,103,0.19417475,0.19805825,0.0044380953
1275,183,BARD1,112,0.25,0.25892857,0.004408204
12379,184,RIT2,105,0.30095237,0.3257143,0.004399492
8090,185,LY6G6D,105,0.24761905,0.2495238,0.0043881703
15964,186,UGT2A2,94,0.3212766,0.32553193,0.004372533
10172,187,OR6C65,131,0.29007635,0.29923666,0.0043648784
7003,188,ITGB8,104,0.24615385,0.2576923,0.00435328
10996,189,PLCB1,91,0.21978022,0.22857143,0.004351025
3291,190,CSN3,97,0.26804122,0.28865978,0.004321917
10044,191,OR4F6,100,0.3,0.316,0.0043195244
10166,192,OR6B3,107,0.25233644,0.2542056,0.0043100547
11407,193,PRAMEF12,89,0.27865168,0.28988764,0.004308853
14365,194,SULT1A4,91,0.26153848,0.26153848,0.004306693
