n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.837,0.782,0.892,0.825,0.682,0.837,0.862,0.7,0.933,0.76,0.67,0.817,0.923,0.75,1.0,0.857,0.822,0.875
200,None,0.5,0.837,0.81,0.866,0.833,0.678,0.838,0.862,0.75,0.911,0.773,0.688,0.831,0.885,0.75,0.944,0.8,0.723,0.847
200,None,0.75,0.824,0.796,0.851,0.819,0.651,0.824,0.838,0.775,0.867,0.747,0.633,0.821,0.846,0.625,0.944,0.714,0.624,0.785
200,None,None,0.817,0.783,0.851,0.811,0.639,0.817,0.854,0.75,0.9,0.761,0.668,0.825,0.846,0.75,0.889,0.75,0.639,0.819
400,None,0.25,0.838,0.782,0.892,0.824,0.682,0.837,0.885,0.75,0.944,0.8,0.729,0.847,0.923,0.75,1.0,0.857,0.822,0.875
400,None,0.5,0.837,0.81,0.866,0.833,0.678,0.838,0.869,0.725,0.933,0.776,0.696,0.829,0.885,0.625,1.0,0.769,0.732,0.812
400,None,0.75,0.831,0.796,0.865,0.824,0.664,0.83,0.854,0.725,0.911,0.753,0.653,0.818,0.846,0.625,0.944,0.714,0.624,0.785
400,None,None,0.831,0.796,0.865,0.824,0.664,0.83,0.854,0.75,0.9,0.761,0.668,0.825,0.923,0.75,1.0,0.857,0.822,0.875
600,None,0.25,0.851,0.796,0.906,0.84,0.71,0.851,0.885,0.75,0.944,0.8,0.731,0.847,0.885,0.625,1.0,0.769,0.732,0.812
600,None,0.5,0.844,0.81,0.879,0.838,0.692,0.844,0.862,0.725,0.922,0.765,0.675,0.824,0.885,0.625,1.0,0.769,0.732,0.812
600,None,0.75,0.837,0.81,0.865,0.832,0.678,0.837,0.854,0.75,0.9,0.758,0.659,0.825,0.846,0.625,0.944,0.714,0.624,0.785
600,None,None,0.817,0.77,0.865,0.808,0.64,0.817,0.877,0.775,0.922,0.793,0.715,0.849,0.885,0.75,0.944,0.8,0.723,0.847
800,None,0.25,0.851,0.81,0.892,0.844,0.707,0.851,0.869,0.7,0.944,0.768,0.691,0.822,0.885,0.625,1.0,0.769,0.732,0.812
800,None,0.5,0.851,0.81,0.892,0.844,0.707,0.851,0.877,0.725,0.944,0.785,0.711,0.835,0.846,0.625,0.944,0.714,0.624,0.785
800,None,0.75,0.831,0.795,0.865,0.822,0.664,0.83,0.877,0.775,0.922,0.793,0.709,0.849,0.808,0.625,0.889,0.667,0.535,0.757
800,None,None,0.824,0.783,0.865,0.816,0.653,0.824,0.862,0.75,0.911,0.768,0.673,0.831,0.885,0.75,0.944,0.8,0.723,0.847
1000,None,0.25,0.851,0.81,0.892,0.844,0.707,0.851,0.862,0.7,0.933,0.757,0.669,0.817,0.885,0.625,1.0,0.769,0.732,0.812
1000,None,0.5,0.844,0.81,0.879,0.838,0.692,0.844,0.869,0.725,0.933,0.774,0.689,0.829,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,0.75,0.831,0.795,0.865,0.822,0.664,0.83,0.869,0.75,0.922,0.778,0.689,0.836,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,None,0.817,0.769,0.865,0.806,0.638,0.817,0.869,0.75,0.922,0.778,0.689,0.836,0.846,0.625,0.944,0.714,0.624,0.785
