activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.799,0.667,0.852,0.625,0.512,0.76,0.785,0.575,0.878,0.623,0.477,0.726,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(25,)",0.01,0.847,0.733,0.892,0.692,0.636,0.813,0.869,0.675,0.956,0.761,0.69,0.815,0.885,0.625,1.0,0.769,0.732,0.812
relu,"(25,)",0.001,0.875,0.733,0.932,0.731,0.695,0.833,0.862,0.65,0.956,0.744,0.669,0.803,0.885,0.625,1.0,0.769,0.732,0.812
relu,"(25,)",0.0001,0.875,0.733,0.932,0.731,0.695,0.833,0.831,0.6,0.933,0.682,0.584,0.767,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(50,)",0.1,0.808,0.767,0.824,0.657,0.559,0.795,0.769,0.5,0.889,0.556,0.447,0.694,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(50,)",0.01,0.827,0.7,0.879,0.661,0.596,0.79,0.831,0.55,0.956,0.669,0.598,0.753,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(50,)",0.001,0.808,0.667,0.865,0.629,0.547,0.766,0.823,0.45,0.989,0.608,0.577,0.719,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(50,)",0.0001,0.787,0.567,0.877,0.573,0.474,0.722,0.823,0.475,0.978,0.623,0.577,0.726,0.808,0.375,1.0,0.545,0.542,0.688
relu,"(75,)",0.1,0.788,0.8,0.783,0.682,0.544,0.791,0.762,0.7,0.789,0.639,0.474,0.744,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(75,)",0.01,0.856,0.733,0.906,0.705,0.654,0.82,0.792,0.475,0.933,0.589,0.491,0.704,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(75,)",0.001,0.846,0.733,0.891,0.692,0.634,0.812,0.838,0.625,0.933,0.707,0.612,0.779,0.769,0.375,0.944,0.5,0.409,0.66
relu,"(75,)",0.0001,0.856,0.767,0.891,0.71,0.661,0.829,0.838,0.65,0.922,0.711,0.616,0.786,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(100,)",0.1,0.807,0.8,0.81,0.685,0.58,0.805,0.769,0.775,0.767,0.674,0.515,0.771,0.692,0.875,0.611,0.636,0.45,0.743
relu,"(100,)",0.01,0.847,0.733,0.892,0.692,0.636,0.813,0.808,0.6,0.9,0.658,0.535,0.75,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(100,)",0.001,0.847,0.7,0.907,0.685,0.638,0.803,0.815,0.525,0.944,0.639,0.549,0.735,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(100,)",0.0001,0.847,0.7,0.907,0.685,0.638,0.803,0.808,0.5,0.944,0.617,0.525,0.722,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(125,)",0.1,0.818,0.767,0.838,0.691,0.606,0.802,0.792,0.8,0.789,0.709,0.566,0.794,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(125,)",0.01,0.818,0.733,0.851,0.658,0.587,0.792,0.831,0.725,0.878,0.728,0.615,0.801,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(125,)",0.001,0.857,0.733,0.907,0.71,0.665,0.82,0.877,0.7,0.956,0.778,0.708,0.828,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(125,)",0.0001,0.876,0.733,0.933,0.733,0.697,0.833,0.862,0.7,0.933,0.757,0.671,0.817,0.885,0.75,0.944,0.8,0.723,0.847
relu,"(150,)",0.1,0.788,0.833,0.769,0.689,0.571,0.801,0.815,0.825,0.811,0.734,0.605,0.818,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(150,)",0.01,0.828,0.733,0.866,0.671,0.607,0.8,0.9,0.75,0.967,0.824,0.765,0.858,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(150,)",0.001,0.837,0.7,0.893,0.676,0.622,0.797,0.908,0.75,0.978,0.836,0.785,0.864,0.923,0.75,1.0,0.857,0.822,0.875
relu,"(150,)",0.0001,0.828,0.633,0.907,0.65,0.588,0.77,0.915,0.75,0.989,0.846,0.802,0.869,0.923,0.75,1.0,0.857,0.822,0.875
relu,"(175,)",0.1,0.797,0.833,0.782,0.705,0.601,0.808,0.792,0.85,0.767,0.722,0.585,0.808,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(175,)",0.01,0.837,0.733,0.879,0.682,0.622,0.806,0.854,0.7,0.922,0.743,0.654,0.811,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(175,)",0.001,0.885,0.733,0.947,0.744,0.713,0.84,0.831,0.475,0.989,0.628,0.595,0.732,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(175,)",0.0001,0.876,0.7,0.947,0.723,0.687,0.823,0.815,0.45,0.978,0.598,0.553,0.714,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(200,)",0.1,0.798,0.833,0.782,0.701,0.601,0.808,0.815,0.85,0.8,0.741,0.615,0.825,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(200,)",0.01,0.847,0.733,0.893,0.698,0.646,0.813,0.838,0.775,0.867,0.751,0.64,0.821,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(200,)",0.001,0.856,0.7,0.92,0.698,0.654,0.81,0.869,0.75,0.922,0.784,0.697,0.836,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(200,)",0.0001,0.866,0.733,0.92,0.72,0.68,0.827,0.838,0.75,0.878,0.742,0.626,0.814,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(225,)",0.1,0.788,0.767,0.796,0.661,0.54,0.781,0.769,0.775,0.767,0.675,0.512,0.771,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(225,)",0.01,0.828,0.733,0.866,0.671,0.607,0.8,0.869,0.65,0.967,0.754,0.685,0.808,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(225,)",0.001,0.866,0.733,0.92,0.724,0.683,0.827,0.846,0.5,1.0,0.663,0.638,0.75,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(225,)",0.0001,0.856,0.733,0.906,0.708,0.659,0.82,0.846,0.5,1.0,0.663,0.638,0.75,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(250,)",0.1,0.779,0.8,0.77,0.672,0.541,0.785,0.792,0.8,0.789,0.706,0.569,0.794,0.731,0.75,0.722,0.632,0.441,0.736
relu,"(250,)",0.01,0.837,0.733,0.879,0.682,0.622,0.806,0.846,0.6,0.956,0.701,0.624,0.778,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(250,)",0.001,0.857,0.733,0.907,0.707,0.66,0.82,0.862,0.55,1.0,0.701,0.675,0.775,0.808,0.375,1.0,0.545,0.542,0.688
relu,"(250,)",0.0001,0.837,0.733,0.878,0.679,0.617,0.806,0.854,0.525,1.0,0.683,0.657,0.762,0.808,0.375,1.0,0.545,0.542,0.688
relu,"(275,)",0.1,0.798,0.8,0.796,0.693,0.583,0.798,0.769,0.85,0.733,0.698,0.547,0.792,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(275,)",0.01,0.837,0.733,0.879,0.682,0.622,0.806,0.846,0.625,0.944,0.719,0.633,0.785,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(275,)",0.001,0.847,0.733,0.893,0.698,0.646,0.813,0.846,0.5,1.0,0.663,0.638,0.75,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(275,)",0.0001,0.857,0.733,0.907,0.71,0.665,0.82,0.846,0.5,1.0,0.663,0.638,0.75,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(300,)",0.1,0.779,0.733,0.796,0.625,0.493,0.765,0.738,0.675,0.767,0.614,0.434,0.721,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(300,)",0.01,0.838,0.733,0.88,0.686,0.631,0.807,0.831,0.725,0.878,0.733,0.617,0.801,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(300,)",0.001,0.837,0.667,0.907,0.668,0.61,0.787,0.877,0.65,0.978,0.762,0.706,0.814,0.885,0.625,1.0,0.769,0.732,0.812
relu,"(300,)",0.0001,0.828,0.633,0.907,0.647,0.582,0.77,0.831,0.525,0.967,0.656,0.589,0.746,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(25,5)",0.1,0.817,0.767,0.836,0.694,0.588,0.801,0.8,0.75,0.822,0.699,0.554,0.786,0.885,0.875,0.889,0.824,0.741,0.882
