n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.937,0.916,0.958,0.935,0.875,0.937,0.868,0.655,0.924,0.674,0.595,0.789,0.906,0.727,0.952,0.762,0.704,0.84
200,None,0.5,0.922,0.897,0.946,0.919,0.845,0.922,0.838,0.691,0.876,0.64,0.541,0.784,0.887,0.727,0.929,0.727,0.656,0.828
200,None,0.75,0.913,0.892,0.934,0.91,0.827,0.913,0.834,0.691,0.871,0.638,0.537,0.781,0.868,0.636,0.929,0.667,0.586,0.782
200,None,None,0.91,0.886,0.934,0.907,0.821,0.91,0.826,0.764,0.843,0.649,0.552,0.803,0.849,0.727,0.881,0.667,0.573,0.804
400,None,0.25,0.931,0.909,0.952,0.929,0.862,0.931,0.872,0.691,0.919,0.694,0.615,0.805,0.887,0.727,0.929,0.727,0.656,0.828
400,None,0.5,0.913,0.879,0.946,0.909,0.828,0.913,0.845,0.709,0.881,0.659,0.565,0.795,0.868,0.727,0.905,0.696,0.612,0.816
400,None,0.75,0.913,0.892,0.934,0.91,0.827,0.913,0.845,0.727,0.876,0.663,0.571,0.802,0.849,0.636,0.905,0.636,0.541,0.771
400,None,None,0.907,0.886,0.928,0.904,0.815,0.907,0.834,0.745,0.857,0.653,0.558,0.801,0.849,0.818,0.857,0.692,0.608,0.838
600,None,0.25,0.94,0.921,0.958,0.938,0.88,0.94,0.891,0.745,0.929,0.742,0.674,0.837,0.906,0.727,0.952,0.762,0.704,0.84
600,None,0.5,0.913,0.879,0.946,0.909,0.828,0.913,0.86,0.709,0.9,0.678,0.592,0.805,0.887,0.727,0.929,0.727,0.656,0.828
600,None,0.75,0.916,0.891,0.94,0.913,0.833,0.916,0.853,0.745,0.881,0.679,0.593,0.813,0.849,0.636,0.905,0.636,0.541,0.771
600,None,None,0.898,0.874,0.922,0.894,0.797,0.898,0.834,0.727,0.862,0.648,0.551,0.795,0.811,0.727,0.833,0.615,0.505,0.78
800,None,0.25,0.94,0.921,0.958,0.938,0.88,0.94,0.891,0.745,0.929,0.74,0.671,0.837,0.906,0.727,0.952,0.762,0.704,0.84
800,None,0.5,0.919,0.891,0.946,0.915,0.839,0.919,0.86,0.709,0.9,0.68,0.593,0.805,0.887,0.727,0.929,0.727,0.656,0.828
800,None,0.75,0.913,0.885,0.94,0.909,0.827,0.913,0.853,0.745,0.881,0.679,0.593,0.813,0.868,0.727,0.905,0.696,0.612,0.816
800,None,None,0.901,0.88,0.922,0.898,0.803,0.901,0.834,0.727,0.862,0.648,0.551,0.795,0.83,0.818,0.833,0.667,0.576,0.826
1000,None,0.25,0.94,0.927,0.952,0.938,0.88,0.94,0.879,0.709,0.924,0.71,0.635,0.816,0.925,0.818,0.952,0.818,0.771,0.885
1000,None,0.5,0.919,0.891,0.946,0.915,0.839,0.919,0.849,0.709,0.886,0.663,0.57,0.797,0.887,0.727,0.929,0.727,0.656,0.828
1000,None,0.75,0.919,0.898,0.94,0.916,0.839,0.919,0.842,0.709,0.876,0.653,0.557,0.793,0.887,0.727,0.929,0.727,0.656,0.828
1000,None,None,0.904,0.886,0.922,0.901,0.808,0.904,0.838,0.727,0.867,0.654,0.559,0.797,0.811,0.636,0.857,0.583,0.465,0.747
