n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.925,0.91,0.94,0.923,0.852,0.925,0.879,0.727,0.919,0.715,0.64,0.823,0.868,0.727,0.905,0.696,0.612,0.816
200,None,0.5,0.901,0.898,0.904,0.9,0.803,0.901,0.845,0.727,0.876,0.661,0.566,0.802,0.943,0.818,0.976,0.857,0.823,0.897
200,None,0.75,0.883,0.88,0.886,0.882,0.766,0.883,0.8,0.709,0.824,0.596,0.48,0.766,0.868,0.818,0.881,0.72,0.643,0.85
200,None,None,0.865,0.873,0.855,0.866,0.73,0.864,0.811,0.745,0.829,0.621,0.515,0.787,0.83,0.818,0.833,0.667,0.576,0.826
400,None,0.25,0.922,0.916,0.928,0.92,0.845,0.922,0.879,0.745,0.914,0.722,0.647,0.83,0.906,0.818,0.929,0.783,0.724,0.873
400,None,0.5,0.901,0.898,0.904,0.9,0.802,0.901,0.834,0.745,0.857,0.651,0.553,0.801,0.925,0.818,0.952,0.818,0.771,0.885
400,None,0.75,0.889,0.885,0.892,0.888,0.78,0.889,0.826,0.764,0.843,0.648,0.549,0.803,0.868,0.818,0.881,0.72,0.643,0.85
400,None,None,0.862,0.873,0.849,0.863,0.725,0.861,0.808,0.764,0.819,0.621,0.516,0.791,0.849,0.818,0.857,0.692,0.608,0.838
600,None,0.25,0.916,0.91,0.922,0.914,0.833,0.916,0.872,0.727,0.91,0.703,0.624,0.818,0.925,0.818,0.952,0.818,0.771,0.885
600,None,0.5,0.904,0.898,0.91,0.902,0.808,0.904,0.849,0.764,0.871,0.678,0.588,0.818,0.868,0.818,0.881,0.72,0.643,0.85
600,None,0.75,0.892,0.891,0.892,0.891,0.786,0.892,0.815,0.745,0.833,0.627,0.521,0.789,0.849,0.818,0.857,0.692,0.608,0.838
600,None,None,0.865,0.873,0.855,0.866,0.732,0.864,0.811,0.764,0.824,0.627,0.523,0.794,0.868,0.818,0.881,0.72,0.643,0.85
800,None,0.25,0.922,0.91,0.934,0.92,0.844,0.922,0.868,0.709,0.91,0.691,0.609,0.809,0.925,0.818,0.952,0.818,0.771,0.885
800,None,0.5,0.904,0.904,0.904,0.903,0.808,0.904,0.834,0.727,0.862,0.645,0.546,0.795,0.849,0.818,0.857,0.692,0.608,0.838
800,None,0.75,0.892,0.891,0.892,0.891,0.786,0.892,0.819,0.745,0.838,0.632,0.527,0.792,0.849,0.818,0.857,0.692,0.608,0.838
800,None,None,0.862,0.873,0.85,0.863,0.725,0.861,0.808,0.745,0.824,0.616,0.508,0.785,0.849,0.818,0.857,0.692,0.608,0.838
1000,None,0.25,0.922,0.91,0.934,0.92,0.844,0.922,0.868,0.709,0.91,0.691,0.608,0.809,0.943,0.818,0.976,0.857,0.823,0.897
1000,None,0.5,0.898,0.898,0.898,0.897,0.796,0.898,0.849,0.745,0.876,0.672,0.581,0.811,0.868,0.818,0.881,0.72,0.643,0.85
1000,None,0.75,0.886,0.885,0.886,0.885,0.773,0.885,0.815,0.745,0.833,0.627,0.521,0.789,0.887,0.818,0.905,0.75,0.681,0.861
1000,None,None,0.868,0.88,0.855,0.869,0.737,0.867,0.804,0.745,0.819,0.611,0.502,0.782,0.868,0.818,0.881,0.72,0.643,0.85
