n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.907,0.891,0.922,0.905,0.816,0.907,0.857,0.655,0.91,0.657,0.57,0.782,0.868,0.545,0.952,0.632,0.564,0.749
200,None,0.5,0.892,0.885,0.898,0.89,0.784,0.892,0.815,0.727,0.838,0.617,0.514,0.783,0.868,0.727,0.905,0.696,0.612,0.816
200,None,0.75,0.871,0.867,0.874,0.87,0.742,0.871,0.785,0.764,0.79,0.597,0.482,0.777,0.868,0.909,0.857,0.741,0.677,0.883
200,None,None,0.856,0.867,0.844,0.857,0.712,0.856,0.781,0.727,0.795,0.579,0.458,0.761,0.792,0.909,0.762,0.645,0.561,0.835
400,None,0.25,0.916,0.904,0.928,0.914,0.833,0.916,0.872,0.618,0.938,0.667,0.593,0.778,0.849,0.545,0.929,0.6,0.512,0.737
400,None,0.5,0.892,0.885,0.898,0.89,0.784,0.892,0.83,0.727,0.857,0.636,0.541,0.792,0.849,0.818,0.857,0.692,0.608,0.838
400,None,0.75,0.871,0.886,0.856,0.873,0.742,0.871,0.792,0.782,0.795,0.609,0.501,0.789,0.887,0.909,0.881,0.769,0.711,0.895
400,None,None,0.856,0.861,0.85,0.857,0.712,0.856,0.789,0.782,0.79,0.606,0.496,0.786,0.811,0.909,0.786,0.667,0.588,0.847
600,None,0.25,0.919,0.91,0.928,0.917,0.839,0.919,0.875,0.636,0.938,0.679,0.605,0.787,0.887,0.727,0.929,0.727,0.656,0.828
600,None,0.5,0.898,0.891,0.904,0.897,0.796,0.898,0.845,0.745,0.871,0.665,0.574,0.808,0.868,0.818,0.881,0.72,0.643,0.85
600,None,0.75,0.862,0.873,0.85,0.863,0.724,0.862,0.796,0.782,0.8,0.613,0.507,0.791,0.887,0.909,0.881,0.769,0.711,0.895
600,None,None,0.853,0.861,0.844,0.854,0.706,0.853,0.777,0.764,0.781,0.589,0.471,0.772,0.792,0.818,0.786,0.621,0.517,0.802
800,None,0.25,0.919,0.91,0.928,0.918,0.839,0.919,0.879,0.636,0.943,0.686,0.617,0.79,0.906,0.727,0.952,0.762,0.704,0.84
800,None,0.5,0.901,0.898,0.904,0.9,0.802,0.901,0.819,0.709,0.848,0.617,0.511,0.778,0.868,0.818,0.881,0.72,0.643,0.85
800,None,0.75,0.871,0.88,0.862,0.872,0.742,0.871,0.796,0.764,0.805,0.608,0.498,0.784,0.868,0.818,0.881,0.72,0.643,0.85
800,None,None,0.856,0.861,0.85,0.856,0.712,0.856,0.777,0.745,0.786,0.582,0.462,0.766,0.792,0.818,0.786,0.621,0.517,0.802
1000,None,0.25,0.919,0.91,0.928,0.918,0.839,0.919,0.875,0.636,0.938,0.68,0.608,0.787,0.887,0.727,0.929,0.727,0.656,0.828
1000,None,0.5,0.895,0.891,0.898,0.894,0.79,0.895,0.819,0.709,0.848,0.616,0.51,0.778,0.887,0.818,0.905,0.75,0.681,0.861
1000,None,0.75,0.871,0.88,0.862,0.872,0.742,0.871,0.792,0.764,0.8,0.604,0.492,0.782,0.868,0.818,0.881,0.72,0.643,0.85
1000,None,None,0.856,0.861,0.85,0.856,0.712,0.856,0.777,0.745,0.786,0.584,0.464,0.766,0.849,0.818,0.857,0.692,0.608,0.838
