Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-2.3,1.5,0.2,0.871,0.813,0.928,0.863,0.746,0.871,0.713,0.145,0.862,0.173,0.008,0.504,0.698,0.091,0.857,0.111,-0.062,0.474
RBF,1,0.01,-1.7,1.9,0.0,0.741,0.621,0.862,0.705,0.499,0.741,0.747,0.473,0.819,0.434,0.275,0.646,0.774,0.545,0.833,0.5,0.357,0.689
RBF,1,0.001,-1.1,1.4,-0.5,0.696,0.742,0.652,0.708,0.408,0.697,0.649,0.8,0.61,0.487,0.342,0.705,0.679,0.909,0.619,0.541,0.428,0.764
RBF,1,0.0001,-1.0,0.9,-0.0,0.542,0.279,0.8,0.269,0.153,0.539,0.675,0.255,0.786,0.161,0.086,0.52,0.792,0.091,0.976,0.154,0.143,0.534
RBF,1,1e-05,-1.0,1.0,-0.0,0.542,0.279,0.8,0.269,0.153,0.539,0.675,0.255,0.786,0.161,0.086,0.52,0.792,0.091,0.976,0.154,0.143,0.534
RBF,5,0.1,-2.6,1.8,0.1,0.898,0.916,0.88,0.9,0.796,0.898,0.691,0.182,0.824,0.194,0.004,0.503,0.717,0.182,0.857,0.211,0.044,0.519
RBF,5,0.01,-2.5,3.1,0.2,0.774,0.657,0.891,0.742,0.565,0.774,0.74,0.382,0.833,0.376,0.213,0.608,0.755,0.364,0.857,0.381,0.229,0.61
RBF,5,0.001,-1.7,2.3,0.2,0.711,0.476,0.945,0.622,0.477,0.711,0.728,0.2,0.867,0.224,0.069,0.533,0.755,0.273,0.881,0.316,0.174,0.577
RBF,5,0.0001,-0.9,0.8,-0.3,0.633,0.473,0.788,0.507,0.323,0.63,0.702,0.527,0.748,0.406,0.294,0.637,0.792,0.364,0.905,0.421,0.304,0.634
RBF,5,1e-05,-1.0,1.0,-0.0,0.542,0.279,0.8,0.269,0.153,0.539,0.675,0.255,0.786,0.161,0.086,0.52,0.792,0.091,0.976,0.154,0.143,0.534
RBF,10,0.1,-2.4,2.1,0.0,0.895,0.94,0.85,0.9,0.794,0.895,0.683,0.255,0.795,0.25,0.05,0.525,0.717,0.182,0.857,0.211,0.044,0.519
RBF,10,0.01,-2.9,4.1,-0.4,0.789,0.892,0.686,0.809,0.592,0.789,0.657,0.655,0.657,0.441,0.257,0.656,0.66,0.636,0.667,0.437,0.251,0.652
RBF,10,0.001,-2.0,2.9,0.3,0.714,0.506,0.922,0.637,0.469,0.714,0.736,0.218,0.871,0.252,0.1,0.545,0.717,0.182,0.857,0.211,0.044,0.519
RBF,10,0.0001,-1.1,1.5,-0.4,0.696,0.681,0.712,0.688,0.4,0.697,0.675,0.8,0.643,0.506,0.365,0.721,0.698,0.909,0.643,0.556,0.448,0.776
RBF,10,1e-05,-0.9,0.9,-0.0,0.542,0.279,0.8,0.269,0.153,0.539,0.679,0.273,0.786,0.194,0.14,0.529,0.792,0.091,0.976,0.154,0.143,0.534
