Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-23.6,14.6,-0.6,0.88,0.976,0.783,0.891,0.774,0.88,0.672,0.527,0.71,0.397,0.202,0.618,0.642,0.545,0.667,0.387,0.177,0.606
linear,5,-30.8,17.4,-1.4,0.871,0.964,0.777,0.882,0.755,0.871,0.664,0.582,0.686,0.416,0.225,0.634,0.66,0.455,0.714,0.357,0.147,0.584
linear,10,-30.8,17.4,-1.4,0.874,0.964,0.783,0.885,0.76,0.874,0.664,0.582,0.686,0.416,0.225,0.634,0.642,0.455,0.69,0.345,0.124,0.573
linear,15,-30.8,17.4,-1.4,0.874,0.964,0.783,0.885,0.76,0.874,0.664,0.582,0.686,0.416,0.225,0.634,0.642,0.455,0.69,0.345,0.124,0.573
