activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.867,0.921,0.812,0.873,0.74,0.867,0.701,0.474,0.773,0.433,0.235,0.624,0.734,0.526,0.8,0.488,0.311,0.663
relu,"(25,)",0.01,0.902,0.962,0.842,0.908,0.812,0.902,0.704,0.463,0.78,0.427,0.231,0.622,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(25,)",0.001,0.892,0.95,0.833,0.898,0.792,0.892,0.714,0.516,0.777,0.463,0.275,0.646,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(25,)",0.0001,0.871,0.925,0.817,0.877,0.75,0.871,0.671,0.442,0.743,0.389,0.171,0.593,0.722,0.474,0.8,0.45,0.265,0.637
relu,"(50,)",0.1,0.896,0.938,0.854,0.9,0.796,0.896,0.686,0.421,0.77,0.391,0.183,0.596,0.696,0.316,0.817,0.333,0.138,0.566
relu,"(50,)",0.01,0.902,0.946,0.858,0.906,0.808,0.902,0.724,0.442,0.813,0.433,0.251,0.628,0.696,0.316,0.817,0.333,0.138,0.566
relu,"(50,)",0.001,0.902,0.942,0.862,0.906,0.808,0.902,0.701,0.411,0.793,0.396,0.198,0.602,0.684,0.263,0.817,0.286,0.085,0.54
relu,"(50,)",0.0001,0.89,0.933,0.846,0.894,0.783,0.89,0.686,0.389,0.78,0.371,0.163,0.585,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(75,)",0.1,0.871,0.917,0.825,0.876,0.746,0.871,0.716,0.495,0.787,0.454,0.268,0.641,0.734,0.526,0.8,0.488,0.311,0.663
relu,"(75,)",0.01,0.908,0.95,0.867,0.912,0.821,0.908,0.732,0.537,0.793,0.491,0.313,0.665,0.734,0.474,0.817,0.462,0.285,0.645
relu,"(75,)",0.001,0.915,0.958,0.871,0.918,0.833,0.915,0.724,0.547,0.78,0.488,0.306,0.664,0.734,0.526,0.8,0.488,0.311,0.663
relu,"(75,)",0.0001,0.892,0.929,0.854,0.896,0.787,0.892,0.722,0.547,0.777,0.484,0.301,0.662,0.734,0.579,0.783,0.512,0.337,0.681
relu,"(100,)",0.1,0.879,0.929,0.829,0.885,0.766,0.879,0.701,0.526,0.757,0.459,0.262,0.641,0.709,0.474,0.783,0.439,0.245,0.629
relu,"(100,)",0.01,0.885,0.946,0.825,0.891,0.777,0.885,0.714,0.463,0.793,0.438,0.248,0.628,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(100,)",0.001,0.894,0.942,0.846,0.898,0.793,0.894,0.724,0.495,0.797,0.462,0.279,0.646,0.734,0.474,0.817,0.462,0.285,0.645
