Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-12.2,15.7,1.7,0.802,0.209,0.983,0.308,0.338,0.596,0.767,0.137,0.967,0.218,0.188,0.552,0.759,0.158,0.95,0.24,0.174,0.554
poly,1,2,0.1,1,-15.7,10.9,0.7,0.783,0.29,0.933,0.374,0.291,0.612,0.737,0.179,0.913,0.244,0.126,0.546,0.747,0.211,0.917,0.286,0.171,0.564
poly,1,2,0.1,2,-16.8,10.8,0.9,0.783,0.277,0.938,0.363,0.294,0.607,0.742,0.158,0.927,0.227,0.126,0.542,0.759,0.158,0.95,0.24,0.174,0.554
poly,1,2,0.1,3,-17.7,10.9,1.0,0.783,0.264,0.942,0.349,0.29,0.603,0.744,0.168,0.927,0.239,0.138,0.548,0.759,0.158,0.95,0.24,0.174,0.554
poly,1,2,0.1,4,-20.3,10.9,0.8,0.783,0.29,0.933,0.378,0.299,0.612,0.729,0.179,0.903,0.239,0.107,0.541,0.747,0.211,0.917,0.286,0.171,0.564
poly,1,2,0.01,0,-1.4,3.5,-0.5,0.795,0.273,0.954,0.378,0.315,0.614,0.767,0.2,0.947,0.291,0.221,0.573,0.772,0.211,0.95,0.308,0.241,0.58
poly,1,2,0.01,1,-4.1,5.7,-0.3,0.69,0.63,0.708,0.483,0.301,0.669,0.608,0.621,0.603,0.434,0.194,0.612,0.57,0.684,0.533,0.433,0.186,0.609
poly,1,2,0.01,2,-5.9,5.7,-0.3,0.671,0.645,0.679,0.474,0.284,0.662,0.557,0.663,0.523,0.42,0.16,0.593,0.557,0.684,0.517,0.426,0.172,0.6
poly,1,2,0.01,3,-7.2,6.1,-0.1,0.709,0.59,0.746,0.474,0.303,0.668,0.592,0.6,0.59,0.416,0.164,0.595,0.582,0.632,0.567,0.421,0.17,0.599
poly,1,2,0.01,4,-7.9,6.1,-0.1,0.703,0.603,0.733,0.481,0.303,0.668,0.587,0.632,0.573,0.425,0.176,0.602,0.582,0.632,0.567,0.421,0.17,0.599
poly,1,2,0.001,0,0.7,0.9,0.8,0.78,0.056,1.0,0.102,0.16,0.528,0.762,0.011,1.0,0.02,0.04,0.505,0.759,0.0,1.0,0.0,0.0,0.5
poly,1,2,0.001,1,-1.3,2.0,0.3,0.792,0.177,0.979,0.279,0.288,0.578,0.78,0.084,1.0,0.153,0.249,0.542,0.772,0.053,1.0,0.1,0.201,0.526
poly,1,2,0.001,2,-2.0,3.0,0.7,0.796,0.15,0.992,0.25,0.305,0.571,0.777,0.074,1.0,0.136,0.235,0.537,0.772,0.053,1.0,0.1,0.201,0.526
poly,1,2,0.001,3,-2.3,3.8,0.6,0.796,0.178,0.983,0.285,0.291,0.581,0.767,0.074,0.987,0.13,0.168,0.53,0.759,0.053,0.983,0.095,0.098,0.518
poly,1,2,0.001,4,-2.5,4.0,0.7,0.796,0.178,0.983,0.285,0.291,0.581,0.762,0.074,0.98,0.128,0.145,0.527,0.759,0.053,0.983,0.095,0.098,0.518
poly,1,3,0.1,0,-42.5,42.1,0.9,0.793,0.237,0.962,0.327,0.293,0.6,0.732,0.095,0.933,0.139,0.034,0.514,0.747,0.053,0.967,0.091,0.043,0.51
poly,1,3,0.1,1,-55.4,17.5,0.6,0.789,0.319,0.933,0.402,0.313,0.626,0.734,0.242,0.89,0.3,0.158,0.566,0.759,0.316,0.9,0.387,0.257,0.608
poly,1,3,0.1,2,-52.1,19.8,0.7,0.783,0.305,0.929,0.388,0.297,0.617,0.732,0.232,0.89,0.293,0.151,0.561,0.709,0.263,0.85,0.303,0.127,0.557
