Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-2.9,4.8,0.6,0.802,0.178,0.992,0.288,0.342,0.585,0.762,0.263,0.92,0.345,0.235,0.592,0.759,0.263,0.917,0.345,0.231,0.59
poly,1,2,0.1,1,-3.4,5.1,0.0,0.805,0.397,0.929,0.484,0.388,0.663,0.722,0.411,0.82,0.413,0.232,0.615,0.747,0.421,0.85,0.444,0.282,0.636
poly,1,2,0.1,2,-3.8,5.2,0.0,0.815,0.439,0.929,0.523,0.43,0.684,0.716,0.411,0.813,0.41,0.225,0.612,0.684,0.316,0.8,0.324,0.118,0.558
poly,1,2,0.1,3,-4.1,5.4,0.0,0.814,0.507,0.908,0.56,0.456,0.708,0.719,0.421,0.813,0.419,0.234,0.617,0.684,0.316,0.8,0.324,0.118,0.558
poly,1,2,0.1,4,-4.3,5.5,0.1,0.815,0.452,0.925,0.531,0.438,0.689,0.722,0.4,0.823,0.409,0.228,0.612,0.696,0.316,0.817,0.333,0.138,0.566
poly,1,2,0.01,0,-1.6,1.5,-0.7,0.741,0.547,0.8,0.497,0.333,0.673,0.676,0.663,0.68,0.496,0.3,0.672,0.658,0.737,0.633,0.509,0.318,0.685
poly,1,2,0.01,1,-4.7,4.3,-0.2,0.795,0.617,0.85,0.585,0.454,0.734,0.686,0.516,0.74,0.443,0.237,0.628,0.671,0.526,0.717,0.435,0.219,0.621
poly,1,2,0.01,2,-6.4,4.7,-0.2,0.799,0.658,0.842,0.603,0.475,0.75,0.673,0.526,0.72,0.438,0.225,0.623,0.709,0.579,0.75,0.489,0.299,0.664
poly,1,2,0.01,3,-7.5,5.4,-0.3,0.779,0.685,0.808,0.595,0.458,0.747,0.663,0.579,0.69,0.455,0.24,0.634,0.696,0.632,0.717,0.5,0.309,0.674
poly,1,2,0.01,4,-8.4,5.6,-0.1,0.789,0.588,0.85,0.567,0.43,0.719,0.673,0.484,0.733,0.418,0.202,0.609,0.684,0.421,0.767,0.39,0.179,0.594
poly,1,2,0.001,0,-0.0,0.5,0.3,0.789,0.096,1.0,0.174,0.271,0.548,0.739,0.074,0.95,0.118,0.043,0.512,0.747,0.053,0.967,0.091,0.043,0.51
poly,1,2,0.001,1,-1.9,1.6,0.0,0.827,0.437,0.946,0.542,0.466,0.691,0.754,0.379,0.873,0.427,0.279,0.626,0.759,0.368,0.883,0.424,0.282,0.626
poly,1,2,0.001,2,-2.7,1.9,0.4,0.827,0.328,0.979,0.452,0.447,0.653,0.765,0.274,0.92,0.357,0.25,0.597,0.772,0.316,0.917,0.4,0.287,0.616
poly,1,2,0.001,3,-3.2,2.3,0.6,0.827,0.314,0.983,0.446,0.449,0.649,0.754,0.221,0.923,0.302,0.196,0.572,0.759,0.263,0.917,0.345,0.231,0.59
poly,1,2,0.001,4,-3.7,2.6,-0.2,0.767,0.685,0.792,0.584,0.44,0.738,0.684,0.558,0.723,0.459,0.254,0.641,0.696,0.579,0.733,0.478,0.281,0.656
poly,1,3,0.1,0,-4.1,7.0,-0.3,0.815,0.383,0.946,0.488,0.411,0.664,0.696,0.326,0.813,0.337,0.143,0.57,0.684,0.368,0.783,0.359,0.149,0.576
