Index,position,attribute,F_val,p_val
6414,1,HOXC4,18.939255,2.7337404e-05
10252,2,OSBPL1A,18.881046,2.8073468e-05
7098,3,KBTBD12,16.985292,6.7220186e-05
5719,4,GNAI1,16.312725,9.197684e-05
603,5,ANKLE2,16.298243,9.260207e-05
13746,6,SMC1B,16.214811,9.62894e-05
15934,7,UCK2,14.74783,0.00019234775
3714,8,DDX55,14.635772,0.0002028754
5880,9,GPR180,14.546461,0.00021168658
14500,10,TACC3,13.999082,0.00027494333
16330,11,WDR75,13.985137,0.00027678633
16058,12,USP14,13.953831,0.00028097015
1275,13,BARD1,13.927866,0.00028448916
9186,14,NCAPG2,13.822792,0.0002991965
2548,15,CENPK,13.8011675,0.00030231857
7294,16,KIF18A,13.672736,0.00032156034
5329,17,FUT4,13.628027,0.000328549
11685,18,PSMD13,13.329843,0.00037931147
11510,19,PRLR,13.039455,0.00043647757
6072,20,GTPBP2,12.986611,0.0004477938
7290,21,KIF14,12.845153,0.00047958794
10996,22,PLCB1,12.812257,0.0004873073
5043,23,FERMT1,12.732301,0.00050660456
16165,24,VEGFA,12.702082,0.0005141001
8294,25,MAPKAPK5,12.449864,0.0005812641
13156,26,SFXN5,12.446464,0.0005822287
16008,27,UNC93A,12.317841,0.00061994116
1589,28,C12orf45,12.23169,0.0006465918
1965,29,CAP2,12.153944,0.00067165
11062,30,PLK1,12.077211,0.0006973579
2115,31,CCDC157,12.076306,0.00069766707
9653,32,NSFL1C,12.006014,0.0007221132
16286,33,WDPCP,11.964722,0.0007368813
6345,34,HMMR,11.794311,0.00080117956
11624,35,PRTFDC1,11.589808,0.0008859958
9220,36,NDC80,11.546664,0.0009050358
9477,37,NMI,11.4953575,0.00092822534
211,38,ACVR1,11.450937,0.0009487942
6418,39,HOXC9,11.402781,0.00097162195
6296,40,HKDC1,11.396632,0.00097457675
4507,41,EPHB2,11.332972,0.0010057183
12088,42,RBCK1,11.067386,0.0011470597
9401,43,NIPAL1,10.903543,0.001244273
