Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-18.8,21.8,0.6,0.867,0.917,0.817,0.873,0.739,0.867,0.643,0.474,0.697,0.389,0.153,0.585,0.671,0.474,0.733,0.409,0.19,0.604
linear,5,-25.5,31.0,0.3,0.885,0.954,0.817,0.893,0.779,0.885,0.635,0.526,0.67,0.411,0.174,0.598,0.646,0.526,0.683,0.417,0.186,0.605
linear,10,-25.5,31.0,0.3,0.885,0.954,0.817,0.893,0.779,0.885,0.635,0.526,0.67,0.411,0.174,0.598,0.646,0.526,0.683,0.417,0.186,0.605
linear,15,-25.5,31.0,0.3,0.885,0.954,0.817,0.893,0.779,0.885,0.635,0.526,0.67,0.411,0.174,0.598,0.646,0.526,0.683,0.417,0.186,0.605
