Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-16.6,5.6,0.1,0.885,0.933,0.838,0.891,0.775,0.885,0.711,0.326,0.833,0.349,0.168,0.58,0.709,0.211,0.867,0.258,0.092,0.539
poly,1,2,0.1,1,-16.4,5.8,0.4,0.91,0.925,0.896,0.912,0.823,0.91,0.759,0.358,0.887,0.416,0.276,0.622,0.759,0.316,0.9,0.387,0.257,0.608
poly,1,2,0.1,2,-16.9,6.2,0.3,0.906,0.942,0.871,0.91,0.816,0.906,0.742,0.379,0.857,0.413,0.252,0.618,0.759,0.368,0.883,0.424,0.282,0.626
poly,1,2,0.1,3,-18.8,7.7,-0.0,0.898,0.958,0.838,0.904,0.803,0.898,0.694,0.442,0.773,0.41,0.206,0.608,0.696,0.421,0.783,0.4,0.198,0.602
poly,1,2,0.1,4,-21.7,8.7,0.3,0.898,0.933,0.862,0.902,0.8,0.898,0.724,0.389,0.83,0.404,0.226,0.61,0.747,0.368,0.867,0.412,0.256,0.618
poly,1,2,0.01,0,-2.2,2.9,-0.6,0.79,0.862,0.717,0.804,0.586,0.79,0.706,0.726,0.7,0.544,0.372,0.713,0.696,0.737,0.683,0.538,0.364,0.71
poly,1,2,0.01,1,-5.1,3.5,0.1,0.842,0.833,0.85,0.84,0.688,0.842,0.729,0.432,0.823,0.431,0.256,0.627,0.759,0.421,0.867,0.457,0.306,0.644
poly,1,2,0.01,2,-6.9,4.4,0.3,0.846,0.8,0.892,0.837,0.697,0.846,0.742,0.368,0.86,0.406,0.246,0.614,0.747,0.368,0.867,0.412,0.256,0.618
poly,1,2,0.01,3,-8.9,5.7,0.2,0.838,0.825,0.85,0.835,0.678,0.838,0.722,0.432,0.813,0.425,0.243,0.622,0.722,0.421,0.817,0.421,0.238,0.619
poly,1,2,0.01,4,-9.5,6.8,-0.1,0.842,0.892,0.792,0.848,0.69,0.842,0.673,0.537,0.717,0.441,0.228,0.627,0.684,0.632,0.7,0.49,0.292,0.666
poly,1,2,0.001,0,-0.0,0.4,0.2,0.562,0.125,1.0,0.217,0.251,0.562,0.77,0.042,1.0,0.08,0.161,0.521,0.772,0.053,1.0,0.1,0.201,0.526
poly,1,2,0.001,1,-1.7,1.7,-0.4,0.729,0.883,0.575,0.765,0.489,0.729,0.582,0.653,0.56,0.427,0.183,0.606,0.57,0.632,0.55,0.414,0.155,0.591
