activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.823,0.372,0.94,0.461,0.384,0.656,0.804,0.527,0.876,0.527,0.403,0.702,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(250,)",0.1,0.78,0.392,0.88,0.419,0.29,0.636,0.815,0.655,0.857,0.595,0.481,0.756,0.792,0.727,0.81,0.593,0.474,0.768
relu,"(250,)",0.01,0.795,0.353,0.909,0.407,0.304,0.631,0.792,0.582,0.848,0.54,0.409,0.715,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(250,)",0.001,0.799,0.347,0.916,0.408,0.313,0.631,0.804,0.527,0.876,0.527,0.403,0.702,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(250,)",0.0001,0.794,0.297,0.921,0.348,0.267,0.609,0.83,0.6,0.89,0.592,0.486,0.745,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(275,)",0.1,0.78,0.414,0.873,0.426,0.306,0.644,0.792,0.618,0.838,0.553,0.424,0.728,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(275,)",0.01,0.804,0.375,0.916,0.43,0.331,0.645,0.811,0.527,0.886,0.537,0.42,0.706,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(275,)",0.001,0.809,0.35,0.927,0.424,0.341,0.639,0.819,0.491,0.905,0.53,0.422,0.698,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(275,)",0.0001,0.809,0.372,0.921,0.434,0.347,0.647,0.811,0.527,0.886,0.534,0.417,0.706,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(300,)",0.1,0.79,0.439,0.879,0.465,0.347,0.659,0.808,0.582,0.867,0.556,0.435,0.724,0.736,0.545,0.786,0.462,0.298,0.666
relu,"(300,)",0.01,0.794,0.322,0.916,0.382,0.286,0.619,0.808,0.527,0.881,0.534,0.413,0.704,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(300,)",0.001,0.818,0.347,0.94,0.44,0.372,0.643,0.826,0.527,0.905,0.559,0.454,0.716,0.811,0.545,0.881,0.545,0.426,0.713
