activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.808,0.503,0.885,0.512,0.412,0.694,0.842,0.618,0.9,0.621,0.522,0.759,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(25,)",0.01,0.832,0.506,0.915,0.55,0.461,0.71,0.872,0.545,0.957,0.638,0.581,0.751,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(25,)",0.001,0.813,0.439,0.909,0.494,0.39,0.674,0.842,0.436,0.948,0.528,0.474,0.692,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(25,)",0.0001,0.818,0.417,0.921,0.49,0.396,0.669,0.811,0.4,0.919,0.466,0.371,0.66,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(50,)",0.1,0.775,0.458,0.855,0.446,0.312,0.657,0.868,0.655,0.924,0.678,0.607,0.789,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(50,)",0.01,0.799,0.367,0.909,0.416,0.313,0.638,0.853,0.455,0.957,0.556,0.499,0.706,0.906,0.636,0.976,0.737,0.694,0.806
relu,"(50,)",0.001,0.818,0.389,0.927,0.454,0.365,0.658,0.875,0.509,0.971,0.625,0.581,0.74,0.906,0.636,0.976,0.737,0.694,0.806
relu,"(50,)",0.0001,0.818,0.342,0.94,0.422,0.345,0.641,0.887,0.545,0.976,0.665,0.624,0.761,0.925,0.636,1.0,0.778,0.762,0.818
relu,"(75,)",0.1,0.785,0.556,0.843,0.521,0.39,0.699,0.849,0.673,0.895,0.651,0.565,0.784,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(75,)",0.01,0.808,0.436,0.903,0.471,0.371,0.67,0.845,0.455,0.948,0.548,0.475,0.701,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(75,)",0.001,0.799,0.439,0.891,0.476,0.368,0.665,0.792,0.291,0.924,0.357,0.261,0.607,0.849,0.364,0.976,0.5,0.471,0.67
relu,"(75,)",0.0001,0.804,0.464,0.891,0.495,0.381,0.678,0.819,0.382,0.933,0.458,0.378,0.658,0.868,0.455,0.976,0.588,0.551,0.715
