Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.7,-0.5,-0.6,0.411,0.906,0.283,0.389,0.176,0.594,0.343,0.909,0.195,0.365,0.11,0.552,0.34,0.909,0.19,0.364,0.108,0.55
RBF,1,0.01,-1.8,1.0,0.1,0.828,0.508,0.91,0.549,0.462,0.709,0.781,0.618,0.824,0.541,0.408,0.721,0.774,0.636,0.81,0.538,0.401,0.723
RBF,1,0.001,-1.2,1.1,-0.0,0.842,0.394,0.958,0.5,0.456,0.676,0.853,0.6,0.919,0.632,0.546,0.76,0.868,0.636,0.929,0.667,0.586,0.782
RBF,1,0.0001,-1.0,0.0,-0.7,0.701,0.336,0.8,0.295,0.295,0.568,0.694,0.345,0.786,0.282,0.214,0.566,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.215,1.0,0.01,0.346,0.02,0.505,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-0.7,-0.5,-0.6,0.411,0.906,0.283,0.389,0.176,0.594,0.343,0.909,0.195,0.365,0.11,0.552,0.34,0.909,0.19,0.364,0.108,0.55
RBF,5,0.01,-1.9,0.9,0.0,0.828,0.486,0.916,0.535,0.45,0.701,0.808,0.545,0.876,0.536,0.421,0.711,0.811,0.545,0.881,0.545,0.426,0.713
RBF,5,0.001,-2.1,2.6,0.2,0.833,0.439,0.934,0.501,0.443,0.686,0.811,0.582,0.871,0.562,0.444,0.727,0.755,0.455,0.833,0.435,0.279,0.644
RBF,5,0.0001,-1.1,0.9,-0.1,0.823,0.344,0.946,0.449,0.412,0.645,0.845,0.618,0.905,0.624,0.537,0.761,0.792,0.727,0.81,0.593,0.474,0.768
RBF,5,1e-05,-0.1,1.0,0.9,0.809,0.089,0.994,0.139,0.147,0.541,0.815,0.109,1.0,0.171,0.191,0.555,0.792,0.0,1.0,0.0,0.0,0.5
RBF,10,0.1,-0.7,-0.5,-0.6,0.411,0.906,0.283,0.389,0.176,0.594,0.343,0.909,0.195,0.365,0.11,0.552,0.34,0.909,0.19,0.364,0.108,0.55
RBF,10,0.01,-1.9,0.9,0.0,0.818,0.442,0.916,0.496,0.407,0.679,0.8,0.545,0.867,0.527,0.406,0.706,0.811,0.545,0.881,0.545,0.426,0.713
RBF,10,0.001,-2.6,3.6,1.1,0.842,0.303,0.982,0.426,0.418,0.642,0.819,0.182,0.986,0.29,0.316,0.584,0.83,0.273,0.976,0.4,0.382,0.624
RBF,10,0.0001,-1.2,1.2,0.3,0.852,0.275,1.0,0.424,0.475,0.638,0.872,0.491,0.971,0.611,0.57,0.731,0.887,0.545,0.976,0.667,0.625,0.761
RBF,10,1e-05,-0.3,1.0,0.8,0.809,0.089,0.994,0.139,0.147,0.541,0.815,0.109,1.0,0.171,0.191,0.555,0.792,0.0,1.0,0.0,0.0,0.5
