Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-2.0,0.9,-0.2,0.751,0.581,0.795,0.499,0.349,0.688,0.755,0.636,0.786,0.519,0.374,0.711,0.736,0.636,0.762,0.5,0.346,0.699
RBF,1,0.01,-1.6,1.6,0.1,0.828,0.392,0.94,0.473,0.394,0.666,0.879,0.564,0.962,0.658,0.601,0.763,0.887,0.545,0.976,0.667,0.625,0.761
RBF,1,0.001,-1.0,0.4,-0.1,0.837,0.231,0.994,0.324,0.323,0.612,0.872,0.4,0.995,0.56,0.57,0.698,0.887,0.455,1.0,0.625,0.631,0.727
RBF,1,0.0001,-1.0,-0.8,-0.9,0.804,0.3,0.934,0.332,0.281,0.617,0.857,0.491,0.952,0.583,0.542,0.722,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,-0.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-2.2,1.8,-0.3,0.76,0.531,0.82,0.48,0.337,0.675,0.728,0.618,0.757,0.487,0.327,0.688,0.717,0.636,0.738,0.483,0.321,0.687
RBF,5,0.01,-2.2,2.1,0.6,0.823,0.25,0.97,0.362,0.337,0.61,0.845,0.4,0.962,0.505,0.468,0.681,0.849,0.455,0.952,0.556,0.487,0.703
RBF,5,0.001,-1.6,1.5,0.3,0.842,0.253,0.994,0.382,0.397,0.623,0.879,0.436,0.995,0.599,0.6,0.716,0.887,0.455,1.0,0.625,0.631,0.727
RBF,5,0.0001,-0.9,0.7,0.5,0.828,0.222,0.982,0.26,0.278,0.602,0.83,0.255,0.981,0.34,0.355,0.618,0.887,0.455,1.0,0.625,0.631,0.727
RBF,5,1e-05,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
RBF,10,0.1,-2.2,1.7,-0.8,0.607,0.861,0.542,0.477,0.328,0.702,0.566,0.8,0.505,0.434,0.249,0.652,0.585,0.818,0.524,0.45,0.279,0.671
RBF,10,0.01,-2.6,3.1,0.8,0.828,0.253,0.976,0.373,0.36,0.614,0.826,0.4,0.938,0.479,0.4,0.669,0.83,0.364,0.952,0.471,0.404,0.658
RBF,10,0.001,-1.9,1.8,0.1,0.837,0.414,0.946,0.494,0.43,0.68,0.872,0.618,0.938,0.669,0.598,0.778,0.868,0.636,0.929,0.667,0.586,0.782
RBF,10,0.0001,-1.1,0.4,-0.0,0.851,0.364,0.976,0.449,0.438,0.67,0.864,0.436,0.976,0.57,0.553,0.706,0.887,0.455,1.0,0.625,0.631,0.727
RBF,10,1e-05,-1.0,0.9,0.9,0.828,0.222,0.982,0.26,0.278,0.602,0.823,0.236,0.976,0.301,0.293,0.606,0.887,0.455,1.0,0.625,0.631,0.727
