n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.808,0.091,0.995,0.159,0.214,0.543,0.811,0.091,1.0,0.167,0.271,0.545
200,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.823,0.182,0.99,0.295,0.338,0.586,0.83,0.182,1.0,0.308,0.387,0.591
200,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.823,0.218,0.981,0.334,0.333,0.6,0.83,0.182,1.0,0.308,0.387,0.591
200,None,None,0.794,0.044,0.988,0.073,0.062,0.516,0.823,0.2,0.986,0.319,0.347,0.593,0.849,0.273,1.0,0.429,0.479,0.636
400,None,0.25,0.794,0.022,0.994,0.036,0.031,0.508,0.811,0.109,0.995,0.185,0.241,0.552,0.811,0.091,1.0,0.167,0.271,0.545
400,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.826,0.2,0.99,0.318,0.359,0.595,0.811,0.091,1.0,0.167,0.271,0.545
400,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.826,0.218,0.986,0.343,0.366,0.602,0.83,0.182,1.0,0.308,0.387,0.591
400,None,None,0.794,0.044,0.988,0.073,0.062,0.516,0.819,0.2,0.981,0.315,0.333,0.59,0.83,0.182,1.0,0.308,0.387,0.591
600,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.815,0.127,0.995,0.214,0.264,0.561,0.811,0.091,1.0,0.167,0.271,0.545
600,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.83,0.218,0.99,0.338,0.377,0.604,0.83,0.182,1.0,0.308,0.387,0.591
600,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.834,0.255,0.986,0.387,0.395,0.62,0.83,0.182,1.0,0.308,0.387,0.591
600,None,None,0.794,0.044,0.988,0.073,0.062,0.516,0.823,0.2,0.986,0.319,0.347,0.593,0.83,0.182,1.0,0.308,0.387,0.591
800,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.815,0.127,0.995,0.214,0.264,0.561,0.811,0.091,1.0,0.167,0.271,0.545
800,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.834,0.218,0.995,0.346,0.399,0.607,0.83,0.182,1.0,0.308,0.387,0.591
800,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.83,0.218,0.99,0.347,0.38,0.604,0.83,0.182,1.0,0.308,0.387,0.591
800,None,None,0.794,0.044,0.988,0.073,0.062,0.516,0.819,0.2,0.981,0.315,0.333,0.59,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,0.25,0.799,0.022,1.0,0.04,0.06,0.511,0.815,0.127,0.995,0.214,0.264,0.561,0.811,0.091,1.0,0.167,0.271,0.545
1000,None,0.5,0.799,0.044,0.994,0.076,0.091,0.519,0.826,0.182,0.995,0.298,0.363,0.589,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,0.75,0.799,0.044,0.994,0.076,0.091,0.519,0.826,0.2,0.99,0.323,0.361,0.595,0.83,0.182,1.0,0.308,0.387,0.591
1000,None,None,0.789,0.044,0.982,0.073,0.047,0.513,0.819,0.2,0.981,0.315,0.333,0.59,0.83,0.182,1.0,0.308,0.387,0.591
