n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.818,0.139,0.994,0.225,0.273,0.567,0.8,0.127,0.976,0.207,0.209,0.552,0.811,0.182,0.976,0.286,0.277,0.579
200,None,0.5,0.823,0.161,0.994,0.258,0.298,0.578,0.808,0.182,0.971,0.278,0.257,0.577,0.811,0.182,0.976,0.286,0.277,0.579
200,None,0.75,0.818,0.117,1.0,0.193,0.238,0.558,0.792,0.127,0.967,0.203,0.194,0.547,0.811,0.182,0.976,0.286,0.277,0.579
200,None,None,0.813,0.139,0.988,0.219,0.248,0.563,0.8,0.127,0.976,0.209,0.205,0.552,0.792,0.091,0.976,0.154,0.143,0.534
400,None,0.25,0.818,0.139,0.994,0.225,0.273,0.567,0.811,0.164,0.981,0.264,0.272,0.572,0.811,0.182,0.976,0.286,0.277,0.579
400,None,0.5,0.818,0.161,0.988,0.252,0.274,0.575,0.808,0.182,0.971,0.28,0.262,0.577,0.811,0.182,0.976,0.286,0.277,0.579
400,None,0.75,0.823,0.161,0.994,0.259,0.299,0.578,0.796,0.145,0.967,0.229,0.204,0.556,0.811,0.182,0.976,0.286,0.277,0.579
400,None,None,0.818,0.139,0.994,0.227,0.273,0.566,0.789,0.127,0.962,0.199,0.16,0.545,0.792,0.091,0.976,0.154,0.143,0.534
600,None,0.25,0.818,0.139,0.994,0.225,0.273,0.567,0.808,0.164,0.976,0.262,0.259,0.57,0.811,0.182,0.976,0.286,0.277,0.579
600,None,0.5,0.823,0.186,0.988,0.297,0.338,0.587,0.808,0.182,0.971,0.28,0.262,0.577,0.811,0.182,0.976,0.286,0.277,0.579
600,None,0.75,0.823,0.161,0.994,0.259,0.299,0.578,0.796,0.145,0.967,0.229,0.204,0.556,0.811,0.182,0.976,0.286,0.277,0.579
600,None,None,0.823,0.161,0.994,0.259,0.299,0.578,0.792,0.127,0.967,0.201,0.169,0.547,0.792,0.091,0.976,0.154,0.143,0.534
800,None,0.25,0.818,0.139,0.994,0.225,0.273,0.567,0.808,0.164,0.976,0.262,0.259,0.57,0.811,0.182,0.976,0.286,0.277,0.579
800,None,0.5,0.823,0.186,0.988,0.297,0.338,0.587,0.804,0.164,0.971,0.256,0.244,0.568,0.811,0.182,0.976,0.286,0.277,0.579
800,None,0.75,0.823,0.161,0.994,0.259,0.299,0.578,0.789,0.127,0.962,0.198,0.156,0.545,0.811,0.182,0.976,0.286,0.277,0.579
800,None,None,0.823,0.161,0.994,0.259,0.299,0.578,0.789,0.127,0.962,0.198,0.156,0.545,0.792,0.091,0.976,0.154,0.143,0.534
1000,None,0.25,0.823,0.164,0.994,0.27,0.337,0.579,0.811,0.164,0.981,0.264,0.272,0.572,0.811,0.182,0.976,0.286,0.277,0.579
1000,None,0.5,0.823,0.186,0.988,0.297,0.338,0.587,0.8,0.164,0.967,0.254,0.23,0.565,0.811,0.182,0.976,0.286,0.277,0.579
1000,None,0.75,0.828,0.161,1.0,0.265,0.323,0.581,0.789,0.127,0.962,0.198,0.156,0.545,0.811,0.182,0.976,0.286,0.277,0.579
1000,None,None,0.823,0.161,0.994,0.259,0.299,0.578,0.792,0.127,0.967,0.201,0.169,0.547,0.792,0.091,0.976,0.154,0.143,0.534
