Index,position,attribute,F_val,p_val
10252,1,OSBPL1A,22.005857,3.7665645e-06
5719,2,GNAI1,21.148544,5.7526545e-06
603,3,ANKLE2,19.567747,1.2612136e-05
11100,4,PMEPA1,18.238329,2.4512967e-05
10996,5,PLCB1,18.068914,2.6687378e-05
6414,6,HOXC4,17.970621,2.8037215e-05
2548,7,CENPK,17.879831,2.934521e-05
13156,8,SFXN5,17.85464,2.9718954e-05
15934,9,UCK2,17.48226,3.5839137e-05
5105,10,FHL2,17.22565,4.0783754e-05
211,11,ACVR1,17.219519,4.0909996e-05
16286,12,WDPCP,16.731459,5.233518e-05
8294,13,MAPKAPK5,16.660374,5.4249485e-05
701,14,AP1AR,15.917694,7.9023535e-05
338,15,AFAP1,15.872881,8.084158e-05
5700,16,GMDS,15.847153,8.190441e-05
1275,17,BARD1,15.779285,8.477628e-05
1387,18,BICD1,15.712286,8.7711305e-05
14500,19,TACC3,15.680542,8.913757e-05
15247,20,TMSB15B,15.494429,9.798446e-05
5421,21,GAK,15.0691,0.000121685815
709,22,AP1S3,15.02687,0.00012433519
2431,23,CDHR2,14.989132,0.00012675204
9289,24,NEDD4,14.759318,0.00014253156
4539,25,ERC1,14.625758,0.00015260093
4507,26,EPHB2,14.505472,0.00016228462
2115,27,CCDC157,14.4129505,0.00017015445
9544,28,NPAS2,14.366817,0.0001742217
8354,29,MBOAT2,14.271614,0.000182929
4603,30,ETNK1,14.249175,0.00018504463
4638,31,EXOC5,14.244032,0.00018553302
16321,32,WDR6,14.171084,0.00019260227
7003,33,ITGB8,14.112782,0.00019844793
3791,34,DERA,14.064935,0.00020337921
1589,35,C12orf45,13.815534,0.000231166
11070,36,PLOD2,13.688468,0.00024677112
2681,37,CHM,13.534121,0.00026716985
14448,38,SYNJ2,13.363311,0.000291743
2467,39,CDKL3,13.269666,0.00030617436
13568,40,SLC38A6,13.260924,0.00030755784
1836,41,C9,13.256088,0.00030832598
408,42,AIG1,13.255904,0.00030835523
14316,43,STRN,13.202688,0.00031693783
12040,44,RASA1,13.187836,0.00031937615
12049,45,RASEF,13.154368,0.00032494034
28,46,ABCA12,12.984211,0.00035478725
5880,47,GPR180,12.888095,0.00037285977
13460,48,SLC25A40,12.881317,0.00037416886
12353,49,RIMBP2,12.777634,0.00039478554
13033,50,SEMA7A,12.60663,0.00043133643
8096,51,LY75-CD302,12.4914465,0.00045787284
843,52,ARHGAP21,12.485559,0.00045927273
14680,53,TCERG1,12.312161,0.00050251174
8894,54,MTA3,12.262769,0.000515568
11474,55,PRKAA2,12.250759,0.0005187943
792,56,APTX,12.204015,0.0005315478
8919,57,MTMR11,12.188222,0.0005359282
9142,58,NAP1L4,12.1430235,0.000548668
9824,59,OLA1,12.119842,0.0005553209
8279,60,MAPK14,12.102223,0.00056043174
17111,61,ZNF713,12.0366535,0.0005798758
13065,62,SERPINA3,12.024073,0.0005836841
959,63,ARPC2,11.971293,0.0005999391
4945,64,FBXL2,11.905314,0.00062090706
14585,65,TASP1,11.892057,0.00062520907
16444,66,XPO1,11.871337,0.0006319936
90,67,ABI2,11.864366,0.000634293
10240,68,ORC5,11.8515215,0.0006385517
14387,69,SUPT3H,11.849688,0.00063916214
4079,70,DPY19L4,11.83127,0.0006453254
10397,71,PANK2,11.798003,0.00065661134
597,72,ANKH,11.727188,0.0006813072
12243,73,RFFL,11.601015,0.00072766957
1291,74,BBOX1,11.590388,0.00073171774
13441,75,SLC25A23,11.489467,0.0007713209
364,76,AGFG1,11.3876915,0.0008134649
6680,77,IGF2BP3,11.384155,0.0008149706
9041,78,MYO10,11.383623,0.0008151974
225,79,ADAM10,11.3045025,0.0008496449
9633,80,NRIP1,11.242226,0.00087779615
3004,81,COG6,11.241347,0.0008781999
1379,82,BHLHB9,11.237647,0.0008799028
16630,83,ZFAND3,11.116315,0.0009376411
14215,84,ST6GALNAC4,11.092848,0.00094924506
3412,85,CUL3,11.0913,0.00095001556
6287,86,HIRA,11.085927,0.00095269503
1577,87,C11orf80,11.06353,0.0009639474
14059,88,SPOPL,11.016255,0.0009881437
15980,89,UHRF2,10.948531,0.0010238861
16330,90,WDR75,10.937549,0.0010298049
3377,91,CTNND1,10.926227,0.0010359432
8258,92,MAP3K7,10.915432,0.0010418299
6288,93,HIRIP3,10.901036,0.0010497336
16725,94,ZNF133,10.899006,0.0010508532
13993,95,SPATS2L,10.8989315,0.0010508943
7098,96,KBTBD12,10.894929,0.0010531051
1605,97,C14orf39,10.84021,0.0010838072
13196,98,SH3BP2,10.835684,0.0010863872
11368,99,PPP2R2C,10.797482,0.0011084131
16873,100,ZNF394,10.785277,0.0011155448
8468,101,MEMO1,10.725551,0.0011511254
13141,102,SFSWAP,10.72365,0.0011522764
4655,103,EXT1,10.707711,0.001161975
11868,104,QTRT1,10.707058,0.0011623742
16822,105,ZNF292,10.692303,0.0011714296
4016,106,DNMT3A,10.629925,0.0012105112
84,107,ABHD3,10.548059,0.0012638218
15228,108,TMPO,10.545057,0.0012658215
6789,109,IL32,10.5448885,0.0012659341
16267,110,VWDE,10.534683,0.0012727566
12347,111,RICTOR,10.523956,0.0012799682
2435,112,CDIPT,10.521241,0.0012818001
7311,113,KIF2A,10.513401,0.0012871049
9101,114,NAA25,10.505967,0.0012921555
