Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.8,-0.6,-0.6,0.392,1.0,0.235,0.404,0.243,0.617,0.385,1.0,0.224,0.403,0.237,0.612,0.396,1.0,0.238,0.407,0.247,0.619
RBF,1,0.01,-2.0,0.7,-0.2,0.78,0.667,0.807,0.553,0.435,0.737,0.758,1.0,0.695,0.632,0.567,0.848,0.755,1.0,0.69,0.629,0.563,0.845
RBF,1,0.001,-1.2,1.5,-0.2,0.775,0.669,0.801,0.551,0.425,0.735,0.804,1.0,0.752,0.68,0.623,0.876,0.774,1.0,0.714,0.647,0.584,0.857
RBF,1,0.0001,-1.0,0.6,-0.7,0.725,0.472,0.794,0.461,0.407,0.633,0.785,0.927,0.748,0.745,0.647,0.837,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-0.8,-0.6,-0.6,0.392,1.0,0.235,0.404,0.243,0.617,0.385,1.0,0.224,0.403,0.237,0.612,0.396,1.0,0.238,0.407,0.247,0.619
RBF,5,0.01,-2.2,0.5,-0.5,0.737,0.742,0.735,0.539,0.406,0.738,0.706,0.982,0.633,0.582,0.5,0.808,0.698,1.0,0.619,0.579,0.502,0.81
RBF,5,0.001,-2.4,2.2,0.5,0.828,0.253,0.976,0.348,0.328,0.614,0.902,0.727,0.948,0.753,0.694,0.837,0.962,0.909,0.976,0.909,0.885,0.943
RBF,5,0.0001,-1.3,0.9,-0.2,0.818,0.581,0.879,0.567,0.457,0.73,0.842,1.0,0.8,0.725,0.675,0.9,0.811,1.0,0.762,0.688,0.632,0.881
RBF,5,1e-05,-1.0,0.9,0.8,0.775,0.267,0.903,0.24,0.197,0.585,0.77,0.473,0.848,0.341,0.315,0.66,0.906,0.545,1.0,0.706,0.698,0.773
RBF,10,0.1,-0.8,-0.6,-0.6,0.392,1.0,0.235,0.404,0.243,0.617,0.385,1.0,0.224,0.403,0.237,0.612,0.396,1.0,0.238,0.407,0.247,0.619
RBF,10,0.01,-2.2,0.5,-0.5,0.737,0.742,0.735,0.539,0.406,0.738,0.706,0.982,0.633,0.582,0.5,0.808,0.698,1.0,0.619,0.579,0.502,0.81
RBF,10,0.001,-3.3,2.5,0.2,0.809,0.389,0.916,0.451,0.358,0.652,0.838,0.836,0.838,0.68,0.595,0.837,0.83,0.909,0.81,0.69,0.615,0.859
RBF,10,0.0001,-1.5,1.6,-0.1,0.775,0.578,0.825,0.518,0.385,0.701,0.826,0.982,0.786,0.703,0.646,0.884,0.83,1.0,0.786,0.71,0.657,0.893
RBF,10,1e-05,-0.9,0.8,0.6,0.775,0.267,0.903,0.24,0.197,0.585,0.774,0.491,0.848,0.374,0.369,0.669,0.906,0.545,1.0,0.706,0.698,0.773
