CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
SUMO4,119,BAZ1B,63,0.169
SUMO4,119,SMC1B,2,0.244
NSFL1C,20,AURKC,1,0.247
NSFL1C,20,CUL3,135,0.289
UCK2,74,CDHR2,124,0.171
UCK2,74,DCHS2,58,0.171
UCK2,74,EXOC5,9,0.15
GNAI1,70,PDE6D,88,0.213
GNAI1,70,SGK2,80,0.179
GNAI1,70,MAP3K7,91,0.158
GNAI1,70,GNAT3,101,0.303
EXOC3L4,86,EXOC5,9,0.347
E2F3,112,BAZ1B,63,0.167
RAC2,87,EXOC5,9,0.15
RAC2,87,GNAT3,101,0.706
RAC2,87,PDE6D,88,0.681
RAC2,87,SYNPO2,103,0.177
NBAS,116,STX18,105,0.873
IL13RA2,15,HIP1R,50,0.189
ANKS4B,122,CUL3,135,0.157
FOXG1,129,SGK2,80,0.183
NEURL3,18,DLK1,48,0.151
FUT4,31,UPB1,41,0.153
CBX5,8,AURKC,1,0.213
CBX5,8,SMC1B,2,0.171
CBX5,8,DICER1,10,0.26
KCTD14,42,GTPBP2,17,0.208
AQP2,100,GNAT3,101,0.155
CASP1,82,CUL3,135,0.27
CASP1,82,DICER1,10,0.213
PLOD2,132,VASN,99,0.261
ARL14,64,PDE6D,88,0.217
ARL14,64,GNAT3,101,0.167
DRD1,111,GNAT3,101,0.15
DDX55,11,DICER1,10,0.169
CENPK,16,SMC1B,2,0.165
CENPK,16,MAP3K7,91,0.157
DNMBP,108,SYNPO2,103,0.198
MAPK14,133,GNAT3,101,0.246
MAPK14,133,MAP3K7,91,0.3
MAPK14,133,SGK2,80,0.158
MAPK14,133,MAPKAPK5,59,0.499
TRIM13,66,DICER1,10,0.171
TXNIP,60,GTPBP2,17,0.154
