Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-25.0,16.3,1.2,0.811,0.438,0.925,0.513,0.425,0.682,0.739,0.305,0.877,0.36,0.212,0.591,0.747,0.316,0.883,0.375,0.23,0.6
linear,5,-50.1,35.4,2.1,0.812,0.385,0.942,0.48,0.406,0.663,0.767,0.274,0.923,0.359,0.261,0.599,0.747,0.211,0.917,0.286,0.171,0.564
linear,10,-65.2,54.6,2.0,0.805,0.411,0.925,0.487,0.396,0.668,0.762,0.358,0.89,0.416,0.285,0.624,0.747,0.211,0.917,0.286,0.171,0.564
linear,15,-72.1,64.3,1.9,0.805,0.438,0.917,0.505,0.409,0.677,0.757,0.379,0.877,0.425,0.285,0.628,0.709,0.211,0.867,0.258,0.092,0.539
