activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.894,0.946,0.842,0.899,0.793,0.894,0.701,0.474,0.773,0.433,0.234,0.624,0.709,0.474,0.783,0.439,0.245,0.629
relu,"(25,)",0.01,0.89,0.946,0.833,0.895,0.786,0.89,0.734,0.484,0.813,0.466,0.291,0.649,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(25,)",0.001,0.898,0.954,0.842,0.904,0.802,0.898,0.732,0.484,0.81,0.465,0.287,0.647,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(25,)",0.0001,0.888,0.946,0.829,0.893,0.781,0.888,0.719,0.537,0.777,0.48,0.294,0.657,0.759,0.526,0.833,0.513,0.354,0.68
relu,"(50,)",0.1,0.898,0.958,0.838,0.904,0.804,0.898,0.709,0.474,0.783,0.438,0.245,0.629,0.772,0.526,0.85,0.526,0.376,0.688
relu,"(50,)",0.01,0.91,0.971,0.85,0.915,0.828,0.91,0.711,0.411,0.807,0.406,0.216,0.609,0.696,0.316,0.817,0.333,0.138,0.566
relu,"(50,)",0.001,0.91,0.975,0.846,0.916,0.828,0.91,0.727,0.442,0.817,0.438,0.258,0.629,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(50,)",0.0001,0.912,0.975,0.85,0.918,0.833,0.912,0.739,0.484,0.82,0.47,0.299,0.652,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(75,)",0.1,0.888,0.95,0.825,0.894,0.783,0.888,0.732,0.505,0.803,0.476,0.298,0.654,0.709,0.526,0.767,0.465,0.272,0.646
relu,"(75,)",0.01,0.898,0.962,0.833,0.904,0.805,0.898,0.737,0.421,0.837,0.434,0.264,0.629,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(75,)",0.001,0.898,0.971,0.825,0.905,0.806,0.898,0.752,0.474,0.84,0.479,0.317,0.657,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(75,)",0.0001,0.894,0.962,0.825,0.901,0.797,0.894,0.754,0.484,0.84,0.488,0.327,0.662,0.797,0.474,0.9,0.529,0.407,0.687
relu,"(100,)",0.1,0.888,0.954,0.821,0.894,0.784,0.888,0.734,0.495,0.81,0.469,0.297,0.652,0.759,0.526,0.833,0.513,0.354,0.68
relu,"(100,)",0.01,0.885,0.954,0.817,0.893,0.78,0.885,0.737,0.474,0.82,0.461,0.288,0.647,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(100,)",0.001,0.896,0.967,0.825,0.903,0.801,0.896,0.754,0.463,0.847,0.472,0.314,0.655,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(100,)",0.0001,0.89,0.946,0.833,0.895,0.786,0.89,0.767,0.484,0.857,0.499,0.348,0.67,0.759,0.474,0.85,0.486,0.33,0.662
relu,"(125,)",0.1,0.902,0.958,0.846,0.907,0.811,0.902,0.744,0.516,0.817,0.492,0.322,0.666,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(125,)",0.01,0.906,0.967,0.846,0.912,0.82,0.906,0.701,0.358,0.81,0.364,0.169,0.584,0.709,0.263,0.85,0.303,0.127,0.557
relu,"(125,)",0.001,0.904,0.962,0.846,0.909,0.815,0.904,0.696,0.347,0.807,0.355,0.156,0.577,0.696,0.263,0.833,0.294,0.105,0.548
relu,"(125,)",0.0001,0.915,0.971,0.858,0.92,0.836,0.915,0.724,0.389,0.83,0.403,0.225,0.61,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(150,)",0.1,0.904,0.95,0.858,0.908,0.815,0.904,0.744,0.495,0.823,0.48,0.312,0.659,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(150,)",0.01,0.902,0.962,0.842,0.908,0.812,0.902,0.734,0.484,0.813,0.465,0.291,0.649,0.734,0.474,0.817,0.462,0.285,0.645
relu,"(150,)",0.001,0.902,0.971,0.833,0.909,0.813,0.902,0.742,0.474,0.827,0.469,0.299,0.65,0.747,0.474,0.833,0.474,0.307,0.654
