activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.91,0.971,0.85,0.916,0.827,0.91,0.701,0.421,0.79,0.404,0.205,0.606,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(250,)",0.1,0.915,0.979,0.85,0.92,0.837,0.915,0.671,0.547,0.71,0.444,0.231,0.629,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(250,)",0.01,0.908,0.967,0.85,0.913,0.822,0.908,0.673,0.463,0.74,0.406,0.189,0.602,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(250,)",0.001,0.919,0.967,0.871,0.922,0.842,0.919,0.676,0.432,0.753,0.391,0.175,0.592,0.646,0.368,0.733,0.333,0.096,0.551
relu,"(250,)",0.0001,0.915,0.967,0.862,0.919,0.834,0.915,0.678,0.432,0.757,0.392,0.178,0.594,0.646,0.368,0.733,0.333,0.096,0.551
relu,"(275,)",0.1,0.896,0.962,0.829,0.903,0.801,0.896,0.668,0.421,0.747,0.376,0.159,0.584,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(275,)",0.01,0.91,0.967,0.854,0.915,0.826,0.91,0.678,0.463,0.747,0.41,0.196,0.605,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(275,)",0.001,0.919,0.979,0.858,0.923,0.844,0.919,0.699,0.442,0.78,0.414,0.214,0.611,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(275,)",0.0001,0.908,0.971,0.846,0.914,0.823,0.908,0.704,0.453,0.783,0.425,0.227,0.618,0.734,0.474,0.817,0.462,0.285,0.645
relu,"(300,)",0.1,0.904,0.975,0.833,0.911,0.82,0.904,0.668,0.4,0.753,0.369,0.148,0.577,0.722,0.579,0.767,0.5,0.318,0.673
relu,"(300,)",0.01,0.923,0.967,0.879,0.926,0.85,0.923,0.673,0.432,0.75,0.389,0.171,0.591,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(300,)",0.001,0.921,0.971,0.871,0.925,0.846,0.921,0.684,0.4,0.773,0.378,0.169,0.587,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(300,)",0.0001,0.917,0.967,0.867,0.921,0.838,0.917,0.689,0.432,0.77,0.4,0.193,0.601,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(25,5)",0.1,0.906,0.967,0.846,0.912,0.821,0.906,0.666,0.495,0.72,0.414,0.197,0.607,0.646,0.263,0.767,0.263,0.03,0.515
relu,"(25,5)",0.01,0.912,0.971,0.854,0.917,0.831,0.913,0.643,0.316,0.747,0.296,0.059,0.531,0.658,0.263,0.783,0.27,0.047,0.523
relu,"(25,5)",0.001,0.902,0.971,0.833,0.908,0.812,0.902,0.641,0.326,0.74,0.301,0.062,0.533,0.646,0.316,0.75,0.3,0.064,0.533
relu,"(25,5)",0.0001,0.892,0.967,0.817,0.899,0.792,0.892,0.646,0.4,0.723,0.349,0.113,0.562,0.62,0.263,0.733,0.25,-0.003,0.498
relu,"(50,10)",0.1,0.885,0.971,0.8,0.894,0.783,0.885,0.694,0.537,0.743,0.456,0.257,0.64,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(50,10)",0.01,0.91,0.967,0.854,0.915,0.826,0.91,0.666,0.432,0.74,0.382,0.159,0.586,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(50,10)",0.001,0.91,0.967,0.854,0.915,0.826,0.91,0.663,0.432,0.737,0.381,0.156,0.584,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(50,10)",0.0001,0.908,0.962,0.854,0.913,0.822,0.908,0.663,0.442,0.733,0.387,0.163,0.588,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(75,15)",0.1,0.921,0.975,0.867,0.925,0.848,0.921,0.678,0.432,0.757,0.393,0.179,0.594,0.696,0.421,0.783,0.4,0.198,0.602
relu,"(75,15)",0.01,0.9,0.967,0.833,0.906,0.808,0.9,0.668,0.4,0.753,0.369,0.148,0.577,0.671,0.368,0.767,0.35,0.131,0.568
relu,"(75,15)",0.001,0.919,0.971,0.867,0.923,0.843,0.919,0.681,0.358,0.783,0.351,0.14,0.571,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(75,15)",0.0001,0.912,0.967,0.858,0.917,0.83,0.912,0.678,0.326,0.79,0.327,0.117,0.558,0.671,0.316,0.783,0.316,0.099,0.55
relu,"(100,20)",0.1,0.696,0.488,0.904,0.49,0.4,0.696,0.716,0.221,0.873,0.211,0.093,0.547,0.671,0.368,0.767,0.35,0.131,0.568
relu,"(100,20)",0.01,0.915,0.975,0.854,0.919,0.836,0.915,0.656,0.368,0.747,0.34,0.11,0.558,0.658,0.316,0.767,0.308,0.081,0.541
relu,"(100,20)",0.001,0.91,0.967,0.854,0.915,0.826,0.91,0.691,0.337,0.803,0.344,0.143,0.57,0.709,0.316,0.833,0.343,0.159,0.575
relu,"(100,20)",0.0001,0.908,0.967,0.85,0.913,0.823,0.908,0.706,0.379,0.81,0.382,0.191,0.594,0.709,0.316,0.833,0.343,0.159,0.575
relu,"(125,25)",0.1,0.56,0.8,0.321,0.567,0.132,0.56,0.403,0.705,0.307,0.303,0.01,0.506,0.696,0.158,0.867,0.2,0.03,0.512
relu,"(125,25)",0.01,0.91,0.967,0.854,0.915,0.827,0.91,0.671,0.432,0.747,0.387,0.167,0.589,0.658,0.474,0.717,0.4,0.173,0.595
relu,"(125,25)",0.001,0.923,0.967,0.879,0.926,0.849,0.923,0.673,0.347,0.777,0.337,0.121,0.562,0.671,0.368,0.767,0.35,0.131,0.568
relu,"(125,25)",0.0001,0.915,0.962,0.867,0.919,0.833,0.915,0.673,0.358,0.773,0.346,0.129,0.566,0.658,0.316,0.767,0.308,0.081,0.541
relu,"(150,30)",0.1,0.885,0.962,0.808,0.894,0.781,0.885,0.681,0.495,0.74,0.425,0.216,0.617,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(150,30)",0.01,0.915,0.975,0.854,0.919,0.836,0.915,0.666,0.453,0.733,0.395,0.173,0.593,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(150,30)",0.001,0.919,0.975,0.862,0.923,0.843,0.919,0.686,0.453,0.76,0.41,0.201,0.606,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(150,30)",0.0001,0.915,0.975,0.854,0.919,0.836,0.915,0.681,0.432,0.76,0.394,0.182,0.596,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(175,35)",0.1,0.91,0.967,0.854,0.915,0.828,0.91,0.684,0.463,0.753,0.414,0.203,0.608,0.671,0.368,0.767,0.35,0.131,0.568
relu,"(175,35)",0.01,0.912,0.971,0.854,0.917,0.831,0.912,0.681,0.442,0.757,0.401,0.188,0.599,0.684,0.421,0.767,0.39,0.179,0.594
relu,"(175,35)",0.001,0.915,0.967,0.862,0.919,0.834,0.915,0.704,0.495,0.77,0.445,0.249,0.632,0.696,0.474,0.767,0.429,0.226,0.62
