CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
MTHFD1L,77,CLIC2,28,0.343
KCNF1,138,CABP2,71,0.152
KCNF1,138,GUCA1C,44,0.152
PKP4,69,CDHR2,60,0.163
CTNND1,96,CDHR2,60,0.163
BCL10,127,RNF168,93,0.27
MFNG,48,UNCX,99,0.159
GNAI1,17,ARL11,4,0.167
GNAI1,17,DRD5,53,0.15
GNAI1,17,EDNRB,106,0.15
GNAI1,17,TAAR1,26,0.15
GNAI1,17,OR5K4,108,0.15
PLEC,92,CABP2,71,0.309
PLEC,92,GUCA1C,44,0.244
PLEC,92,MICAL3,89,0.212
PLEC,92,SYNPO2,12,0.216
DLG3,110,SYNPO2,12,0.15
CNOT6,85,NANOS2,113,0.554
PABPC1,39,DHX15,6,0.564
PABPC1,39,NAA38,57,0.171
STRN,56,TXNDC11,83,0.25
