CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
BCL10,127,RASA1,8,0.181
BCL10,127,RNF168,93,0.27
STRN,56,GNAI1,17,0.213
STRN,56,ZFAND3,116,0.163
STRN,56,TXNDC11,83,0.25
PLEC,92,CABP2,71,0.309
PLEC,92,GUCA1C,44,0.244
PLEC,92,KCNF1,138,0.244
PLEC,92,MICAL3,89,0.212
PLEC,92,SYNPO2,12,0.216
PKP4,69,CDHR2,60,0.163
DLG3,110,SYNPO2,12,0.15
COL17A1,137,CTNND1,96,0.27
