Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.4,1.2,-0.2,0.907,0.814,1.0,0.895,0.83,0.907,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-1.8,1.2,0.3,0.937,0.886,0.988,0.933,0.879,0.937,0.815,0.109,1.0,0.195,0.294,0.555,0.811,0.091,1.0,0.167,0.271,0.545
RBF,1,0.001,-1.6,1.3,0.1,0.867,0.849,0.885,0.864,0.736,0.867,0.875,0.782,0.9,0.722,0.646,0.841,0.849,0.727,0.881,0.667,0.573,0.804
RBF,1,0.0001,-0.9,1.0,-0.0,0.679,0.655,0.697,0.603,0.353,0.676,0.706,0.745,0.695,0.493,0.382,0.72,0.83,0.909,0.81,0.69,0.615,0.859
RBF,1,1e-05,-1.0,1.0,-0.0,0.679,0.655,0.697,0.603,0.353,0.676,0.702,0.745,0.69,0.487,0.375,0.718,0.83,0.909,0.81,0.69,0.615,0.859
RBF,5,0.1,-0.3,1.2,-0.2,0.922,0.844,1.0,0.914,0.855,0.922,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-1.8,1.2,0.3,0.955,0.922,0.988,0.953,0.912,0.955,0.804,0.055,1.0,0.1,0.163,0.527,0.792,0.0,1.0,0.0,0.0,0.5
RBF,5,0.001,-2.9,2.0,0.4,0.894,0.855,0.934,0.889,0.794,0.895,0.902,0.655,0.967,0.727,0.687,0.811,0.906,0.636,0.976,0.737,0.694,0.806
RBF,5,0.0001,-1.5,1.3,-0.1,0.843,0.867,0.819,0.845,0.689,0.843,0.8,0.909,0.771,0.656,0.574,0.84,0.83,0.909,0.81,0.69,0.615,0.859
RBF,5,1e-05,-1.0,1.0,-0.0,0.679,0.655,0.697,0.603,0.353,0.676,0.702,0.745,0.69,0.487,0.375,0.718,0.83,0.909,0.81,0.69,0.615,0.859
RBF,10,0.1,-0.3,1.2,-0.2,0.922,0.844,1.0,0.914,0.855,0.922,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-1.8,1.2,0.3,0.955,0.922,0.988,0.953,0.912,0.955,0.804,0.055,1.0,0.1,0.163,0.527,0.792,0.0,1.0,0.0,0.0,0.5
RBF,10,0.001,-3.3,2.4,0.1,0.913,0.946,0.88,0.915,0.828,0.913,0.868,0.691,0.914,0.682,0.603,0.803,0.868,0.636,0.929,0.667,0.586,0.782
RBF,10,0.0001,-2.0,1.5,0.2,0.873,0.843,0.903,0.868,0.749,0.873,0.913,0.873,0.924,0.806,0.755,0.898,0.906,0.909,0.905,0.8,0.749,0.907
RBF,10,1e-05,-0.9,1.0,-0.0,0.679,0.655,0.697,0.603,0.353,0.676,0.706,0.764,0.69,0.521,0.429,0.727,0.83,0.909,0.81,0.69,0.615,0.859
