Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.8,1.2,-0.2,0.928,0.856,1.0,0.922,0.865,0.928,0.785,0.0,0.99,0.0,-0.028,0.495,0.792,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-2.0,1.4,0.0,0.909,0.903,0.916,0.909,0.82,0.909,0.815,0.636,0.862,0.59,0.474,0.749,0.83,0.636,0.881,0.609,0.501,0.759
RBF,1,0.001,-1.8,1.4,-0.1,0.816,0.813,0.819,0.811,0.635,0.816,0.819,0.909,0.795,0.677,0.6,0.852,0.83,0.909,0.81,0.69,0.615,0.859
RBF,1,0.0001,-1.0,0.9,-0.0,0.645,0.564,0.721,0.55,0.296,0.642,0.687,0.709,0.681,0.46,0.338,0.695,0.849,0.909,0.833,0.714,0.645,0.871
RBF,1,1e-05,-1.0,1.0,-0.0,0.645,0.558,0.727,0.548,0.297,0.642,0.687,0.709,0.681,0.46,0.338,0.695,0.849,0.909,0.833,0.714,0.645,0.871
RBF,5,0.1,-0.8,1.2,-0.2,0.94,0.892,0.988,0.937,0.884,0.94,0.758,0.0,0.957,0.0,-0.095,0.479,0.792,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-2.6,1.4,0.3,0.946,0.934,0.958,0.945,0.892,0.946,0.796,0.236,0.943,0.316,0.245,0.59,0.774,0.091,0.952,0.143,0.076,0.522
RBF,5,0.001,-3.2,2.9,-0.2,0.867,0.934,0.801,0.875,0.742,0.867,0.736,0.855,0.705,0.573,0.462,0.78,0.679,0.727,0.667,0.485,0.324,0.697
RBF,5,0.0001,-1.5,1.3,0.1,0.789,0.644,0.934,0.749,0.605,0.789,0.842,0.836,0.843,0.686,0.603,0.84,0.849,0.909,0.833,0.714,0.645,0.871
RBF,5,1e-05,-1.0,0.9,-0.0,0.645,0.558,0.727,0.548,0.297,0.642,0.687,0.709,0.681,0.46,0.338,0.695,0.849,0.909,0.833,0.714,0.645,0.871
RBF,10,0.1,-0.8,1.2,-0.2,0.94,0.892,0.988,0.937,0.884,0.94,0.758,0.0,0.957,0.0,-0.095,0.479,0.792,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-2.5,1.4,0.2,0.949,0.94,0.958,0.948,0.898,0.949,0.792,0.364,0.905,0.42,0.305,0.634,0.811,0.273,0.952,0.375,0.312,0.613
RBF,10,0.001,-3.8,3.3,0.2,0.888,0.88,0.898,0.887,0.778,0.889,0.792,0.582,0.848,0.538,0.407,0.715,0.792,0.545,0.857,0.522,0.39,0.701
RBF,10,0.0001,-2.1,1.6,-0.1,0.816,0.819,0.813,0.813,0.635,0.816,0.808,0.909,0.781,0.664,0.584,0.845,0.83,0.909,0.81,0.69,0.615,0.859
RBF,10,1e-05,-1.0,0.9,-0.0,0.645,0.558,0.727,0.548,0.297,0.642,0.691,0.727,0.681,0.493,0.392,0.704,0.849,0.909,0.833,0.714,0.645,0.871
