Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.9,1.1,-0.1,0.904,0.817,0.992,0.892,0.825,0.904,0.759,0.011,0.997,0.019,0.02,0.504,0.759,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-2.0,1.4,-0.2,0.844,0.929,0.758,0.856,0.698,0.844,0.734,0.695,0.747,0.557,0.394,0.721,0.747,0.684,0.767,0.565,0.406,0.725
RBF,1,0.001,-1.8,1.9,-0.4,0.744,0.758,0.729,0.747,0.492,0.744,0.668,0.621,0.683,0.475,0.268,0.652,0.633,0.632,0.633,0.453,0.229,0.632
RBF,1,0.0001,-0.9,0.9,-0.1,0.619,0.254,0.983,0.397,0.347,0.619,0.81,0.295,0.973,0.427,0.399,0.634,0.823,0.316,0.983,0.462,0.45,0.65
RBF,1,1e-05,-0.1,0.1,0.0,0.608,0.225,0.992,0.364,0.337,0.608,0.797,0.189,0.99,0.308,0.344,0.59,0.797,0.211,0.983,0.333,0.34,0.597
RBF,5,0.1,-0.8,1.2,-0.1,0.915,0.838,0.992,0.905,0.843,0.915,0.762,0.021,0.997,0.039,0.06,0.509,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-2.3,1.4,0.3,0.933,0.933,0.933,0.932,0.869,0.933,0.727,0.126,0.917,0.18,0.061,0.521,0.734,0.105,0.933,0.16,0.062,0.519
RBF,5,0.001,-3.2,2.5,0.2,0.788,0.679,0.896,0.761,0.59,0.788,0.762,0.442,0.863,0.472,0.321,0.653,0.772,0.474,0.867,0.5,0.354,0.67
RBF,5,0.0001,-1.9,2.1,-0.5,0.723,0.779,0.667,0.738,0.452,0.723,0.651,0.684,0.64,0.486,0.281,0.662,0.62,0.632,0.617,0.444,0.214,0.624
RBF,5,1e-05,-0.5,0.5,-0.0,0.608,0.225,0.992,0.364,0.337,0.608,0.797,0.189,0.99,0.308,0.344,0.59,0.797,0.211,0.983,0.333,0.34,0.597
RBF,10,0.1,-0.8,1.2,-0.1,0.915,0.838,0.992,0.905,0.843,0.915,0.762,0.021,0.997,0.039,0.06,0.509,0.759,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-2.4,1.7,0.4,0.933,0.912,0.954,0.931,0.87,0.933,0.754,0.095,0.963,0.157,0.119,0.529,0.785,0.105,1.0,0.19,0.286,0.553
RBF,10,0.001,-4.2,2.7,-0.3,0.802,0.896,0.708,0.819,0.617,0.802,0.651,0.516,0.693,0.416,0.187,0.605,0.633,0.474,0.683,0.383,0.14,0.579
RBF,10,0.0001,-2.4,2.5,-0.4,0.756,0.792,0.721,0.764,0.518,0.756,0.643,0.568,0.667,0.435,0.207,0.618,0.557,0.526,0.567,0.364,0.08,0.546
RBF,10,1e-05,-1.0,0.9,-0.1,0.617,0.246,0.987,0.389,0.348,0.617,0.81,0.284,0.977,0.415,0.396,0.63,0.823,0.316,0.983,0.462,0.45,0.65
