Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-2.1,1.3,0.2,0.823,0.742,0.904,0.804,0.657,0.823,0.711,0.2,0.873,0.25,0.09,0.537,0.734,0.211,0.9,0.276,0.142,0.555
RBF,1,0.01,-2.7,2.3,0.1,0.746,0.671,0.821,0.724,0.499,0.746,0.686,0.368,0.787,0.36,0.152,0.578,0.671,0.316,0.783,0.316,0.099,0.55
RBF,1,0.001,-1.4,1.8,-0.1,0.688,0.508,0.867,0.617,0.403,0.688,0.722,0.316,0.85,0.348,0.18,0.583,0.696,0.316,0.817,0.333,0.138,0.566
RBF,1,0.0001,-0.3,0.2,-0.1,0.662,0.479,0.846,0.579,0.358,0.662,0.719,0.368,0.83,0.381,0.208,0.599,0.785,0.263,0.95,0.37,0.302,0.607
RBF,1,1e-05,-0.0,0.0,-0.0,0.571,0.15,0.992,0.251,0.258,0.571,0.765,0.021,1.0,0.038,0.057,0.511,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-2.4,1.5,0.3,0.865,0.783,0.946,0.847,0.744,0.865,0.729,0.137,0.917,0.194,0.081,0.527,0.734,0.158,0.917,0.222,0.106,0.537
RBF,5,0.01,-3.7,2.7,0.3,0.76,0.646,0.875,0.729,0.536,0.76,0.684,0.284,0.81,0.3,0.098,0.547,0.696,0.263,0.833,0.294,0.105,0.548
RBF,5,0.001,-2.5,3.5,-0.2,0.733,0.75,0.717,0.737,0.469,0.733,0.663,0.463,0.727,0.397,0.174,0.595,0.646,0.526,0.683,0.417,0.186,0.605
RBF,5,0.0001,-1.0,1.1,-0.5,0.688,0.854,0.521,0.733,0.398,0.688,0.567,0.674,0.533,0.43,0.179,0.604,0.494,0.684,0.433,0.394,0.102,0.559
RBF,5,1e-05,-0.1,0.1,0.0,0.571,0.15,0.992,0.251,0.258,0.571,0.765,0.021,1.0,0.038,0.057,0.511,0.759,0.0,1.0,0.0,0.0,0.5
RBF,10,0.1,-2.9,1.7,0.3,0.881,0.821,0.942,0.869,0.774,0.881,0.724,0.179,0.897,0.235,0.097,0.538,0.709,0.158,0.883,0.207,0.053,0.521
RBF,10,0.01,-4.2,2.9,0.3,0.775,0.675,0.875,0.75,0.563,0.775,0.694,0.316,0.813,0.331,0.134,0.565,0.709,0.316,0.833,0.343,0.159,0.575
RBF,10,0.001,-3.2,4.8,0.0,0.742,0.704,0.779,0.73,0.486,0.742,0.668,0.389,0.757,0.36,0.139,0.573,0.646,0.368,0.733,0.333,0.096,0.551
RBF,10,0.0001,-1.4,1.9,-0.5,0.683,0.892,0.475,0.739,0.403,0.683,0.544,0.653,0.51,0.407,0.141,0.581,0.506,0.632,0.467,0.381,0.085,0.549
RBF,10,1e-05,-0.3,0.2,-0.1,0.652,0.45,0.854,0.554,0.342,0.652,0.727,0.358,0.843,0.379,0.217,0.601,0.785,0.263,0.95,0.37,0.302,0.607
