Index,position,attribute,projections,classifiers,nodes,RI
14356,1,SUFU,109,0.5614679,0.6513761,0.02322237
5661,2,GLIPR1L2,123,0.6065041,0.6178862,0.019807694
13947,3,SPAG11B,99,0.6484848,0.65858585,0.018922616
1499,4,BSDC1,114,0.46842104,0.47894737,0.017611759
10179,5,OR6K2,110,0.55636364,0.55636364,0.016748354
14486,6,TAAR1,84,0.51666665,0.56666666,0.015641749
2435,7,CDIPT,96,0.43333334,0.4375,0.015262144
7694,8,LCE3C,97,0.5670103,0.5690722,0.013503096
1928,9,CALM2,119,0.37815127,0.3882353,0.011960262
9999,10,OR2T3,105,0.49333334,0.51428574,0.011905547
6082,11,GUCA1C,84,0.5,0.50714284,0.0116655035
15915,12,UBR5,97,0.371134,0.39381444,0.011535026
9901,13,OR11H12,106,0.37924528,0.41509435,0.011327869
3016,14,COL17A1,101,0.35841584,0.36039603,0.010979968
10053,15,OR4M1,96,0.47916666,0.48958334,0.010911731
15782,16,TULP2,92,0.39565217,0.40434784,0.0107580405
12698,17,RSPH10B,104,0.39807692,0.4096154,0.010678718
1397,18,BIRC6,77,0.38961038,0.39740258,0.010463163
5295,19,FSCN3,90,0.35333332,0.37111112,0.010409071
13944,20,SPACA7,101,0.47326732,0.5049505,0.010335785
5582,21,GGT6,95,0.37473685,0.3873684,0.010298256
114,22,ACADS,83,0.37831324,0.38554215,0.009890335
908,23,ARL11,111,0.42702702,0.44504505,0.009781397
1719,24,C20orf141,85,0.38588235,0.41411763,0.009775086
11415,25,PRAMEF20,88,0.41363636,0.4340909,0.0097562345
757,26,APOBEC1,82,0.45365855,0.49268293,0.009718022
13508,27,SLC2A9,84,0.34285715,0.34285715,0.009506784
6499,28,HSFX1,108,0.38518518,0.4,0.009373009
6529,29,HSPB9,92,0.3652174,0.36956522,0.00934617
15179,30,TMEM52,92,0.4347826,0.4478261,0.009093654
5618,31,GJA10,94,0.34893617,0.38085106,0.009074914
3762,32,DEFB132,100,0.394,0.402,0.009034242
12131,33,RBM6,104,0.38653848,0.39615384,0.00902455
10059,34,OR4Q3,107,0.3588785,0.36261684,0.00899599
6646,35,IFNA7,93,0.40430108,0.41505376,0.008956701
2316,36,CD320,105,0.3752381,0.38857144,0.008892484
4096,37,DRD5,119,0.34453782,0.3462185,0.008881905
1900,38,CACNG3,94,0.35531914,0.3893617,0.008864425
5774,39,GOLGA6L1,107,0.36635515,0.3869159,0.00875867
5081,40,FGF5,93,0.35268816,0.372043,0.008554353
5783,41,GOLGA8G,84,0.42619047,0.4547619,0.008515351
3645,42,DCT,94,0.2744681,0.2829787,0.008412873
976,43,ARSB,92,0.35217392,0.35869566,0.008286607
2968,44,CNPY1,92,0.31304348,0.32608697,0.008283608
1319,45,BCL10,108,0.27592593,0.27592593,0.00811061
8091,46,LY6G6E,118,0.3322034,0.41525424,0.007913904
10149,47,OR5M1,114,0.3385965,0.34210527,0.0078067444
11019,48,PLD6,101,0.28712872,0.2930693,0.007776706
9192,49,NCDN,91,0.26153848,0.2747253,0.0077235647
4170,50,DYDC1,101,0.35049504,0.39009902,0.007713442
5612,51,GIPC2,99,0.3070707,0.3090909,0.0076660356
7562,52,KRTAP21_3,98,0.31428573,0.31428573,0.0076141106
8477,53,MESP1,100,0.338,0.342,0.0074654743
16287,54,WDR1,86,0.30930233,0.3116279,0.007410128
2630,55,CGB8,93,0.31827956,0.3376344,0.0073829275
6641,56,IFNA2,114,0.32807016,0.34385964,0.007353832
16010,57,UNCX,112,0.4375,0.4375,0.007337756
10372,58,PAGE3,99,0.32929292,0.33131313,0.0073104613
