CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
POU5F1,111,ELP3,104,0.27
POU5F1,111,LIMS3,74,0.154
POU5F1,111,PDCD7,116,0.27
POU5F1,111,UBR5,12,0.281
TP53,126,SYVN1,84,0.675
TP53,126,UBR5,12,0.667
PTPRF,127,LRRC39,60,0.177
PTPRF,127,RTN4RL2,88,0.177
BIRC6,18,OASL,120,0.254
BIRC6,18,NFATC2IP,99,0.24
BIRC6,18,UBR5,12,0.242
PLEC,131,ACADS,22,0.185
PLEC,131,CALM2,9,0.343
PLEC,131,EIF3C,75,0.26
PLEC,131,EIF3CL,67,0.26
PLEC,131,GUCA1C,11,0.244
PLEC,131,NFATC2IP,99,0.246
PLEC,131,OASL,120,0.369
PLEC,131,REN,102,0.151
WDR1,54,SYVN1,84,0.27
ACE2,94,ARL11,23,0.161
SNX15,73,DHPS,119,0.171
SNX15,73,RBM6,33,0.161
DPY30,93,BANF2,130,0.224
DPY30,93,OASL,120,0.369
DPY30,93,RBM6,33,0.246
DPY30,93,UBR5,12,0.27
DPY30,93,DYDC1,50,0.172
PPP1CB,128,CALM2,9,0.173
PPP1CB,128,GUCA1C,11,0.173
PPP1CB,128,LRRC39,60,0.158
PPP1CB,128,NFATC2IP,99,0.175
PPP1CB,128,RTN4RL2,88,0.158
