CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
WDR1,42,CUL3,64,0.27
RASA1,11,PDE6D,61,0.213
AP1S3,130,AP1B1,90,0.768
AP1S3,130,ARL11,3,0.177
TRIM13,37,DICER1,134,0.171
CD14,35,OASL,123,0.15
MAP4K4,121,MAP3K7,51,0.293
GNAI1,28,ARL11,3,0.167
GNAI1,28,DRD5,71,0.15
GNAI1,28,EDNRB,84,0.15
GNAI1,28,PDE6D,61,0.213
GNAI1,28,TBK1,86,0.158
GNAI1,28,SGK2,138,0.179
GNAI1,28,OBSCN,94,0.152
GNAI1,28,SRGAP1,79,0.172
GNAI1,28,PRNP,76,0.213
GNAI1,28,MAP3K7,51,0.158
MATR3,108,DHX15,6,0.27
MATR3,108,DICER1,134,0.27
DUSP1,23,RPL39,21,0.183
ZFAND3,104,OASL,123,0.169
EIF2AK2,81,CNPY1,56,0.231
EIF2AK2,81,DICER1,134,0.396
EIF2AK2,81,MAP3K7,51,0.27
DLG3,39,SYNPO2,9,0.15
DLG3,39,OBSCN,94,0.161
PABPC1,19,DHX15,6,0.564
PABPC1,19,DICER1,134,0.27
PABPC1,19,OASL,123,0.218
PABPC1,19,PRNP,76,0.27
PABPC1,19,RPL39,21,0.344
CENPK,27,MAP3K7,51,0.157
USP37,114,OASL,123,0.165
UCK2,82,CDHR2,72,0.171
UCK2,82,EXOC5,4,0.15
ACAD10,77,ACADS,120,0.355
USP49,34,OASL,123,0.309
