CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
DUSP1,23,RPL39,21,0.183
DUSP1,23,USP49,34,0.27
NPAS2,111,USP37,114,0.165
DLG3,39,CAMK2B,125,0.24
DLG3,39,E2F3,46,0.175
DLG3,39,SYNPO2,9,0.15
DLG3,39,UCK2,82,0.151
DLG3,39,OBSCN,94,0.161
TRIM13,37,ACAD10,77,0.153
TRIM13,37,DICER1,134,0.171
MAP4K4,121,MAP3K7,51,0.293
MAP4K4,121,RASA1,11,0.27
