Index,position,attribute,meanImp,medianImp,minImp,maxImp,normHits,decision
8504,1,METTL7A,9.52372521005789,9.64032948022631,-0.010029632191566,12.5912579507693,0.979,Confirmed
10252,2,OSBPL1A,9.18175291542985,9.33361716564606,0.167915284395591,13.8506347961725,0.978,Confirmed
908,3,ARL11,8.79529476788044,8.95852422295269,-0.802641364687185,13.3894726742602,0.972,Confirmed
4638,4,EXOC5,8.16813767384797,8.25285344812469,0,11.562113684994,0.969,Confirmed
2048,5,CBLN3,7.72373082128131,7.86003628297312,-1.00100150250438,11.4741449405089,0.969,Confirmed
3840,6,DHX15,7.12760822316807,7.2581177436656,-1.00100150250438,10.4278307962704,0.958,Confirmed
8678,7,MOCS1,5.19714318704484,5.22242258397284,-1.00100150250438,8.77082721224254,0.908,Confirmed
1589,8,C12orf45,4.94736881926759,5.01700736459955,-1.41650192470991,8.37434686677859,0.886,Confirmed
14453,9,SYNPO2,4.78640703995249,4.84313205002835,-1.00100150250438,8.60783331217854,0.871,Confirmed
12718,10,RTL1,4.04727751091464,4.09593140830364,-1.20600298047612,8.21184181988298,0.77,Confirmed
12040,11,RASA1,3.92845361418963,3.95557962464395,-1.35156088800711,8.50841783620357,0.766,Confirmed
1605,12,C14orf39,3.50139262501296,3.53023852227312,-1.00100150250438,6.68240936719823,0.689,Confirmed
421,13,AK5,2.76226241040583,2.8096309527913,-1.41505621422469,6.72229888110586,0.52,Tentative
9964,14,OR2B11,2.61868061950754,2.6514730702243,-1.00100150250438,6.44929958476545,0.51,Tentative
1836,15,C9,1.55342952434089,1.51995882010219,0.562658451610785,2.27763102660109,0,Rejected
780,16,APOL4,1.19422001930246,1.17345039841528,-1.00100150250438,4.23832053496378,0.011,Rejected
2865,17,CLIC2,1.17831474176911,1.26559340217748,0,2.02755314278264,0,Rejected
1499,18,BSDC1,1.11587460301007,1.39547409472243,-1.00100150250438,1.92988714112578,0,Rejected
10340,19,PABPC1,1.06573134666522,1.12989677768818,-1.00100150250438,2.00203662837911,0,Rejected
8294,20,MAPKAPK5,1.01325460218132,1.13200436784165,0,2.33679722688493,0,Rejected
12584,21,RPL39,0.991835154021269,0.989401711215624,-1.00100150250438,3.9124518027378,0.006,Rejected
6985,22,ITGA8,0.990242975019957,1.00100150250438,-1.00100150250438,1.70322133097959,0,Rejected
4141,23,DUSP1,0.978348203569364,1.00100150250438,-0.201620965025003,1.79528030848185,0,Rejected
2962,24,CNOT6,0.973177208959302,1.00100150250438,-0.548586484933519,2.01910730552203,0,Rejected
14608,25,TBC1D22B,0.963831948264887,1.27641527297203,-1.41418670287244,1.69375927887705,0,Rejected
17159,26,ZNF787,0.912321210176885,1.04610387644605,-1.00100150250438,1.82295074936356,0,Rejected
2548,27,CENPK,0.894262821648828,1.00100150250438,-1.00100150250438,1.81248519984014,0,Rejected
5719,28,GNAI1,0.828680099210436,1.00100150250438,-1.4167285799706,1.80666940770619,0,Rejected
