Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.0,-0.4,-0.5,0.598,0.757,0.55,0.465,0.26,0.654,0.638,0.842,0.573,0.528,0.356,0.708,0.62,0.842,0.55,0.516,0.336,0.696
RBF,1,0.01,-1.8,0.9,0.3,0.824,0.438,0.942,0.537,0.456,0.69,0.828,0.495,0.933,0.58,0.487,0.714,0.835,0.526,0.933,0.606,0.514,0.73
RBF,1,0.001,-1.5,2.3,0.2,0.831,0.353,0.975,0.488,0.455,0.664,0.82,0.316,0.98,0.457,0.443,0.648,0.823,0.316,0.983,0.462,0.45,0.65
RBF,1,0.0001,-0.7,0.8,0.1,0.818,0.245,0.992,0.364,0.401,0.618,0.808,0.263,0.98,0.388,0.393,0.622,0.797,0.158,1.0,0.273,0.353,0.579
RBF,1,1e-05,0.8,1.0,0.9,0.792,0.272,0.95,0.364,0.321,0.611,0.78,0.337,0.92,0.414,0.33,0.628,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-1.0,-0.4,-0.5,0.598,0.757,0.55,0.465,0.26,0.654,0.638,0.842,0.573,0.528,0.356,0.708,0.62,0.842,0.55,0.516,0.336,0.696
RBF,5,0.01,-2.0,0.9,-0.1,0.805,0.536,0.888,0.56,0.441,0.712,0.813,0.705,0.847,0.644,0.522,0.776,0.823,0.737,0.85,0.667,0.552,0.793
RBF,5,0.001,-2.1,3.1,-0.1,0.783,0.531,0.858,0.523,0.387,0.695,0.78,0.558,0.85,0.55,0.405,0.704,0.772,0.579,0.833,0.55,0.399,0.706
RBF,5,0.0001,-1.8,1.9,0.1,0.818,0.286,0.979,0.418,0.4,0.632,0.8,0.263,0.97,0.387,0.36,0.617,0.797,0.211,0.983,0.333,0.34,0.597
RBF,5,1e-05,-1.1,0.9,0.5,0.783,0.187,0.962,0.237,0.195,0.575,0.767,0.221,0.94,0.257,0.194,0.581,0.759,0.0,1.0,0.0,0.0,0.5
RBF,10,0.1,-1.0,-0.4,-0.5,0.598,0.757,0.55,0.465,0.26,0.654,0.638,0.842,0.573,0.528,0.356,0.708,0.62,0.842,0.55,0.516,0.336,0.696
RBF,10,0.01,-2.1,1.0,-0.2,0.799,0.564,0.871,0.565,0.439,0.717,0.818,0.768,0.833,0.67,0.556,0.801,0.81,0.842,0.8,0.681,0.574,0.821
RBF,10,0.001,-2.6,3.3,0.6,0.802,0.314,0.95,0.42,0.355,0.632,0.833,0.389,0.973,0.524,0.483,0.681,0.823,0.316,0.983,0.462,0.45,0.65
RBF,10,0.0001,-2.1,2.2,0.1,0.811,0.326,0.958,0.442,0.382,0.642,0.818,0.347,0.967,0.479,0.435,0.657,0.835,0.368,0.983,0.519,0.498,0.676
RBF,10,1e-05,-1.2,0.8,0.1,0.799,0.148,0.996,0.227,0.276,0.572,0.79,0.179,0.983,0.258,0.275,0.581,0.797,0.158,1.0,0.273,0.353,0.579
