Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.1,0,-6.3,7.3,0.1,0.952,0.952,0.952,0.952,0.904,0.952,0.834,0.6,0.895,0.596,0.493,0.748,0.811,0.545,0.881,0.545,0.426,0.713
poly,5,2,0.1,1,-3.0,3.5,0.3,0.952,0.952,0.952,0.951,0.904,0.952,0.849,0.582,0.919,0.609,0.52,0.75,0.868,0.545,0.952,0.632,0.564,0.749
poly,5,2,0.1,2,-3.4,3.5,0.2,0.952,0.964,0.94,0.952,0.904,0.952,0.819,0.582,0.881,0.566,0.455,0.731,0.83,0.545,0.905,0.571,0.467,0.725
poly,5,2,0.1,3,-3.9,3.9,0.3,0.946,0.958,0.934,0.946,0.892,0.946,0.804,0.545,0.871,0.533,0.41,0.708,0.811,0.545,0.881,0.545,0.426,0.713
poly,5,2,0.1,4,-4.3,4.4,0.2,0.94,0.964,0.916,0.942,0.881,0.94,0.777,0.545,0.838,0.501,0.364,0.692,0.811,0.545,0.881,0.545,0.426,0.713
poly,5,2,0.01,0,-2.8,5.1,-0.2,0.934,0.94,0.928,0.934,0.869,0.934,0.774,0.564,0.829,0.508,0.366,0.696,0.736,0.455,0.81,0.417,0.249,0.632
poly,5,2,0.01,1,-5.8,5.8,0.3,0.925,0.946,0.904,0.927,0.851,0.925,0.755,0.436,0.838,0.424,0.268,0.637,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.01,2,-8.1,6.7,0.1,0.916,0.958,0.873,0.92,0.835,0.916,0.717,0.491,0.776,0.416,0.241,0.634,0.736,0.455,0.81,0.417,0.249,0.632
poly,5,2,0.01,3,-8.7,7.1,0.2,0.913,0.952,0.873,0.917,0.829,0.913,0.721,0.473,0.786,0.411,0.237,0.629,0.755,0.455,0.833,0.435,0.279,0.644
poly,5,2,0.01,4,-9.1,8.6,0.3,0.907,0.94,0.873,0.91,0.818,0.907,0.732,0.473,0.8,0.416,0.25,0.636,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.001,0,-0.3,0.7,0.0,0.638,0.728,0.552,0.652,0.309,0.64,0.566,0.618,0.552,0.391,0.179,0.585,0.811,0.455,0.905,0.5,0.388,0.68
poly,5,2,0.001,1,-4.4,3.5,0.0,0.852,0.868,0.837,0.855,0.705,0.852,0.766,0.673,0.79,0.544,0.409,0.732,0.755,0.636,0.786,0.519,0.373,0.711
poly,5,2,0.001,2,-5.6,4.5,0.2,0.879,0.892,0.867,0.881,0.761,0.88,0.766,0.564,0.819,0.499,0.353,0.691,0.755,0.455,0.833,0.435,0.279,0.644
poly,5,2,0.001,3,-6.7,4.7,0.2,0.889,0.904,0.873,0.89,0.779,0.889,0.74,0.473,0.81,0.43,0.266,0.641,0.717,0.364,0.81,0.348,0.168,0.587
poly,5,2,0.001,4,-7.8,5.1,0.1,0.895,0.922,0.867,0.897,0.793,0.895,0.717,0.491,0.776,0.419,0.243,0.634,0.717,0.455,0.786,0.4,0.221,0.62
poly,5,3,0.1,0,-8.5,8.9,-0.4,0.931,0.958,0.904,0.932,0.863,0.931,0.785,0.527,0.852,0.501,0.367,0.69,0.755,0.455,0.833,0.435,0.279,0.644
poly,5,3,0.1,1,-4.2,4.9,-0.1,0.952,0.976,0.928,0.953,0.905,0.952,0.823,0.636,0.871,0.598,0.488,0.754,0.83,0.636,0.881,0.609,0.501,0.759
poly,5,3,0.1,2,-3.1,3.8,0.0,0.952,0.976,0.928,0.953,0.905,0.952,0.823,0.618,0.876,0.587,0.479,0.747,0.83,0.636,0.881,0.609,0.501,0.759
poly,5,3,0.1,3,-2.9,3.3,0.1,0.949,0.964,0.934,0.949,0.898,0.949,0.811,0.6,0.867,0.566,0.449,0.733,0.849,0.636,0.905,0.636,0.541,0.771
poly,5,3,0.1,4,-3.1,3.4,0.1,0.949,0.97,0.928,0.95,0.898,0.949,0.804,0.582,0.862,0.546,0.426,0.722,0.83,0.636,0.881,0.609,0.501,0.759
poly,5,3,0.01,0,-3.2,4.9,-0.5,0.913,0.892,0.934,0.911,0.826,0.913,0.838,0.527,0.919,0.573,0.478,0.723,0.83,0.455,0.929,0.526,0.434,0.692
poly,5,3,0.01,1,-4.2,4.4,0.4,0.94,0.946,0.934,0.94,0.88,0.94,0.777,0.491,0.852,0.476,0.337,0.672,0.811,0.545,0.881,0.545,0.426,0.713
poly,5,3,0.01,2,-5.1,6.1,0.5,0.925,0.94,0.91,0.926,0.851,0.925,0.781,0.491,0.857,0.482,0.344,0.674,0.811,0.545,0.881,0.545,0.426,0.713
poly,5,3,0.01,3,-5.9,6.7,0.3,0.913,0.946,0.88,0.916,0.828,0.913,0.758,0.527,0.819,0.476,0.326,0.673,0.774,0.545,0.833,0.5,0.357,0.689
poly,5,3,0.01,4,-6.8,7.4,0.4,0.907,0.928,0.886,0.908,0.815,0.907,0.758,0.527,0.819,0.476,0.325,0.673,0.774,0.545,0.833,0.5,0.357,0.689
poly,5,3,0.001,0,-0.4,0.8,-0.3,0.521,0.836,0.2,0.596,0.064,0.518,0.34,0.818,0.214,0.312,0.097,0.516,0.226,1.0,0.024,0.349,0.071,0.512
poly,5,3,0.001,1,-4.7,4.3,-0.0,0.873,0.91,0.837,0.878,0.75,0.874,0.74,0.618,0.771,0.498,0.345,0.695,0.736,0.636,0.762,0.5,0.346,0.699
poly,5,3,0.001,2,-8.0,6.4,0.2,0.892,0.904,0.879,0.893,0.785,0.892,0.736,0.473,0.805,0.427,0.26,0.639,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,3,0.001,3,-11.9,8.8,-0.1,0.892,0.952,0.831,0.899,0.789,0.892,0.679,0.509,0.724,0.398,0.203,0.616,0.66,0.364,0.738,0.308,0.092,0.551
poly,5,3,0.001,4,-13.6,8.4,-0.3,0.883,0.958,0.807,0.893,0.775,0.882,0.653,0.491,0.695,0.372,0.161,0.593,0.585,0.364,0.643,0.267,0.005,0.503
