Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-16.7,45.5,0.3,0.902,0.933,0.871,0.904,0.807,0.902,0.734,0.305,0.87,0.353,0.196,0.588,0.747,0.263,0.9,0.333,0.201,0.582
poly,1,2,0.1,1,-11.7,39.2,0.3,0.908,0.95,0.867,0.912,0.823,0.908,0.747,0.337,0.877,0.388,0.239,0.607,0.759,0.316,0.9,0.387,0.257,0.608
poly,1,2,0.1,2,-9.4,33.2,0.4,0.921,0.95,0.892,0.924,0.846,0.921,0.757,0.326,0.893,0.39,0.255,0.61,0.785,0.368,0.917,0.452,0.339,0.643
poly,1,2,0.1,3,-7.9,29.2,0.5,0.919,0.946,0.892,0.921,0.841,0.919,0.765,0.305,0.91,0.384,0.264,0.608,0.772,0.316,0.917,0.4,0.287,0.616
poly,1,2,0.1,4,-8.1,25.9,0.3,0.917,0.958,0.875,0.921,0.839,0.917,0.732,0.326,0.86,0.368,0.206,0.593,0.734,0.316,0.867,0.364,0.204,0.591
poly,1,2,0.01,0,-2.8,3.9,-0.2,0.775,0.712,0.838,0.76,0.562,0.775,0.732,0.326,0.86,0.366,0.206,0.593,0.709,0.368,0.817,0.378,0.189,0.593
poly,1,2,0.01,1,-3.3,5.2,0.2,0.81,0.767,0.854,0.801,0.626,0.81,0.689,0.326,0.803,0.334,0.131,0.565,0.684,0.316,0.8,0.324,0.118,0.558
poly,1,2,0.01,2,-4.8,5.5,0.1,0.804,0.821,0.788,0.807,0.61,0.804,0.638,0.337,0.733,0.309,0.067,0.535,0.633,0.316,0.733,0.293,0.047,0.525
poly,1,2,0.01,3,-5.6,5.9,0.1,0.808,0.846,0.771,0.815,0.62,0.808,0.635,0.326,0.733,0.302,0.058,0.53,0.62,0.263,0.733,0.25,-0.003,0.498
poly,1,2,0.01,4,-6.2,7.0,0.4,0.815,0.792,0.838,0.81,0.63,0.815,0.651,0.253,0.777,0.258,0.03,0.515,0.684,0.211,0.833,0.242,0.049,0.522
poly,1,2,0.001,0,-1.0,1.9,-0.7,0.625,0.292,0.958,0.436,0.335,0.625,0.81,0.379,0.947,0.49,0.413,0.663,0.785,0.368,0.917,0.452,0.339,0.643
poly,1,2,0.001,1,-1.3,3.7,0.2,0.683,0.412,0.954,0.564,0.437,0.683,0.742,0.242,0.9,0.309,0.176,0.571,0.759,0.263,0.917,0.345,0.231,0.59
poly,1,2,0.001,2,-1.7,4.2,0.1,0.706,0.504,0.908,0.63,0.452,0.706,0.684,0.253,0.82,0.274,0.076,0.536,0.696,0.316,0.817,0.333,0.138,0.566
poly,1,2,0.001,3,-2.0,4.1,-0.2,0.738,0.721,0.754,0.732,0.477,0.737,0.633,0.432,0.697,0.359,0.116,0.564,0.608,0.368,0.683,0.311,0.047,0.526
poly,1,2,0.001,4,-2.2,4.3,0.0,0.74,0.667,0.812,0.716,0.487,0.74,0.633,0.326,0.73,0.299,0.053,0.528,0.633,0.316,0.733,0.293,0.047,0.525
