activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.794,0.325,0.916,0.384,0.281,0.62,0.842,0.6,0.905,0.609,0.515,0.752,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(250,)",0.1,0.737,0.344,0.837,0.347,0.19,0.591,0.819,0.764,0.833,0.635,0.535,0.798,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(250,)",0.01,0.785,0.344,0.897,0.388,0.275,0.621,0.826,0.691,0.862,0.616,0.517,0.776,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(250,)",0.001,0.78,0.3,0.904,0.348,0.234,0.602,0.842,0.709,0.876,0.64,0.552,0.793,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(250,)",0.0001,0.775,0.322,0.891,0.363,0.239,0.607,0.86,0.727,0.895,0.674,0.596,0.811,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,)",0.1,0.732,0.414,0.813,0.386,0.222,0.613,0.838,0.764,0.857,0.662,0.57,0.81,0.717,0.909,0.667,0.571,0.469,0.788
relu,"(275,)",0.01,0.761,0.344,0.867,0.365,0.225,0.606,0.83,0.691,0.867,0.618,0.523,0.779,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(275,)",0.001,0.765,0.275,0.892,0.31,0.18,0.583,0.845,0.636,0.9,0.621,0.535,0.768,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(275,)",0.0001,0.761,0.275,0.885,0.303,0.17,0.58,0.83,0.618,0.886,0.597,0.497,0.752,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(300,)",0.1,0.732,0.414,0.813,0.383,0.218,0.613,0.815,0.727,0.838,0.619,0.517,0.783,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(300,)",0.01,0.77,0.392,0.867,0.407,0.273,0.629,0.857,0.764,0.881,0.679,0.602,0.822,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(300,)",0.001,0.766,0.3,0.885,0.333,0.2,0.593,0.868,0.764,0.895,0.701,0.625,0.829,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(300,)",0.0001,0.775,0.275,0.904,0.324,0.204,0.589,0.868,0.764,0.895,0.702,0.625,0.829,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,5)",0.1,0.747,0.481,0.813,0.432,0.283,0.647,0.83,0.873,0.819,0.676,0.599,0.846,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(25,5)",0.01,0.785,0.392,0.885,0.423,0.302,0.638,0.845,0.782,0.862,0.677,0.591,0.822,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(25,5)",0.001,0.809,0.344,0.928,0.416,0.331,0.636,0.864,0.691,0.91,0.677,0.593,0.8,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(25,5)",0.0001,0.79,0.231,0.934,0.298,0.215,0.582,0.883,0.673,0.938,0.706,0.636,0.805,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(50,10)",0.1,0.713,0.419,0.789,0.369,0.192,0.604,0.796,0.818,0.79,0.623,0.523,0.804,0.717,0.909,0.667,0.571,0.469,0.788
relu,"(50,10)",0.01,0.78,0.417,0.873,0.436,0.304,0.645,0.853,0.764,0.876,0.68,0.597,0.82,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(50,10)",0.001,0.794,0.417,0.891,0.444,0.328,0.654,0.891,0.818,0.91,0.75,0.688,0.864,0.887,0.909,0.881,0.769,0.711,0.895
relu,"(50,10)",0.0001,0.813,0.439,0.909,0.485,0.385,0.674,0.879,0.8,0.9,0.729,0.658,0.85,0.887,0.909,0.881,0.769,0.711,0.895
relu,"(75,15)",0.1,0.77,0.436,0.855,0.432,0.295,0.646,0.853,0.855,0.852,0.707,0.635,0.853,0.849,0.909,0.833,0.714,0.645,0.871
relu,"(75,15)",0.01,0.775,0.369,0.879,0.4,0.274,0.624,0.868,0.909,0.857,0.74,0.679,0.883,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(75,15)",0.001,0.79,0.278,0.921,0.341,0.247,0.6,0.857,0.855,0.857,0.711,0.637,0.856,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(75,15)",0.0001,0.794,0.256,0.934,0.319,0.231,0.595,0.864,0.782,0.886,0.704,0.624,0.834,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(100,20)",0.1,0.756,0.486,0.825,0.445,0.295,0.656,0.804,0.709,0.829,0.586,0.485,0.769,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(100,20)",0.01,0.77,0.367,0.873,0.385,0.251,0.62,0.849,0.709,0.886,0.657,0.568,0.797,0.906,1.0,0.881,0.815,0.778,0.94
relu,"(100,20)",0.001,0.789,0.3,0.916,0.359,0.261,0.608,0.842,0.582,0.91,0.597,0.512,0.746,0.887,0.727,0.929,0.727,0.656,0.828
relu,"(100,20)",0.0001,0.785,0.256,0.922,0.296,0.194,0.589,0.849,0.564,0.924,0.606,0.521,0.744,0.887,0.727,0.929,0.727,0.656,0.828
relu,"(125,25)",0.1,0.747,0.533,0.801,0.463,0.306,0.667,0.8,0.8,0.8,0.62,0.521,0.8,0.774,1.0,0.714,0.647,0.584,0.857
relu,"(125,25)",0.01,0.761,0.367,0.861,0.381,0.243,0.614,0.842,0.782,0.857,0.669,0.581,0.819,0.887,0.909,0.881,0.769,0.711,0.895
relu,"(125,25)",0.001,0.804,0.319,0.928,0.386,0.296,0.624,0.86,0.691,0.905,0.666,0.583,0.798,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(125,25)",0.0001,0.813,0.297,0.946,0.381,0.31,0.621,0.864,0.636,0.924,0.657,0.576,0.78,0.925,0.818,0.952,0.818,0.771,0.885
relu,"(150,30)",0.1,0.761,0.386,0.855,0.383,0.246,0.621,0.811,0.673,0.848,0.596,0.484,0.76,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(150,30)",0.01,0.77,0.414,0.861,0.419,0.285,0.637,0.875,0.909,0.867,0.753,0.694,0.888,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(150,30)",0.001,0.77,0.253,0.903,0.3,0.184,0.578,0.864,0.764,0.89,0.695,0.617,0.827,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(150,30)",0.0001,0.77,0.253,0.903,0.304,0.186,0.578,0.875,0.727,0.914,0.707,0.631,0.821,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(175,35)",0.1,0.761,0.369,0.861,0.389,0.242,0.615,0.815,0.545,0.886,0.543,0.432,0.716,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(175,35)",0.01,0.78,0.414,0.873,0.428,0.299,0.643,0.83,0.8,0.838,0.662,0.574,0.819,0.868,0.727,0.905,0.696,0.612,0.816
