activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.77,0.392,0.868,0.411,0.27,0.63,0.815,0.727,0.838,0.62,0.512,0.783,0.849,0.909,0.833,0.714,0.645,0.871
relu,"(25,)",0.01,0.809,0.347,0.928,0.43,0.338,0.638,0.842,0.655,0.89,0.63,0.531,0.773,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(25,)",0.001,0.814,0.325,0.94,0.424,0.355,0.633,0.83,0.545,0.905,0.565,0.468,0.725,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(25,)",0.0001,0.814,0.325,0.94,0.417,0.338,0.632,0.857,0.564,0.933,0.618,0.538,0.748,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(50,)",0.1,0.785,0.442,0.873,0.454,0.323,0.658,0.796,0.691,0.824,0.582,0.466,0.757,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(50,)",0.01,0.819,0.397,0.928,0.472,0.382,0.663,0.819,0.691,0.852,0.611,0.502,0.772,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(50,)",0.001,0.828,0.397,0.94,0.485,0.408,0.669,0.823,0.6,0.881,0.582,0.473,0.74,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,)",0.0001,0.833,0.442,0.934,0.516,0.431,0.688,0.83,0.636,0.881,0.609,0.505,0.759,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,)",0.1,0.814,0.486,0.898,0.505,0.396,0.692,0.808,0.727,0.829,0.61,0.5,0.778,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(75,)",0.01,0.818,0.392,0.928,0.459,0.374,0.66,0.826,0.673,0.867,0.616,0.51,0.77,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(75,)",0.001,0.818,0.414,0.922,0.473,0.38,0.668,0.8,0.564,0.862,0.538,0.413,0.713,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(75,)",0.0001,0.813,0.367,0.928,0.44,0.355,0.647,0.804,0.582,0.862,0.551,0.428,0.722,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(100,)",0.1,0.799,0.394,0.904,0.443,0.336,0.649,0.815,0.745,0.833,0.626,0.519,0.789,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(100,)",0.01,0.818,0.394,0.928,0.468,0.381,0.661,0.815,0.691,0.848,0.608,0.496,0.769,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(100,)",0.001,0.809,0.347,0.928,0.428,0.34,0.638,0.838,0.691,0.876,0.637,0.537,0.784,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(100,)",0.0001,0.809,0.372,0.922,0.446,0.347,0.647,0.86,0.745,0.89,0.689,0.604,0.818,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(125,)",0.1,0.818,0.464,0.91,0.506,0.405,0.687,0.8,0.673,0.833,0.582,0.462,0.753,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(125,)",0.01,0.823,0.414,0.928,0.48,0.395,0.671,0.819,0.691,0.852,0.615,0.505,0.772,0.755,0.727,0.762,0.552,0.419,0.745
relu,"(125,)",0.001,0.823,0.392,0.934,0.47,0.389,0.663,0.83,0.618,0.886,0.606,0.503,0.752,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(125,)",0.0001,0.809,0.325,0.934,0.412,0.326,0.629,0.849,0.582,0.919,0.609,0.525,0.75,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(150,)",0.1,0.804,0.511,0.88,0.498,0.384,0.695,0.815,0.727,0.838,0.617,0.512,0.783,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(150,)",0.01,0.823,0.417,0.928,0.482,0.396,0.672,0.834,0.745,0.857,0.653,0.555,0.801,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(150,)",0.001,0.838,0.442,0.94,0.52,0.441,0.691,0.842,0.691,0.881,0.646,0.548,0.786,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(150,)",0.0001,0.833,0.417,0.94,0.499,0.427,0.678,0.853,0.709,0.89,0.666,0.576,0.8,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(175,)",0.1,0.794,0.436,0.886,0.453,0.33,0.661,0.792,0.727,0.81,0.592,0.474,0.768,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(175,)",0.01,0.814,0.394,0.922,0.458,0.363,0.658,0.811,0.709,0.838,0.609,0.498,0.774,0.755,0.636,0.786,0.519,0.373,0.711
relu,"(175,)",0.001,0.823,0.394,0.934,0.478,0.394,0.664,0.826,0.691,0.862,0.621,0.517,0.776,0.792,0.727,0.81,0.593,0.474,0.768
