n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.78,0.047,0.97,0.078,0.042,0.508,0.838,0.273,0.986,0.402,0.415,0.629,0.849,0.273,1.0,0.429,0.479,0.636
200,None,0.5,0.78,0.069,0.964,0.114,0.073,0.517,0.845,0.291,0.99,0.422,0.442,0.641,0.849,0.364,0.976,0.5,0.471,0.67
200,None,0.75,0.78,0.069,0.964,0.114,0.073,0.517,0.823,0.291,0.962,0.391,0.353,0.626,0.83,0.273,0.976,0.4,0.382,0.624
200,None,None,0.78,0.069,0.964,0.114,0.073,0.517,0.826,0.309,0.962,0.409,0.363,0.635,0.811,0.273,0.952,0.375,0.312,0.613
400,None,0.25,0.78,0.047,0.97,0.078,0.042,0.508,0.834,0.273,0.981,0.39,0.4,0.627,0.849,0.273,1.0,0.429,0.479,0.636
400,None,0.5,0.78,0.069,0.964,0.114,0.073,0.517,0.834,0.291,0.976,0.407,0.385,0.634,0.849,0.364,0.976,0.5,0.471,0.67
400,None,0.75,0.78,0.069,0.964,0.114,0.073,0.517,0.826,0.273,0.971,0.384,0.353,0.622,0.83,0.273,0.976,0.4,0.382,0.624
400,None,None,0.78,0.069,0.964,0.114,0.073,0.517,0.819,0.273,0.962,0.374,0.332,0.617,0.83,0.273,0.976,0.4,0.382,0.624
600,None,0.25,0.78,0.047,0.97,0.078,0.042,0.508,0.83,0.218,0.99,0.34,0.373,0.604,0.849,0.273,1.0,0.429,0.479,0.636
600,None,0.5,0.78,0.069,0.964,0.114,0.073,0.517,0.838,0.291,0.981,0.408,0.409,0.636,0.849,0.364,0.976,0.5,0.471,0.67
600,None,0.75,0.78,0.069,0.964,0.114,0.073,0.517,0.834,0.291,0.976,0.406,0.383,0.634,0.83,0.273,0.976,0.4,0.382,0.624
600,None,None,0.78,0.069,0.964,0.114,0.073,0.517,0.819,0.255,0.967,0.36,0.325,0.611,0.849,0.364,0.976,0.5,0.471,0.67
800,None,0.25,0.78,0.047,0.97,0.078,0.042,0.508,0.838,0.255,0.99,0.381,0.408,0.623,0.849,0.273,1.0,0.429,0.479,0.636
800,None,0.5,0.78,0.069,0.964,0.114,0.073,0.517,0.834,0.291,0.976,0.408,0.4,0.634,0.849,0.364,0.976,0.5,0.471,0.67
800,None,0.75,0.78,0.069,0.964,0.114,0.073,0.517,0.83,0.291,0.971,0.402,0.369,0.631,0.83,0.273,0.976,0.4,0.382,0.624
800,None,None,0.78,0.069,0.964,0.114,0.073,0.517,0.815,0.255,0.962,0.355,0.314,0.608,0.83,0.273,0.976,0.4,0.382,0.624
1000,None,0.25,0.78,0.047,0.97,0.078,0.042,0.508,0.838,0.255,0.99,0.386,0.414,0.623,0.849,0.273,1.0,0.429,0.479,0.636
1000,None,0.5,0.78,0.069,0.964,0.114,0.073,0.517,0.83,0.273,0.976,0.387,0.378,0.624,0.849,0.364,0.976,0.5,0.471,0.67
1000,None,0.75,0.78,0.069,0.964,0.114,0.073,0.517,0.83,0.291,0.971,0.402,0.369,0.631,0.83,0.273,0.976,0.4,0.382,0.624
1000,None,None,0.78,0.069,0.964,0.114,0.073,0.517,0.808,0.236,0.957,0.331,0.289,0.597,0.849,0.364,0.976,0.5,0.471,0.67
