Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-1.4,3.2,-0.1,0.912,0.877,0.947,0.91,0.834,0.912,0.777,0.275,1.0,0.423,0.45,0.638,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.1,1,-1.6,2.9,0.0,0.946,0.932,0.96,0.947,0.895,0.946,0.877,0.6,1.0,0.746,0.713,0.8,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,2,0.1,2,-1.9,2.7,0.4,0.946,0.905,0.987,0.943,0.896,0.946,0.823,0.425,1.0,0.589,0.579,0.712,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,2,0.1,3,-2.1,2.6,0.4,0.953,0.918,0.987,0.951,0.908,0.952,0.815,0.4,1.0,0.565,0.559,0.7,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.1,4,-2.2,2.4,0.5,0.946,0.905,0.987,0.943,0.896,0.946,0.815,0.4,1.0,0.565,0.559,0.7,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.01,0,-1.1,3.0,-0.6,0.92,0.892,0.947,0.918,0.842,0.92,0.908,0.7,1.0,0.822,0.786,0.85,0.885,0.625,1.0,0.769,0.732,0.812
poly,1,2,0.01,1,-2.1,3.3,-0.3,0.94,0.919,0.96,0.938,0.883,0.94,0.869,0.85,0.878,0.801,0.708,0.864,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.01,2,-2.3,4.4,-0.1,0.926,0.892,0.96,0.922,0.861,0.926,0.862,0.75,0.911,0.769,0.674,0.831,0.846,0.625,0.944,0.714,0.624,0.785
poly,1,2,0.01,3,-2.4,5.0,0.4,0.926,0.879,0.973,0.921,0.861,0.926,0.823,0.55,0.944,0.649,0.559,0.747,0.808,0.5,0.944,0.615,0.52,0.722
poly,1,2,0.01,4,-2.5,5.4,0.5,0.919,0.866,0.973,0.914,0.848,0.92,0.8,0.45,0.956,0.578,0.502,0.703,0.808,0.5,0.944,0.615,0.52,0.722
poly,1,2,0.001,0,-1.0,1.1,-0.1,0.586,0.387,0.8,0.382,0.245,0.593,0.662,0.35,0.8,0.328,0.255,0.575,0.731,0.125,1.0,0.222,0.3,0.562
poly,1,2,0.001,1,-1.7,2.2,-0.2,0.905,0.837,0.972,0.897,0.822,0.905,0.877,0.85,0.889,0.809,0.721,0.869,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.001,2,-2.0,2.8,-0.1,0.912,0.824,1.0,0.901,0.84,0.912,0.869,0.8,0.9,0.79,0.695,0.85,0.846,0.75,0.889,0.75,0.639,0.819
poly,1,2,0.001,3,-2.1,3.3,0.0,0.905,0.81,1.0,0.892,0.829,0.905,0.862,0.775,0.9,0.775,0.675,0.838,0.846,0.75,0.889,0.75,0.639,0.819
poly,1,2,0.001,4,-2.2,3.6,-0.3,0.912,0.877,0.947,0.909,0.835,0.912,0.838,0.85,0.833,0.764,0.653,0.842,0.846,0.875,0.833,0.778,0.672,0.854
poly,1,3,0.1,0,-1.2,10.1,-0.4,0.919,0.865,0.973,0.913,0.848,0.919,0.838,0.475,1.0,0.635,0.618,0.738,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,3,0.1,1,-1.2,6.8,-0.2,0.94,0.906,0.973,0.938,0.883,0.94,0.846,0.5,1.0,0.659,0.637,0.75,0.846,0.5,1.0,0.667,0.64,0.75
