n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.892,0.917,0.867,0.895,0.786,0.892,0.678,0.368,0.777,0.355,0.142,0.573,0.671,0.316,0.783,0.316,0.099,0.55
200,None,0.5,0.885,0.921,0.85,0.89,0.775,0.885,0.694,0.4,0.787,0.385,0.182,0.593,0.696,0.316,0.817,0.333,0.138,0.566
200,None,0.75,0.875,0.9,0.85,0.878,0.753,0.875,0.681,0.421,0.763,0.387,0.175,0.592,0.709,0.474,0.783,0.439,0.245,0.629
200,None,None,0.873,0.917,0.829,0.879,0.751,0.873,0.676,0.379,0.77,0.36,0.144,0.574,0.671,0.368,0.767,0.35,0.131,0.568
400,None,0.25,0.894,0.912,0.875,0.896,0.79,0.894,0.681,0.379,0.777,0.362,0.151,0.578,0.671,0.316,0.783,0.316,0.099,0.55
400,None,0.5,0.89,0.921,0.858,0.893,0.782,0.89,0.668,0.368,0.763,0.349,0.127,0.566,0.671,0.316,0.783,0.316,0.099,0.55
400,None,0.75,0.877,0.908,0.846,0.882,0.758,0.877,0.684,0.4,0.773,0.378,0.168,0.587,0.684,0.368,0.783,0.359,0.149,0.576
400,None,None,0.885,0.933,0.838,0.891,0.776,0.885,0.676,0.379,0.77,0.36,0.144,0.574,0.684,0.368,0.783,0.359,0.149,0.576
600,None,0.25,0.89,0.912,0.867,0.893,0.782,0.89,0.671,0.379,0.763,0.356,0.137,0.571,0.684,0.368,0.783,0.359,0.149,0.576
600,None,0.5,0.885,0.925,0.846,0.89,0.775,0.885,0.661,0.368,0.753,0.343,0.116,0.561,0.696,0.368,0.8,0.368,0.168,0.584
600,None,0.75,0.879,0.917,0.842,0.884,0.762,0.879,0.668,0.389,0.757,0.361,0.14,0.573,0.696,0.421,0.783,0.4,0.198,0.602
600,None,None,0.879,0.925,0.833,0.885,0.763,0.879,0.661,0.358,0.757,0.336,0.11,0.557,0.671,0.368,0.767,0.35,0.131,0.568
800,None,0.25,0.892,0.921,0.862,0.895,0.787,0.892,0.661,0.368,0.753,0.343,0.116,0.561,0.671,0.316,0.783,0.316,0.099,0.55
800,None,0.5,0.89,0.929,0.85,0.894,0.783,0.89,0.666,0.379,0.757,0.353,0.13,0.568,0.696,0.368,0.8,0.368,0.168,0.584
800,None,0.75,0.879,0.917,0.842,0.884,0.762,0.879,0.666,0.389,0.753,0.359,0.136,0.571,0.671,0.368,0.767,0.35,0.131,0.568
800,None,None,0.883,0.929,0.838,0.889,0.771,0.883,0.658,0.347,0.757,0.327,0.1,0.552,0.671,0.368,0.767,0.35,0.131,0.568
1000,None,0.25,0.885,0.912,0.858,0.889,0.774,0.885,0.668,0.389,0.757,0.36,0.139,0.573,0.684,0.368,0.783,0.359,0.149,0.576
1000,None,0.5,0.888,0.925,0.85,0.892,0.778,0.888,0.666,0.379,0.757,0.353,0.13,0.568,0.671,0.316,0.783,0.316,0.099,0.55
1000,None,0.75,0.881,0.917,0.846,0.886,0.766,0.881,0.668,0.389,0.757,0.36,0.139,0.573,0.671,0.368,0.767,0.35,0.131,0.568
1000,None,None,0.883,0.929,0.838,0.889,0.772,0.883,0.663,0.358,0.76,0.338,0.113,0.559,0.671,0.368,0.767,0.35,0.131,0.568
