n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.898,0.925,0.871,0.9,0.798,0.898,0.704,0.442,0.787,0.417,0.221,0.614,0.709,0.316,0.833,0.343,0.159,0.575
200,None,0.5,0.898,0.917,0.879,0.899,0.797,0.898,0.706,0.389,0.807,0.388,0.197,0.598,0.709,0.368,0.817,0.378,0.189,0.593
200,None,0.75,0.894,0.917,0.871,0.896,0.789,0.894,0.711,0.474,0.787,0.441,0.249,0.63,0.709,0.368,0.817,0.378,0.189,0.593
200,None,None,0.888,0.912,0.862,0.891,0.776,0.888,0.714,0.495,0.783,0.453,0.264,0.639,0.684,0.368,0.783,0.359,0.149,0.576
400,None,0.25,0.904,0.917,0.892,0.905,0.809,0.904,0.722,0.463,0.803,0.444,0.259,0.633,0.759,0.474,0.85,0.486,0.33,0.662
400,None,0.5,0.908,0.925,0.892,0.91,0.818,0.908,0.709,0.411,0.803,0.405,0.213,0.607,0.722,0.368,0.833,0.389,0.21,0.601
400,None,0.75,0.908,0.933,0.883,0.911,0.818,0.908,0.716,0.463,0.797,0.439,0.252,0.63,0.709,0.368,0.817,0.378,0.189,0.593
400,None,None,0.898,0.933,0.862,0.901,0.798,0.898,0.691,0.453,0.767,0.413,0.207,0.61,0.696,0.368,0.8,0.368,0.168,0.584
600,None,0.25,0.898,0.921,0.875,0.9,0.797,0.898,0.719,0.484,0.793,0.453,0.266,0.639,0.734,0.368,0.85,0.4,0.232,0.609
600,None,0.5,0.9,0.921,0.879,0.902,0.801,0.9,0.706,0.432,0.793,0.414,0.219,0.612,0.722,0.368,0.833,0.389,0.21,0.601
600,None,0.75,0.9,0.917,0.883,0.902,0.801,0.9,0.716,0.463,0.797,0.44,0.253,0.63,0.709,0.368,0.817,0.378,0.189,0.593
600,None,None,0.9,0.933,0.867,0.903,0.802,0.9,0.706,0.484,0.777,0.441,0.247,0.63,0.696,0.368,0.8,0.368,0.168,0.584
800,None,0.25,0.904,0.921,0.888,0.906,0.81,0.904,0.714,0.474,0.79,0.443,0.254,0.632,0.734,0.368,0.85,0.4,0.232,0.609
800,None,0.5,0.902,0.921,0.883,0.904,0.806,0.902,0.714,0.453,0.797,0.431,0.242,0.625,0.722,0.368,0.833,0.389,0.21,0.601
800,None,0.75,0.908,0.929,0.888,0.91,0.818,0.908,0.706,0.442,0.79,0.421,0.226,0.616,0.696,0.368,0.8,0.368,0.168,0.584
800,None,None,0.9,0.933,0.867,0.903,0.802,0.9,0.699,0.463,0.773,0.426,0.225,0.618,0.684,0.368,0.783,0.359,0.149,0.576
1000,None,0.25,0.906,0.925,0.888,0.908,0.814,0.906,0.711,0.463,0.79,0.435,0.243,0.627,0.759,0.421,0.867,0.457,0.306,0.644
1000,None,0.5,0.908,0.933,0.883,0.91,0.818,0.908,0.711,0.442,0.797,0.424,0.233,0.619,0.722,0.368,0.833,0.389,0.21,0.601
1000,None,0.75,0.906,0.933,0.879,0.909,0.815,0.906,0.709,0.453,0.79,0.428,0.235,0.621,0.696,0.368,0.8,0.368,0.168,0.584
1000,None,None,0.898,0.929,0.867,0.901,0.798,0.898,0.704,0.453,0.783,0.424,0.227,0.618,0.696,0.421,0.783,0.4,0.198,0.602
